,0,1
0,Walmart,63000
1,Amazon,65000
2,Exxon Mobil,5100
3,Apple,21000
4,CVS Health,21000
5,Berkshire Hathaway,709
6,UnitedHealth Group,12000
7,McKesson,3700
8,AT&T,27000
9,AmerisourceBergen,1200
10,Alphabet,43
11,Ford Motor,6600
12,Cigna,3100
13,Costco Wholesale,8200
14,Chevron,3800
15,Cardinal Health,2600
16,JPMorgan Chase,25000
17,General Motors,7100
18,Walgreens Boots Alliance,758
19,Verizon Communications,23000
20,Microsoft,30000
21,Marathon Petroleum,832
22,Kroger,12000
23,Fannie Mae,1600
24,Bank of America,26000
25,Home Depot,27000
26,Phillips 66,643
27,Comcast,11000
28,Anthem,2600
29,Wells Fargo,29000
30,Valero Energy,527
31,General Electric,13000
32,Dell Technologies,19000
33,Johnson & Johnson,8500
34,State Farm Insurance,11000
35,Target,43000
36,IBM,65000
37,Raytheon Technologies,4800
38,Boeing,9900
39,Freddie Mac,1200
40,Centene,2000
41,UPS,18000
42,Lowe's,24000
43,Intel,18000
44,FedEx,6200
45,MetLife,4500
46,Walt Disney,7500
47,Procter & Gamble,9600
48,PepsiCo,11000
49,Humana,4100
50,Prudential Financial (U.S.),3400
51,Archer Daniels Midland,1500
52,Albertsons,2000
53,Sysco,2300
54,Lockheed Martin,8000
55,HP,4800
56,Energy Transfer,333
57,Goldman Sachs Group,9200
58,Morgan Stanley,10000
59,Caterpillar,4900
60,Cisco Systems,22000
61,Pfizer,5000
62,HCA Healthcare,41
63,American International Group,5400
64,American Express,9600
65,Delta Air Lines,3800
66,Merck,4300
67,American Airlines Group,4000
68,Charter Communications,7300
69,Allstate,6300
70,New York Life Insurance,3500
71,Nationwide,3700
72,Best Buy,24000
73,United Airlines Holdings,4000
74,Liberty Mutual Insurance Group,5700
75,Dow,2700
76,Tyson Foods,1400
77,TJX,2700
78,TIAA,1
79,Oracle,31000
80,General Dynamics,596
81,Deere,2
82,Nike,7300
83,Progressive,3200
84,Publix Super Markets,8700
85,Coca-Cola,5500
86,Massachusetts Mutual Life,1700
87,Tech Data,1100
88,World Fuel Services,330
89,Honeywell International,12000
90,ConocoPhillips,1200
91,USAA,3700
92,Exelon,848
93,Northrop Grumman,6600
94,Capital One Financial,9300
95,Plains GP Holdings,182
96,AbbVie,1900
97,StoneX Group,8
98,Enterprise Products Partners,276
99,Northwestern Mutual,6800
100,3M,4000
101,Abbott Laboratories,5000
102,CHS,1
103,Travelers Cos.,3300
104,Philip Morris International,2500
105,Raytheon,4800
106,Hewlett Packard Enterprise,12000
107,Arrow Electronics,1500
108,ViacomCBS,2400
109,Dollar General,7700
110,U.S. Bancorp,6400
111,Starbucks,34000
112,Bristol-Myers Squibb,2400
113,US Foods Holding,1700
114,Mondelez International,4000
115,Paccar,622
116,Thermo Fisher Scientific,4600
117,Macy's,21000
118,Jabil,1700
119,Kraft Heinz,4300
120,Duke Energy,1200
121,Tesla,4200
122,PBF Energy,101
123,Qualcomm,6800
124,NGL Energy Partners,53
125,CBRE Group,5500
126,Baker Hughes,2100
127,Synnex,341
128,Dollar Tree,4500
129,Cummins,4800
130,United Natural Foods,1400
131,Micron Technology,2900
132,Amgen,2600
133,Penske Automotive Group,422
134,Visa,3700
135,Broadcom,3000
136,Nucor,298
137,Gilead Sciences,1200
138,Southwest Airlines,2600
139,Halliburton,4300
140,Lumen Technologies,4800
141,International Paper,1600
142,Eli Lilly,2600
143,Aflac,3100
144,Lennar,484
145,Occidental Petroleum,658
146,Union Pacific,1900
147,Rite Aid,4600
148,PNC Financial Services Group,6000
149,DuPont,2500
150,Southern Company,668
151,AutoNation,1300
152,DXC Technology,12000
153,McDonald's,49000
154,Marriott International,10000
155,ManpowerGroup,1300
156,Bank of New York Mellon,6600
157,Hartford Financial Services Group,2300
158,Danaher,458
159,Whirlpool,3700
160,AECOM,24
161,Netflix,1300
162,Kohl's,12000
163,Lear,8
164,Altria Group,1000
165,Performance Food Group,506
166,Avnet,1000
167,Synchrony Financial,1100
168,Genuine Parts,229
169,NextEra Energy,657
170,CarMax,3800
171,Tenet Healthcare,855
172,Kimberly-Clark,2400
173,Emerson Electric,3900
174,WestRock,1300
175,CDW,2400
176,Jones Lang LaSalle (JLL),4800
177,Sherwin-Williams,4900
178,Fluor,2300
179,PayPal Holdings,4400
180,D.R. Horton,459
181,HollyFrontier,109
182,Tenneco,696
183,EOG Resources,200
184,BD,2800
185,Lincoln National,1200
186,Salesforce,8200
187,Mastercard,2800
188,General Mills,2700
189,Molina Healthcare,1400
190,Cognizant Technology Solutions,48000
191,Marsh & McLennan,894
192,XPO Logistics,1
193,Dominion Energy,490
194,Western Digital,2200
195,Gap,6500
196,Aramark,7200
197,Principal Financial,1200
198,Ross Stores,5900
199,Colgate-Palmolive,2100
200,American Electric Power,481
201,Nordstrom,16000
202,Jacobs Engineering Group,3800
203,Waste Management,2100
204,C.H. Robinson Worldwide,1900
205,PPG Industries,1400
206,Booking Holdings,8
207,Omnicom Group,176
208,Loews,24000
209,Ecolab,2800
210,Stryker,3300
211,Estée Lauder,2400
212,Goodyear Tire & Rubber,1600
213,Truist Financial,262
214,Applied Materials,2000
215,BlackRock,3100
216,Stanley Black & Decker,1600
217,Freeport-McMoRan,723
218,Texas Instruments,3300
219,Biogen,1200
220,Parker-Hannifin,1800
221,Reinsurance Group of America,241
222,Howmet Aerospace,86
223,Automatic Data Processing,16
224,Uber Technologies,635
225,Illinois Tool Works,770
226,DaVita,3600
227,Discover Financial Services,2400
228,Land O'Lakes,420
229,VF,49
230,Corteva,362
231,Las Vegas Sands,114
232,Textron,591
233,Kellogg,2300
234,Guardian Life Ins. Co. of America,798
235,Qurate Retail,27
236,Core-Mark Holding,531
237,Community Health Systems,1100
238,Kinder Morgan,562
239,BJ's Wholesale Club,1700
240,State Street,5800
241,Ameriprise Financial,2100
242,Global Partners,7
243,L Brands,243
244,MGM Resorts International,1300
245,L3Harris Technologies,839
246,DISH Network,5200
247,Lithia Motors,382
248,DTE Energy,609
249,American Family Insurance Group,1200
250,Farmers Insurance Exchange,3800
251,Consolidated Edison,788
252,LKQ,661
253,Sempra Energy,184
254,Edison International,31
255,CenterPoint Energy,411
256,Quanta Services,118
257,Murphy USA,40
258,Expedia Group,4300
259,Group 1 Automotive,340
260,Bed Bath & Beyond,4200
261,Unum Group,928
262,CSX,920
263,AutoZone,3400
264,Pacific Life,415
265,Vistra Energy,44
266,Charles Schwab,3100
267,Ally Financial,1100
268,Laboratory Corp. of America,1
269,Live Nation Entertainment,1200
270,Xcel Energy,562
271,Corning,1200
272,W.W. Grainger,2500
273,Ball,1
274,Fox,22
275,Universal Health Services,631
276,Baxter International,2300
277,Norfolk Southern,1200
278,Navistar International,979
279,Adobe,5300
280,J.C. Penney,9100
281,Discovery,1400
282,Keurig Dr Pepper,464
283,Leidos Holdings,2100
284,IQVIA Holdings,6200
285,Reliance Steel & Aluminum,49
286,Nvidia,3000
287,Entergy,268
288,FirstEnergy,25
289,eBay,3800
290,Boston Scientific,2500
291,ODP,11000
292,Molson Coors Beverage,494
293,Steel Dynamics,89
294,Mutual of Omaha Insurance,659
295,Sonic Automotive,440
296,Alcoa,1000
297,Fidelity National Information Services,153
298,Henry Schein,826
299,Republic Services,2000
300,Liberty Media,4
301,Peter Kiewit Sons',1900
302,Interpublic Group,242
303,PulteGroup,539
304,AES,1
305,Fiserv,4300
306,BorgWarner,656
307,Oneok,142
308,O'Reilly Automotive,2300
309,Assurant,1800
310,Newell Brands,921
311,Public Service Enterprise Group,9
312,News Corp.,293
313,Calpine,23
314,Auto-Owners Insurance,491
315,Mohawk Industries,505
316,PVH,1200
317,Campbell Soup,894
318,NRG Energy,579
319,Fifth Third Bancorp,2300
320,Hertz Global Holdings,5400
321,Altice USA,159
322,Newmont,334
323,Cheniere Energy,85
324,Advance Auto Parts,3000
325,Lam Research,999
326,Owens & Minor,458
327,Equitable Holdings,379
328,Conagra Brands,1300
329,Markel,193
330,Jones Financial (Edward Jones),3100
331,Hormel Foods,369
332,Hilton Worldwide Holdings,6200
333,Univar Solutions,727
334,United Rentals,933
335,Pioneer Natural Resources,277
336,Delek US Holdings,130
337,Eastman Chemical,1800
338,EMCOR Group,162
339,Avis Budget Group,2400
340,J.B. Hunt Transport Services,1700
341,Xerox Holdings,7500
342,Wayfair,2900
343,KKR,194
344,AGCO,749
345,Alleghany,1
346,Icahn Enterprises,1
347,Voya Financial,609
348,Ryder System,1500
349,Air Products & Chemicals,785
350,Mosaic,80
351,Huntington Ingalls Industries,715
352,Berry Global Group,530
353,Anixter International,577
354,Alaska Air Group,736
355,Yum China Holdings,440
356,Dick's Sporting Goods,5500
357,Caesars Holdings,2200
358,Genworth Financial,686
359,Targa Resources,82
360,Coty,1600
361,Dana,57
362,Thrivent Financial for Lutherans,629
363,Autoliv,644
364,SpartanNash,273
365,Eversource Energy,362
366,Darden Restaurants,1800
367,Chesapeake Energy,478
368,NOV,1
369,Fidelity National Financial,442
370,Erie Insurance Group,296
371,Oshkosh,525
372,Casey's General Stores,884
373,WESCO International,461
374,Tractor Supply,1700
375,CommScope Holding,652
376,Huntsman,400
377,American Financial Group,22
378,Masco,203
379,Sanmina,1000
380,Amphenol,310
381,Williams,462
382,Westinghouse Air Brake,441
383,Expeditors Intl. of Washington,1300
384,Andersons,125
385,Westlake Chemical,96
386,Constellation Brands,356
387,Frontier Communications,1800
388,JetBlue Airways,1500
389,Citizens Financial Group,2600
390,Raymond James Financial,1200
391,Foot Locker,2300
392,Hershey,1100
393,Zimmer Biomet Holdings,1500
394,Cincinnati Financial,12
395,Western & Southern Financial Group,9
396,W.R. Berkley,153
397,Motorola Solutions,2600
398,Thor Industries,3
399,Regeneron Pharmaceuticals,858
400,Spirit AeroSystems Holdings,541
401,J.M. Smucker,553
402,PPL,289
403,Insight Enterprises,1400
404,Quest Diagnostics,2800
405,KeyCorp,1900
406,Veritiv,397
407,DCP Midstream,261
408,American Tower,574
409,Graybar Electric,601
410,WEC Energy Group,68
411,NVR,251
412,Ulta Beauty,6200
413,Devon Energy,473
414,Blackstone Group,338
415,Dean Foods,513
416,Fortive,839
417,Burlington Stores,3400
418,Builders FirstSource,185
419,Toll Brothers,437
420,Old Republic International,178
421,Asbury Automotive Group,319
422,Arthur J. Gallagher,1800
423,MasTec,477
424,Owens Corning,639
425,Magellan Health,809
426,Dover,254
427,Beacon Roofing Supply,206
428,Avery Dennison,1100
429,Hanesbrands,618
430,Packaging Corp. of America,316
431,M&T Bank,2
432,NCR,4200
433,Northern Trust,2700
434,Cintas,3300
435,Polaris,516
436,CMS Energy,11
437,Seaboard,23
438,Intuit,6000
439,Regions Financial,2000
440,FM Global,490
441,Advanced Micro Devices (AMD),2700
442,Ovintiv,348
443,Booz Allen Hamilton Holding,5800
444,S&P Global,53
445,Rockwell Automation,1900
446,O-I Glass,1
447,Wynn Resorts,504
448,Securian Financial Group,228
449,Alliance Data Systems,687
450,Weyerhaeuser,482
451,Brighthouse Financial,76
452,Intercontinental Exchange,439
453,American Axle & Manufacturing,497
454,Hess,6
455,ABM Industries,1500
456,Activision Blizzard,235
457,GameStop,5100
458,Apache,290
459,Science Applications International,2700
460,AK Steel Holding,306
461,Dillard's,5100
462,Ralph Lauren,2600
463,Celanese,313
