date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 12 2021, Director,,Current Employee ,Good company,0,"Interesting work at the company
","A lot of change right now
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Marketing Coordinator,"Saint Paul, MN",Current Employee ,Love 3M,0,"Good pay, benefits, and work-life balance. A lot of opportunities to move around in the company.
","No cons at this time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Industrial Customer Specialist,"Saint Paul, MN",Current Employee ,Great company to work for,0,"Value your ideas on a team
","Male dominated & lacks diversity
Advice to Management
Promote more minorities
Helpfu","Promote more minorities
Helpfu",5.0,5.0,5.0,2.0,5.0,4.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Analyst MDM,,Current Employee ,Master Data Material Create,0,"Good Benefist on this Company
","No cons all is good
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Customer Service Representative,N/A,Former Employee ,Good,0,"Money money money money money
","No cons no no no jo
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, O2 Engineer,"Cordova, IL",Current Employee ,O2 Program is Okay,0,"Relocation bonus, hired moving company, 3M name and recognition, interesting work and products, free Lean Six Sigma training
","O2 requires training commitments that somewhat interfere with job responsibilities, must commit to two one-year rotations or pay back 100% (<1 year) or 50% (<2 years from last move) of relocation expenses, mostly engineering not EHS or supply chain focused
Helpfu",,4.0,3.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Software Engineering Manager,"Pittsburgh, PA",Current Employee ,Great Company,0,"- Competitive Pay
- Great Benefits
- Exciting Work
- Making people lives better
","- Sometimes too much process can interfere with daily work
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Supply Chain Analyst,"Alexandria, MN",Current Employee ,Good job,1,"Lots of good people to work with, lots of career paths to take, good employee benefits
","Politics of local leadership can be dramatic. Sometimes can feel impersonal, working for such a large company.
Advice to Management
Each individual in a leadership role needs to take personal responsibility and pride in supporting and encouraging their team. That's what makes a good leader and a boss that people will follow.
Helpful (1","Each individual in a leadership role needs to take personal responsibility and pride in supporting and encouraging their team. That's what makes a good leader and a boss that people will follow.
",4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Feb 01 2021, Sales Representative,N/A,Former Employee ,Good company,0,"Great company to work for
","Slightly lower pay than other companies of same size
Helpfu",,5.0,4.0,5.0,4.0,5.0,4.0,Recommends,,
Sun Jan 31 2021, Solution Architect,"Maplewood, MN",Current Employee ,Solution Architect,1,"One of a handful of vertically integrated manufacturing companies left in US. Loyal to MN, has it roots here and will probably never leave. A significant portion of 3Mers are lifers (15+ years or more) switching roles every couple years internally. If you're a mildly risk averse millennial who values stability and the chance for lifelong employment like the days of old, there is no better place. Incentive structure is very generous in this regard, promotes employment longevity and cross-training.
","Insular isolationist culture, does not look outwards enough for new ideas, technologies, processes. ""We are 3M and do things different"" prevents a lot of technology adoption that would be considered common place. This goes hand in hand with a tendency to recreate applications/solutions using local IT resources.
Helpful (1",,4.0,,,,,,,,
Mon Feb 01 2021, Inventory Accountant,"Springfield, MO",Current Employee ,3M,0,"Salary and insurance/HSA. Work/life balance.
","Restructuring has been somewhat difficult for many.
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,
Fri Jan 29 2021, Industrial Customer Specialist,"San Francisco, CA",Current Employee ,Positive Work Environment,1,"Great customer base and good culture
","Boy's club. Upper management is not as diverse as most large companies
Advice to Management
Diversify upper management
Helpful (1","Diversify upper management
",4.0,5.0,5.0,3.0,4.0,3.0,Recommends,Positive Outlook,
Sat Jan 30 2021, Supply Chain Analyst,"Alexandria, MN",Current Employee ,Good job,1,"Lots of good people to work with, lots of career paths to take, good employee benefits
","Politics of local leadership can be dramatic. Sometimes can feel impersonal, working for such a large company.
Advice to Management
Each individual in a leadership role needs to take personal responsibility and pride in supporting and encouraging their team. That's what makes a good leader and a boss that people will follow.
Helpful (1","Each individual in a leadership role needs to take personal responsibility and pride in supporting and encouraging their team. That's what makes a good leader and a boss that people will follow.
",4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sun Jan 31 2021, Manager,,Former Employee ,Great place to work and develop.,0,"Super innovative and scientifically driven.
","Matrix organization, but if you connect right, this is an advanteage.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Mon Feb 01 2021, Maintenance Technician,"Garden Grove, CA",Former Employee ,good job,0,"good place to learn and get experience
","no benefit when i started with the company
Helpfu",,5.0,5.0,5.0,5.0,4.0,2.0,Recommends,Positive Outlook,
Sun Jan 31 2021, Quality Control,"Brookings, SD",Former Employee ,Great place to work,0,"There is great management support
","Internationals have limited opportunities to grow their career
Advice to Management
Keep up the great work and support the international community in career development
Helpfu","Keep up the great work and support the international community in career development
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sat Jan 30 2021,Anonymous,,Former Employee ,Good company,0,"Good company in every way
","No downsides I can think of
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Graphic Designer,"San Antonio, TX",Current Employee ,Experienced Graphic Designer currently working global product labeling with 3M.,0,"I am organized, dependable, work well under pressure and very good at multi-tasking.
","Always trying to find ways to improve
Helpfu",,4.0,2.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Negative Outlook,
Fri Jan 29 2021, Quality Engineer,"Huntsville, AL",Current Employee ,Good Company,0,"Good benefits, stable company, global opportunities
","Corp. tends to micro-manage the decisions and needs of the local plants
Helpfu",,4.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 28 2021, Operations and Supply Chain,"Lexington, KY",Current Employee ,Good,0,"pays well - better than similar positions in other companies
","usually need to move to grow
Helpfu",,4.0,2.0,2.0,3.0,2.0,4.0,Recommends,Neutral Outlook,
Wed Jan 27 2021, Lean Six Sigma Black Belt,,Current Employee ,Good company,0,"Nice benefits I think. Long history and dedication to community.
","Restructuring a lot. Can be confusing
Helpfu",,5.0,3.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,
Tue Jan 26 2021, Engineer,"Saint Paul, MN",Current Employee ,Great Company with Great People,0,"Great culture. Very talented and hardworking people.
","Manufacturing plants run too lean in terms of staff.
Advice to Management
Hiring and retain people in Plants
Helpfu","Hiring and retain people in Plants
Helpfu",4.0,3.0,5.0,3.0,4.0,4.0,Recommends,Positive Outlook,
Tue Jan 26 2021,Anonymous,,Current Employee ,Great Company,0,"Cool technology, great benefits, solid pay, lots of room for growth
","No COL salary adjustments, lots of red tape, most locations are in the middle of nowhere
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Tue Jan 26 2021, Supervisor,,Current Employee ,Ethical Company,0,"Good and smart people to work with
","Tighten resources is putting strain on current employees
Helpfu",,4.0,,,,,,,,
Mon Jan 25 2021, Team Leader,"Columbia, MO",Former Employee ,Team leader,0,"Good pay, relaxed work environment
","Long hours and forced overtime
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Mon Feb 08 2021, Analyst,,Current Employee ,"Good pay, benefits no growth",0,"Very good pay, people, benefits
","no room for growth if you are not in the in-crowd. Limited learning of new technologies
Helpfu",,3.0,,,,,,,,
Mon Jan 25 2021, Financial Analyst,,Current Employee ,Great company,0,"Great company to work for
","There are no cons working here
Helpfu",,5.0,,,,,,,,
