date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Jan 03 2021, IT Manager,,Former Employee ,Good place to work,0,"Very flexible and accommodating the job was challenging but enjoyable. The people were great to work with.
","It’s a non profit organization and funding can be an issue.
Helpfu",,5.0,5.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Oct 30 2020, Employment Consultant,"Bellevue, WA",Current Employee ,Good with potential for improvement,0,,"ltant in Bellevue, WA
Recommends
Neutral Outlook
Approves of CEO
I have been working at AtWork! full-time for more than a year
Pros
Great coworkers, flexibility with time management, quite creative work, provide opportunity to impact lives in positive way
Cons
Detached upper management, middle management should be more knowledgeable about best practices in the field and provide mentorship, some managers are completely detached, slow to respond, and really don't act like managers at all, overall communication is unreliable and often times patchy or even broken
Advice to Management
Fix communication on all levels
Helpfu","Fix communication on all levels
Helpfu",4.0,3.0,4.0,4.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Mon Apr 22 2019, Manager,,Former Employee ,Great place to work with advancement oppertunities,0,"Strong values and mission, flexibility within schedule, lots of training opportunities for employment consultants, opportunities for growth and advancement, autonomy, supportive teams and leadership, learn to maintain a case load and create individualized services.
","High case loads, work-life balance can be difficult
Advice to Management
Continue to create more training opportunities for management
Helpfu","Continue to create more training opportunities for management
Helpfu",4.0,2.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 18 2019,Anonymous,"Bellevue, WA",Current Employee ,Fantastic Workplace and Mission!,1,"Supportive and thoughtful management. Everyone here really believes in the mission and it's inspiring to be around so many people who truly want to make a difference in the world! Great culture!
","I honestly can't think of any Cons at this time.
Advice to Management
Keep up the good work!
Helpful (1","Keep up the good work!
",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 27 2018,Anonymous,"Bellevue, WA",Current Employee ,Inspiring mission and passionate team,0,"The staff are very passionate about the work.
AtWork! has a welcoming and positive atmosphere for all employees not just leadership. 
The training for Employment ","ltants from day 1 is planned and presented from the first day of employment, your not just thrown into managing a caseload with out any knowledge.
Cons
This is a great place to work and I dont have any feedback on cons at this time
Advice to Management
Continuing creating opportunities for employees to grow
Helpfu","Continuing creating opportunities for employees to grow
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 27 2018,Anonymous,,Current Employee ,Meaningful Work!,0,"AtWork! cares about its employees and promoting a healthy and balanced work culture. Management has an open door policy and are always willing to meet with you.
","None that I can think of at this time.
Advice to Management
Keep on doing what you're doing!
Helpfu","Keep on doing what you're doing!
Helpfu",5.0,5.0,5.0,4.0,4.0,5.0,Recommends,,Approves of CEO
Tue Oct 09 2018,N/A,"Houston, TX","Technician I in Houston, TX",Love company,0,"Great to work for at this company
","Nothing bad to say about company
Advice to Management
Keep doing a great job
Helpfu","Keep doing a great job
Helpfu",5.0,3.0,3.0,5.0,1.0,1.0,Recommends,Neutral Outlook,No opinion of CEO
Wed May 02 2018,N/A,"Bellevue, WA"," in Bellevue, WA",Needs serious shake up,2,"The people who worked there, and those that are still hanging in there hoping for change, are good people.
","Distrust of upper management, closed door atmosphere, finger pointing, no consistency in direction, no clear communication, game playing, favorites.
Advice to Management
Put the clients and your employees before yourselves, before you don't have anyone around anymore.
Helpful (2)
AtWork! Response
February 19, 2019 – Director of People and Culture
Thank you so much for your review. My name is Gia and I am the new Director of People and Culture here at AtWork!. Since joining AtWork!, I can say that we take our open door policy very seriously however, I apologize that you did not feel that way when you were employed here. We are continually working to improve our culture and make this a healthy work environment where our employees feel valued. Thank you for your feedback, we always encourage our employees to voice their concerns","Put the clients and your employees before yourselves, before you don't have anyone around anymore.
",1.0,1.0,1.0,3.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Feb 20 2018,Anonymous,,Former Employee ,Unprofessional Company,2,"The individuals you get to serve are great- and it's rewarding work.
","Limited/no trainings provided, unprofessional management, lack of recognition or appreciation, low pay, a lot of driving, high turnover, and no opportunities for career growth.
Advice to Management
Listen to and support your employees.
Helpful (2)
AtWork! Response
February 19, 2019 – Director of People and Culture
Thank you for your review. I am the new Director of People and Culture as of August 2018. Your input is important to our organization's culture and community and we value your feedback. AtWork! is committed to ensuring our employees are trained and supported to be successful in their roles. We have worked very hard on developing a robust on-boarding and training process that prepares our employees for success","Listen to and support your employees.
",1.0,3.0,2.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Mon Jan 22 2018,N/A,, ,Lack of Employee Recognition,1,"Co-workers are great. The organization does a lot of good in the community. Good vacation policy. Good benefits, 10 holidays off a year.
","There is no recognition if you aren't part of the employment team no matter how hard you work or how much you contribute. Some leadership ignores the contributions other people in the organization make to the overall success of the organization. If you aren't one of the chosen few you are invisible to upper management.
Advice to Management
Recognize that all employees contribute to the success of the company and deserve to be recognized for their contributions. Some departments should be recognized for their contribution to the mission of AtWork! that aren't recognized as being important. Every single person who works at AtWork! is important and deserves acknowledgement and respect by upper management.
Helpful (1","Recognize that all employees contribute to the success of the company and deserve to be recognized for their contributions. Some departments should be recognized for their contribution to the mission of AtWork! that aren't recognized as being important. Every single person who works at AtWork! is important and deserves acknowledgement and respect by upper management.
",3.0,3.0,2.0,2.0,3.0,3.0,Doesn't Recommend,,Disapproves of CEO
