date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 18 2021, Retail Sales Consultant,"New York, NY",Former Employee ,Great company,0,,"ltant in New York, NY
Recommends
Positive Outlook
Approves of CEO
I worked at AT&T full-time for more than 3 years
Pros
Great company to work for!
Cons
Unattainable goals sometimes in extremely busy locations
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Account Executive,"Marietta, GA",Former Employee ,Sales,0,"You get to meet new people. Get paid however hard you work. Traveling and leadership training was cool.
","Commission base untill a certain requirement is met to receive base.
Helpfu",,5.0,3.0,5.0,5.0,5.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Sales,"Austin, TX",Current Employee ,Great company,0,"Very Flexible hours for school
","Customers can be really tough
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Disapproves of CEO
Thu Feb 04 2021, Sales Associate,"Hunting, WI",Former Employee ,It was okay,0,"Growth opportunities 
Friendly supervision 
Flexible schedules
Fair
Reliable
","Too much dealing with customers
Requires patience persistence 
Technological learning requires time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Fri Feb 05 2021, TDP ,,Current Employee ,Great Culture,0,"Positive work environment, challenging projects, opportunity for growth, embraces new technology, flexible work hours
","Bureaucracy that comes with a large company
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Fri Feb 05 2021, Software Applications Developer,"Atlanta, GA",Current Employee ,great company to work with,0,"open space work environment, no micro managing
","no promotion, changing project often
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Sales Associate,"Saint Louis, MO",Former Employee ,Great,0,"Good company and great money
","Long hours and some stress
Advice to Management
Time management
Helpfu","Time management
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Software Engineer,"Atlanta, GA",Current Employee ,"Good benefits, can get promoted",0,"If you want to get promoted make sure your supervisor knows what you can do. Was working for two years with average reviews but after being put on a team with my rating supervisor she saw my work and immediately started working for my promotion which was great. Also gave me an extraordinary rating rather than average for the year.
","Can work with some incompetent co-workers, thus have to pick up slack. Your title changes all the time and ive gone from hourly to salary back to hourly and used 3 different time reporting applications in the same company in 2.5 years.
Helpfu",,4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Senior Specialist RAN Engineer,"Atlanta, GA",Former Employee ,Great Place to Work,0,"Great Place to Work and Learn
","Management Style isn't the best
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Thu Feb 04 2021, U,"Fort Worth, TX",Current Employee ,AT&T,0,"Great benefits including tuition reimbursement
","Hours worked vary daily, never really know if your getting out on time.
Helpfu",,5.0,2.0,3.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Sales Representative,"Oklahoma City, OK",Current Employee ,Great company,0,"payment as well as bonuses
","very long hours and management issues
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Sales,"Austin, TX",Current Employee ,Great company,0,"Very Flexible hours for school
","Customers can be really tough
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Disapproves of CEO
Wed Feb 03 2021, Assistant Manager,"Denver, CO",Former Employee ,Not a bad place to work,0,"Great benefits, good pay, lots of opportunities for growth and development.
","Lots of metrics to meet, lots of pressure to perform.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Sales Account Executive,"Kansas City, MO",Current Employee ,AT&T Business Sales,0,"Good Health Care Benefits and opportunity move up.
","Very competitive within the sales arena and lots of cold calls.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Channel Marketing Manager,,Current Employee ,Things could be way worse,0,"Big brand name, stability, adequately staffed
","Too many cooks in the kitchen leads to confusion, inefficiency, etc.
Wayyyyyy too many reorganization within the company 
Very little growth opportunity leads to a complacent attitude among those who have been there for awhile. Not the best environment for a go getter
Helpfu",,4.0,5.0,3.0,4.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021," Director, Product Marketing Management","Redmond, WA",Former Employee ,It's a really big company,0,"Stable work environment with lots of opportunity to learn and grow. The company is so big that there are many different jobs and projects to continually stretch out and grow. There are many processes in place to ensure employees know what to do but it it also forces employees to use one-size-fits-all processes, resulting in very vanilla products. Management generally wants to do the right thing and is supportive of employees.
","Too much bureaucracy and fear of risk holding back progress and innovation. The top management pushes for innovation but it gets diluted with too much politics at all level of management, especially middle-management.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, MI60,"Little Rock, AR",Current Employee ,It's almost perfect,0,"Good benefits, most managers are awesome
","A little unorganized at times, some managers like to show child-like behavior
Advice to Management
This isn't high school. Lets work as a team and get things done.
Helpfu","This isn't high school. Lets work as a team and get things done.
Helpfu",4.0,4.0,2.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Retail Sales Representative,"Birmingham, AL",Former Employee ,Great company,0,"Flexible, understanding, ok to work with
","Micromanagers, messy, obnoxious coworkers who get on nerves
Helpfu",,4.0,4.0,4.0,3.0,5.0,4.0,,,
Thu Feb 04 2021, Software Engineer,"Atlanta, GA",Current Employee ,"Good benefits, can get promoted",0,"If you want to get promoted make sure your supervisor knows what you can do. Was working for two years with average reviews but after being put on a team with my rating supervisor she saw my work and immediately started working for my promotion which was great. Also gave me an extraordinary rating rather than average for the year.
","Can work with some incompetent co-workers, thus have to pick up slack. Your title changes all the time and ive gone from hourly to salary back to hourly and used 3 different time reporting applications in the same company in 2.5 years.
Helpfu",,4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Retail Sales Consultant,,Former Employee ,Awesome place to work,0,,"ltant 
I worked at AT&T full-time for more than 10 years
Pros
The pay and benefits are amazing
Cons
The sales goals are often times too high
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Wed Feb 03 2021, In Home Expert,"Guntersville, AL",Current Employee ,Even better than I thought,0,"The amount of people and materials at your disposal when you start this job is outstanding. The hospitality is on a different level than any other organization I’ve worked with.
","So far I haven’t seen a downside.
Advice to Management
Keep doing exactly what you’re doing. The experience has been great.
Helpfu","Keep doing exactly what you’re doing. The experience has been great.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Service Representatives,"Richardson, TX",Former Employee ,Great place to work,0,"Great pay and Benefits and room for growth
","great and attendance needed and being on time is required
Advice to Management
fairness required
Helpfu","fairness required
Helpfu",5.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Data Scientist,"Denver, CO",Current Employee ,Fun,0,"Great benefits and awesome work. Would recommend
","None that I can think of
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Business Manager,"Dallas, TX",Current Employee ,Demanding But Rewarding,0,"Good Pay and benefits. Challenging work environment
","Demanding and fast paced environment.
Advice to Management
Better compensation for high performers
Helpfu","Better compensation for high performers
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Retail Store Manager,,Current Employee ,Rewarding Job,0,"AT&T is a great place to gain experience in sales, and leadership.
","Growth beyond a Store Manager can become limited without relocation.
Helpfu",,5.0,2.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Technical Business Manager,,Current Employee ,"Scrum master, product manager, developer",0,"Great people/boss/team. Compensation is good too. 
Great time off. Total almost 6 weeks. Unlimited sick time.
","Non at the moment. Projects and work is well balanced.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Wed Feb 03 2021, Asministrative Assistant,"Charlotte, NC",Former Employee ,Good company,0,"Good benefits and opportunities for
Promotion
","Overtime is expected and hours can be long
Helpfu",,5.0,4.0,4.0,,,,,,
Tue Feb 02 2021, Installation Technician,"Redding, CA",Former Employee ,Good time,0,"Easy job 
Good coworkers
Lots of training
Safe place to work
","Poor management 
Lots of changes with little explanation
Helpfu",,4.0,5.0,5.0,5.0,3.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Premises Technician,"Saint Louis, MO",Former Employee ,Decent Job,0,"Pay, benefits, 401k, working alone
","Work hours, management, upward mobility
Advice to Management
Treat your workers and assets.
Helpfu","Treat your workers and assets.
Helpfu",4.0,3.0,3.0,5.0,2.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Accounts Receivable Manager,"Dallas, TX",Former Employee ,Great place to work,0,"Great benefits, great work/life balance, advancement, decent pay.
","Downsizing occurs often due to acquisitions.
Advice to Management
Value your employees and reflect on what you've invested in them.
Helpfu","Value your employees and reflect on what you've invested in them.
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Senior Technical Architect,"San Ramon, CA",Former Employee ,Good company,0,"Good brand, great culture, ok perks
","constant downsizing to save costs
Helpfu",,4.0,4.0,4.0,5.0,3.0,4.0,,,
Wed Feb 03 2021, Senior Sourcing Manager,"Saint Louis, MO",Current Employee ,Great place to work,0,"It is a great place to work. People are awesome.
","Best to be located in Dallas for more opportuntites.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Customer Service Loyalty,"Mesa, AZ",Current Employee ,They pay very well but it's just non stop calls,0,"Very high pay. I make about 50000 a year
","Non stop calls , very driven metrics
Advice to Management
Do something about the non stop calls
Helpfu","Do something about the non stop calls
Helpfu",4.0,3.0,4.0,5.0,5.0,5.0,Recommends,Negative Outlook,No opinion of CEO
Mon Feb 01 2021, Retail Sales Consultant,,Former Employee ,Competitive and Fun Place to Work,0,,"ltant 
I worked at AT&T full-time
Pros
Good training program, Nice incentives, Good benefits, Tuition reimbursement, Many opportunities to advance in career
Cons
The management changes very frequently
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,,,
Tue Feb 02 2021, Retail Sales Associate,"New York, NY",Current Employee ,Great Company,0,"They offer great employee perks
","The pressure to meet a sales quota.
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Technician,"McAllen, TX",Current Employee ,Good job,0,"Fast moving good pay all the time
","Not enough work slow all the time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Sales Supervisor,"Tampa, FL",Current Employee ,Great,0,"Good pay and the benefits
","Pay could be better for sure
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Systems Technician,"Oklahoma City, OK",Current Employee ,At&t,0,"stable work at entry level
","metric driven results closely monitored
Advice to Management
Leave medical and pensions alone
Helpfu","Leave medical and pensions alone
Helpfu",4.0,3.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Disapproves of CEO
Mon Feb 01 2021,Anonymous,,Current Employee ,e,0,"Pretty good. Not too bad.
","No downsides are preset here.
Helpfu",,4.0,3.0,4.0,3.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Customer Service Representative,"Miami, FL",Former Employee ,Good overall.,0,"Overall great job to have. Good benefits
","No real cons for me personally
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Business Sales Coach,"Glendale, CA",Current Employee ,Better than retail job,0,"Easier than any sales position
","Union employee to manage. Toughest
Helpfu",,4.0,1.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, ATT Retail Sales Consultant,"Birmingham, AL",Current Employee ,Ok,0,,"ltant in Birmingham, AL
Recommends
Negative Outlook
No opinion of CEO
I have been working at AT&T full-time for more than 8 years
Pros
Pay benefits and rewards are great
Cons
Management in retail are on a power trip
Advice to Management
Managers should always be team players
Helpfu","Managers should always be team players
Helpfu",4.0,5.0,1.0,3.0,3.0,5.0,Recommends,Negative Outlook,No opinion of CEO
Tue Feb 02 2021, AT&amp;T B2B Sales Program,"Dallas, TX",Former Employee ,"Great company, but make sure sales is something you really want to do",0,"Pay was great for someone coming right out of school
Provide housing
Inclusive culture
","I suck at inside sales
Because of COVID we had to work from home which made it harder to reach customers
The program was sold as preparing you for outside sales, but the entirety of the program was like a call center
Helpfu",,4.0,3.0,5.0,5.0,5.0,5.0,,,
Tue Feb 02 2021, Service Manager ,"New York, NY",Former Employee ,AT&T,0,"Stable company, good benefits, great culture and people
","A bit lower salary comparing to other Companies
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Network Administrator,"Columbia, MD",Former Employee ,Have to fill this out.,0,"Free direct tv and cheap cell phone service
","Too much focus on the profit of the contract.
Helpfu",,4.0,,,,,,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Technician,,Former Employee ,Not what it used to be,0,"It's good work, but things have changed a lot over the years. Making it hard to take pride in your work with management pushing productivity.
","Management just carries about widgets
Helpfu",,4.0,,,,,,,,
