date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 25 2021, Postdoctoral Fellow,"Boston, MA",Current Employee ,All the benefits as permanent employee,0,"All the benefits as permanent employee
","May not be isolated from pipeline project for publication
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Senior Scientist I,"Worcester, MA",Former Employee ,Excellent benefits,0,"Benefits were exceptional including pension plan.
","Slow promotion and less opportunities for non Ph.Ds.
Helpfu",,5.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Intake Specialist,,Current Employee ,Pharmacy technician,0,"Everyone knows everyone, like a big family
","They overwork you and a lot of mandatory overtime
Helpfu",,4.0,2.0,5.0,5.0,4.0,5.0,,,
Mon Feb 08 2021, Immunology Sales Representative,"New York, NY",Current Employee ,Great company,0,"Benefits, pension, culture, compensation, products
","Sales goals can be challenging at times and it’s about who you know to advance
Advice to Management
Continue to value your sales representatives hard work
Helpfu","Continue to value your sales representatives hard work
Helpfu",4.0,4.0,4.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Quality Engineer,"Cincinnati, OH",Current Employee ,awesome company,0,"great benefits and work/life balance
","nothing I can think of
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Sales Representative,,Current Employee ,Good company,0,"The culture and people are great here
","Location of the office could be more central
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Quality Control Scientist,"Barceloneta, PR",Current Employee ,Excellent Work Culture,0,"Excellent work culture, very open and they like to give opportunities for growing professionally.
","Could hire more personnel in several areas in order to run projects more efficiently.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Co,"Worcester, MA",Former Employee ,Co-op,0,"Good colleagues, amazing opportunities to learn more, good insight into a biopharma industry
","The cafeteria should have food for people with dietary restrictions.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Wed Feb 03 2021, Senior Specialist (HR),"North Chicago, IL",Current Employee ,"Great company, lots of internal opportunities to grow, support employees through career and benefits",0,"Lots of upward mobility opportunities, great leadership in HR and across the organization
","Dependent on team, work life balance can become challenging
Advice to Management
Continue to reinforce employee mental health practices to maintain balance between personal and professional life
Helpfu","Continue to reinforce employee mental health practices to maintain balance between personal and professional life
Helpfu",5.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021," Manager, Clinical Development","Los Angeles, CA",Former Employee ,"OK, got bought",0,"It is a fine company with lots of growth opportunities
","As mentioned, the company is re-structuring so a lot of learning curve and not a lot of flexibilities.
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Senior Specialist (HR),"North Chicago, IL",Current Employee ,"Great company, lots of internal opportunities to grow, support employees through career and benefits",0,"Lots of upward mobility opportunities, great leadership in HR and across the organization
","Dependent on team, work life balance can become challenging
Advice to Management
Continue to reinforce employee mental health practices to maintain balance between personal and professional life
Helpfu","Continue to reinforce employee mental health practices to maintain balance between personal and professional life
Helpfu",5.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Inside Sales Representative,"Austin, TX",Current Employee ,Great place to work,0,"The company offers plenty of opportunity and the benefits are great!
","Nothing right now, they have been very supportive during the pandemic.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Mon Feb 01 2021, Senior Scientist I,,Current Employee ,Culture,0,"Highly collaborative environment. Good colleagues around.
","Not that I am aware off
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Mon Feb 01 2021, Specialty Sales Representative,,Current Employee ,Specialty Representative,0,"Excellent benefits and culture on the team
","No cons to report at the time
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Software Engineer,"Champaign, IL",Former Employee ,Nice,0,"Good, Chill work. Lot of cool things going on.
","NA because my time there was veery fun.
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021,Anonymous,"North Brunswick, NJ",Former Employee ,Great place to work,0,"Good benefits, challenging work, skilled people
","Complex structure, very lean, can get lost in the crowd
Helpfu",,4.0,5.0,3.0,2.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Jan 31 2021,Anonymous,,Current Employee ,Great Company if you are dedicated,0,"Rewards dedicated employees; gives employees opportunities to work in organizations; Senior leaders are very dedicated
","It is large biopharma company; Easy to work a lot of hour if you're not careful.
Helpfu",,5.0,3.0,4.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Sales Representative,"Chicago, IL",Current Employee ,Great Company,0,"Professional and committed company at every level
","lots of changes and people moving around
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Account Executive,"Minneapolis, MN",Current Employee ,Account Executive,0,"Great work atmosphere, treats us well.
","Each division works independently of one another, which can be good and bad.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Manager,"Boston, MA",Former Employee ,Great company and culture overall,0,"Great work culture, passionate and collaborative colleagues
","not a 9-5, large organization with lack of clarity of who are decision makers, low-ball salaries for jobs in the tech hubs outside of the LC HQ
Helpfu",,4.0,3.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Clinical Sales Representative,"Cleveland, OH",Current Employee ,Clinical Sales Representative,0,"Good earning potential
Good work life balance
","Some lower level management is very micromanaging
Helpfu",,4.0,5.0,5.0,5.0,4.0,5.0,,,
Wed Jan 27 2021, BHR,"North Chicago, IL",Former Employee ,Good company,0,"Good culture, accountability, and work ethic
","Work life balance not always easy to achieve
Helpfu",,4.0,2.0,4.0,2.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Senior Finance Manager,"Riverwoods, IL",Former Employee ,"Good company, good benefits.",0,"Industry and Company is stable, proven record of delivery financial results.
","Lack of opportunities to continue advancing
Helpfu",,4.0,4.0,4.0,2.0,2.0,4.0,Recommends,,Approves of CEO
