date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Technical Support Representative,"Portland, OR",Current Employee ,Awesome,0,"Great Team to work with
","Leadership management skills can be improved
Helpfu",,5.0,3.0,5.0,4.0,4.0,3.0,,,
Mon Feb 08 2021, Associate Project Manager,"Lake Forest, IL",Former Employee ,n/a,0,"Very smart colleagues teaching strong habits
","Very intense culture, demanding, not overly social
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Senior Software Engineer,"Santa Clara, CA",Current Employee ,Nice big company,0,"Salary and benefits are great.
","Too many layers of management. Not efficient.
Helpfu",,4.0,5.0,4.0,3.0,3.0,4.0,Recommends,Neutral Outlook,Disapproves of CEO
Mon Feb 08 2021, Production Specialist II,"Scarborough, ME",Current Employee ,Not The Worst,0,"Very easy work, everyone is friendly. Large break room. Pay is decent.
","Odd shift start and end times. Parking is a nightmare sometimes.
Helpfu",,4.0,2.0,3.0,4.0,4.0,4.0,,,
Sun Feb 07 2021, Administrative Assistant,,Former Employee ,Abbott,0,"Great work life balance and culture
","wanted mentor in job training
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sun Feb 07 2021, Clinical Specialist,"Washington, DC",Current Employee ,Rewarding job,0,"Direct patient and customer interaction. Great benefits.
","Difficult to navigate career growth. Culture highly dependent on location/team.
Advice to Management
Root out toxic team members, extend opportunities for career growth.
Helpfu","Root out toxic team members, extend opportunities for career growth.
Helpfu",5.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Medical Affairs Manager,"Chicago, IL",Current Employee ,Good place.,0,"Good place to work 
Opportunity to grow if you seek it
","Politics
Difficult to move unless you have “in”
Helpfu",,4.0,4.0,4.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Support,"Cincinnati, OH",Current Employee ,Good company,0,"Great team support and opportunities for growth
","Limited opportunities if you can’t relocate.
Helpfu",,4.0,4.0,5.0,5.0,4.0,5.0,,,
Sat Feb 06 2021, Competitive Intelligence Manager,"Chicago, IL",Current Employee ,Great place to work,0,"Amazing and passionate people. Really happy with my time here
","Could get bureaucratic. Too many layers to get things done
Helpfu",,5.0,4.0,5.0,5.0,3.0,5.0,,,
Sat Feb 06 2021, Senior Project Engineer,"Westford, MA",Current Employee ,Too many great projects,0,"Wide variety of Projects & many knowledgable teammates
","Too aggressive deadlines & you get the blame for not meeting them
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Logistics Analyst,,Current Employee ,Good,0,"Benefit is good and work life balance is good
","Company is big , a lot of project
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Administrative Assistant,"Abbott Park, IL",Current Employee ,Great Coworkers,0,"-Team effort
-Benefits are great
-Management
-Leads are very helpful
","-Communication 
-Long Hours on some days
Helpfu",,5.0,4.0,3.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Quality Engineer,"Temecula, CA",Former Employee ,Good company & opportunities but Abbott Vascular office in Temecula is understaffed,0,"Management visibility, they care about employees, they give opportunities to grow (they encourage you to try out other aspects of the organization every 2-3 years), people are friendly and care for the work they do.
","The Temecula office (abbott vascular), especially the quality division, often requires 10 hour days, sometimes 12 hours because of a shortage of personal and processes that are a bit more bloated then ideal. The pay is industry average, I guess.
Advice to Management
Make some of the work requirements leaner to reduce overhead. Or, hire more people (not recommended because already we are less efficient than our peers)
Helpfu","Make some of the work requirements leaner to reduce overhead. Or, hire more people (not recommended because already we are less efficient than our peers)
Helpfu",4.0,3.0,5.0,5.0,5.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Medical Affairs Manager,"Chicago, IL",Current Employee ,Ns,0,"Good people, lots of resources
","Old school culture ..requires in office
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Territory Manager,"Seattle, WA",Current Employee ,Great Company to work for,1,"Stable, diverse product lines, industry leader in healthcare, diversity program, pays well
","Can't think of any Cons
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Sales Executive,,Former Employee ,Overall a good company,0,"quality products and research and development
","Too big and corporate administration issues
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Retail Development Representative,"Phoenix, AZ",Former Employee ,Great program with good growth,0,"Good growth opportunities, and this position gives you the freedom to explore a variety of career paths. Solid company with good management.
","More travel than I was initially expecting.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Production Assembler,"Gurnee, IL",Current Employee ,Amazing Company,0,"Really amazing environment super clean
","Not downsides everything and everyone are so nice
Helpfu",,5.0,,,,,,Recommends,,
Thu Feb 04 2021, Integration Engineer,"Kansas City, MO",Current Employee ,"Great, stable, good culture, respectful atmosphere",0,"Promote from within, healthy management styles
","Workload can get heavy, but that's to be expected
Advice to Management
Keep promoting from within and valuing experienced employees
Helpfu","Keep promoting from within and valuing experienced employees
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Research Analyst,,Current Employee ,Abbott,0,"Very good company to be a part of
","Sometimes it can be very high paced
Helpfu",,4.0,3.0,5.0,3.0,4.0,5.0,,,
Thu Feb 04 2021,Anonymous,"San Francisco, CA",Current Employee ,Gargantuan Organization With Many Opportunities If You Can Navigate It,0,"- Storied Success
- Innovative Products
- Fulfilling Work
","- Easy to get comfortable or lost in the noise of 100,000+ global colleagues
- Scope of work if likely to be narrow, limiting paths career development
- Projects may move slowly compared to smaller organizations
Advice to Management
Differences in the treatment of employees that were part of an acquisition are noticed and more should be done to ""close the gap"" on pay, benefits, involvement in company direction. 
Continue to explore ways to develop and retain talent. Recent changes to parental leave, PTO, benefits programs are much appreciated and great to see.
Helpfu","Differences in the treatment of employees that were part of an acquisition are noticed and more should be done to ""close the gap"" on pay, benefits, involvement in company direction. 
Continue to explore ways to develop and retain talent. Recent changes to parental leave, PTO, benefits programs are much appreciated and great to see.
Helpfu",4.0,5.0,5.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Software Engineer I,"Sunnyvale, CA",Former Employee ,Stale but Secure,1,"I worked at St Jude Medical during the acquisition.

Great job security and decent benefits.
","The work environment was stale and the projects werent the most inspiring. I much prefer the fast pace of a startup.
Helpful (1",,4.0,5.0,1.0,2.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Engineering Co,,Former Employee ,Great Company,0,"Learned so much about software engineering.
","There were no cons to be honest.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Mon Feb 01 2021, Administrative Executive Assistant,"Hollywood, FL",Former Employee ,Don't get fully by the cover,0,"Solid company, opportunities to grow
Nice coworkers
","Never have contact with the supervisor, 
Communication not clear
Advice to Management
Be accessible to your remote assistant 
So she can excel in serving you
Helpfu","Be accessible to your remote assistant 
So she can excel in serving you
Helpfu",5.0,1.0,3.0,1.0,3.0,3.0,Doesn't Recommend,Negative Outlook,
Fri Jan 29 2021, Senior Product Manager,"Lake Forest, IL",Current Employee ,Great culture and products,1,"You work with a lot of very hardworking, smart, dedicated people. There is a lot of energy and focus on results to deliver products for patients and clinicians. The hours are longer, but the work is rewarding. Trust in leadership is high. Customers love the products.
","The org structure is complicated, with integrations of acquired companies still in process. There's an imbalance within divisions of resources. Siloed teams can either conflict, compete, or operate with blinders. In need of a larger reorganization that will be painful but necessary. Decision making can be top-down and slow. Weak on strategy. Lack of flexible working options has limited the talent pool in some divisions.
Advice to Management
Modernize the work policy and allow more flexible options for working remotely. Align business units to make the customer experience more streamlined.
Helpful (1","Modernize the work policy and allow more flexible options for working remotely. Align business units to make the customer experience more streamlined.
",4.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Engineering Manager,"Atlanta, GA",Current Employee ,A Great Place to Work,0,"Growth and Respect and plenty of room for improvement
","Not much family or life time
Helpfu",,5.0,4.0,4.0,4.0,5.0,4.0,,,
Fri Jan 29 2021, Billing Support,"Lake Forest, IL",Current Employee ,Great company,0,"Great company and benefits for new employees
","I can’t think of any
Helpfu",,5.0,4.0,4.0,4.0,4.0,3.0,,,
Fri Jan 29 2021, Sales Territory Manager,"Savannah, GA",Former Employee ,Great Company with Great Benefits,0,"Structure, Support, Benefits and a great team
","Structure and Personal Development to those that want to grow
Helpfu",,4.0,3.0,3.0,3.0,3.0,3.0,,,
Fri Jan 29 2021, Sales Manager,"Colorado Springs, CO",Current Employee ,SAles,0,"good work for life balance
","can be difficult at times for quota
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Clinical Specialist,"San Antonio, TX",Current Employee ,Good,0,"Pay, benefits, reputation, market leader
","Work life at times, marketing
Advice to Management
Promote before people leave
Helpfu","Promote before people leave
Helpfu",5.0,3.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Infrastructure Specialist,"Temecula, CA",Former Employee ,"Great Benefits, Great Opportunities",0,"I really enjoyed the culture and the people I worked for.
","Organizational changes moved the company in a direction that caused thousands of layoffs.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Team Manager,"Columbus, OH",Former Employee ,Great Company,0,"Good culture and employee benefits
","I was there for a short time
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Engineer,,Current Employee ,Not a bad place to work,0,"Lots of Opportunities for Growth and Development
","Not a very diverse environment
Helpfu",,4.0,3.0,3.0,2.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Sales Representative,,Current Employee ,Great Company,0,"Great team, flexible schedule as it is remote
","Salary isn’t the best but company over all takes care of you.
Helpfu",,5.0,5.0,4.0,4.0,4.0,3.0,,,
Mon Jan 25 2021, Engineer,"Los Angeles, CA",Former Employee ,quality,0,"Well funded company to work for
","Large divisions that overlook individual sites
Advice to Management
Listen to employees
Helpfu","Listen to employees
Helpfu",5.0,3.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Operator,"Plymouth, MN",Current Employee ,Work place enviorment,0,"Nice easy going co workers, great benefits, and has 40lk.
","Management favorite employees they like so they never get in trouble.
Helpfu",,2.0,2.0,3.0,3.0,2.0,5.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Senior IT Business Analyst,"Abbott Park, IL",Former Employee ,Moved to another company and never looked back,0,"-Feels good to work for a company that produce products that have a positive impact on our health
- Decent benefits for employees
- Met some really talented people who helped expand my knowledge/skills
","- Horrible management that like to surround themselves with followers that do not have any original ideas of their own, since they don't usually want to hear them, and instead look for paper pushers
- Boys club that tends to reward those they are chummy with rather than the most qualified candidates.
- Lack of career development/opportunities for those that go the extra mile to prove themselves
Advice to Management
I had met some really solid people during my stay with this firm, however there are numerous leaders in there IT org (during my years) that were clueless to what really goes on in their org. and continue to promote people for the wrong reasons.
Helpfu","I had met some really solid people during my stay with this firm, however there are numerous leaders in there IT org (during my years) that were clueless to what really goes on in their org. and continue to promote people for the wrong reasons.
Helpfu",2.0,2.0,2.0,3.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sun Jan 24 2021, Regional Account Manager,"Orlando, FL",Former Employee ,Corporate and little room for innovation,0,"benefits, profit sharing, pension and ability to acquire companies
","uptight culture
like to promote the shiny object and not sales success
Helpfu",,4.0,2.0,3.0,2.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 24 2021, District Manager,"Chicago, IL",Current Employee ,Great place to work,0,"Good Salary, great culture, strong leadership
","High pressure to meet company margins
Helpfu",,4.0,3.0,3.0,4.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, District Manager,"Chicago, IL",Current Employee ,Great place to work,0,"Good Salary, great culture, strong leadership
","High pressure to meet company margins
Helpfu",,4.0,3.0,3.0,4.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Scientist,"Lake Forest, IL",Current Employee ,Overall great,0,"Great benefits and good work life balance. Great people to work with and interesting projects. Fair pay and respect from leaders to employees. Kept workplace safe during covid era.
","Not likely to adapt to changing workplace lifestyles such as flexible work/work from home.
Helpfu",,4.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Human Factors Engineer,"Santa Clara, CA",Current Employee ,R&D,0,"Growth, established, impactful, family-oriented, charitable
","Big company, not as intimate, very systematic
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Technical Services Engineer,"Los Angeles, CA",Current Employee ,Support Role,0,"Good work life balance + benefits
","Nature of work is not team based
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Medical Writer,"Saint Paul, MN",Current Employee ,Decent place to work,0,"Professional development opportunities are great.
","Teams are almost too lean.
Advice to Management
Hire more people!
Helpfu","Hire more people!
Helpfu",4.0,2.0,3.0,3.0,3.0,4.0,Recommends,,Approves of CEO
