date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Dec 31 2020, Senior EDI Coordinator,,Former Employee ,Review of company,0,"Aflac is a family oriented atmosphere with great benefits
","Promotion Opportunities for those that deserve it were low
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Feb 10 2021, Account Executive,"Kansas City, MO",Current Employee ,Family focused company which rewards hard work and integrity,0,"Aflac is transforming itself into an ancillary insurance carrier. It started out as a voluntary benefits or worksite carrier in the 1950's and it the past 6 years, it has expanded to work in the insurance broker community, bought Zurich's group life, disability and absence management company. Aflac also purchased Argus' dental and vision business. Aflac has listened to it's brokers and customers and is consistently improving its everyday Customer Service and billing. Aflac hasn't forgotten where it came from which is a company that perfected the enrollment process. Insurance is not easy for the lay person to understand and one on one enrollment a huge asset for covered individual and group policyholders. Aflac will enroll other carrier's products if needed including medical and all other benefit offerings. Aflac treats its employees like family. Lastly, Aflac will always side of behalf of its participants when it comes to processing claims. If there is way to pay benefits to our customers, we do and are committed to putting the customer first.
","Aflac is not different from other companies which were established many decades ago. It is conservative and does not make systematic changes quickly. However, this is the way that Aflac has remained financially sound during this pandemic. It watches the bottom line very carefully so it can always meet it financial commitment to policyholders and investors.
Advice to Management
Stay on course and the future is bright. It is critical to continue to fine tune how our operations treat our customers that touch them the most. Customer Service and Billing improvements must remain a focus.
Helpfu","Stay on course and the future is bright. It is critical to continue to fine tune how our operations treat our customers that touch them the most. Customer Service and Billing improvements must remain a focus.
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021,Anonymous,,Current Employee ,Aflac,0,"Great place to work. Challenging work
","Salaries are low and need to represent those of the entire state.
Advice to Management
Reward those that are putting in the work.
Helpfu","Reward those that are putting in the work.
Helpfu",4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Thu Feb 04 2021, Enrollment Solutions,"Columbus, GA",Current Employee ,Enrollment Solutions,0,"Aflac is a sgeat place to work
","There are none worth mentioning
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, IT Senior Support Specialist,"Columbus, GA",Current Employee ,n/a,0,"great company to work for.
","none that i can think of.
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Staff Associate,"Houma, LA",Former Employee ,Constantly changing work environment,0,,"antly changing work environment""
3.0
★★★★★
Former Employee - Staff Associate in Houma, LA
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Aflac full-time for less than a year
Pros
lots of hustle and bustle
Cons
staff is constantly fluctuating with new hires
Advice to Management
make things more consistent
Helpfu","make things more consistent
Helpfu",3.0,5.0,3.0,4.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 22 2021, Systems Administrator,"Smyrna, GA",Current Employee ,A great place to work,0,"Good balance of work and family time
","There are no Cons - thank you
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Benefits Advisor,"New York, NY",Current Employee ,Waste of time,0,"Very nice and helpful people
","Cold calling
Only commissions 
No base pay
Use your own network
Advice to Management
Add a base pay to make working sustainable
Helpfu","Add a base pay to make working sustainable
Helpfu",2.0,4.0,4.0,4.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Mon Feb 01 2021, Benefits Advisor,"Nashville, TN",Former Employee ,Every Man For Himself,0,"Opportunity to make a large sum of money
","If you don’t catch on quick enough for them, they’ll leave you too fend for yourself. If you’re a top producer, they’ll go above and beyond for you.
Advice to Management
Put as much effort into the success of all producers instead of playing favorites. Be careful what you say about others. Trust no one because word still travels fast whether you’re an up lead or not.
Helpfu","Put as much effort into the success of all producers instead of playing favorites. Be careful what you say about others. Trust no one because word still travels fast whether you’re an up lead or not.
Helpfu",3.0,1.0,2.0,2.0,3.0,3.0,Doesn't Recommend,Negative Outlook,
Thu Jan 14 2021,Anonymous,"Idaho Falls, ID",Current Employee ,great company,0,"lots of bonuses and support
","one pro and con is that you are a 1099
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Thu Jan 28 2021, Claims Specialist,"Columbus, GA",Current Employee ,n/a,0,"Great company benefits for employees.
","Most of the departments are production driven.
Helpfu",,3.0,,,,,,Doesn't Recommend,Positive Outlook,No opinion of CEO
