date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Operations Specialist,"Portland, OR",Current Employee ,your career is what you make of it,0,"lots of room for promotion, learning, and development
","your work reputation will proceed you. Once decided can be hard to change others opinions about your work ethic
Advice to Management
Spend more time developing lower-level leadership. front end and dept managers
Helpfu","Spend more time developing lower-level leadership. front end and dept managers
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,,,
Sat Feb 06 2021, Cashier,N/A,Former Employee ,Straightforward Job,0,"Easy to do if you pay attention.
","Uniform is stuffy but they were flexible at times with what you could wear
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,,,
Thu Feb 04 2021, Butcher Block Clerk,"Huntington Beach, CA",Current Employee ,Great Place to Work,0,"Everyone I work with is friendly and professional
","Wish I could advance with in the company at a faster pace.
Advice to Management
Advocate for your employees more diligently
Helpfu","Advocate for your employees more diligently
Helpfu",5.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Barista ,"Williston, ND",Current Employee ,Great place to work,0,"Great atmosphere and people at alberstons
","the Starbucks isn't well constructed
Helpfu",,5.0,3.0,3.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Retail Sales Associate,"Cedar Hill, TX",Current Employee ,Albertsons Company,0,"Good work environment, good benefits, steady hours
","Management team, and customer service
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Pharmacist,"Billings, MT",Former Employee ,Pharmacist salary,0,"Great understanding scheduling and management
","Not enough hours or yearly raise
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Software Engineer,"San Francisco, CA",Current Employee ,FAAANG,0,"Facebook Albertsons Amazon Apple Netflix Google. Albertsons is the upper echelon of tech. As a blind developer they accommodate me well.
","All the free grocery food is making me fat
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Director,"Pleasanton, CA",Current Employee ,Good Culture and people are good!,0,"Work Culture is very good
","Benefits isn't great compared with others
Helpful
Albertsons Companies Response
February 3, 2021 – Social Media Writer
Hello! Thanks for sharing your experience. We're glad to hear you enjoy working for Albertsons and appreciate the company culture! :",,4.0,,,,,,,,
Sat Jan 30 2021, Assistant Store Manager,"Los Lunas, NM",Current Employee ,Na,0,"Good upper management very easy to work with
","Hard work and very stressful job
Advice to Management
Work hard follow through
Helpfu","Work hard follow through
Helpfu",5.0,3.0,5.0,5.0,5.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Cashier,"Tucson, AZ",Current Employee ,Albertsons,0,"Amazing people, a lot of opportunities, you can easily change jobs in the stores, flexible hours
","Pay is okay, it only increases 10 cents a year DEPENDING on how many hours you work. If you do not work full time you will not receive a raise. They keep hiring people because they don’t have enough people in a certain position at a certain time. But then they cut back on everyone’s hours way to much
",,4.0,5.0,2.0,4.0,4.0,3.0,Recommends,Positive Outlook,Disapproves of CEO
Sat Jan 30 2021, Courtesy Clerk,"Fort Worth, TX",Former Employee ,Great if you don’t have a family,0,"Friendly customers. Discount on groceries
","Abusive manager. Lazy co workers.
Helpfu",,4.0,1.0,4.0,5.0,3.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Thu Jan 28 2021, Courtesy Clerk,N/A,Former Employee ,Great Job,0,"Great people to work woth
","Simple job, usually part time
Helpfu",,5.0,4.0,4.0,4.0,5.0,4.0,,,
Thu Jan 28 2021, Produce Clerk,"Homedale, ID",Former Employee ,Good place to work,0,"Flexible schedule, easy work, potential to work into full time
","Low pay, hours depend on the season/time of year, high turnover
Helpfu",,4.0,4.0,3.0,5.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 26 2021, Cashier,N/A,Former Employee ,Alright,0,"Flexible hours, cool managers, night shifts are super easy
","Customers suck sometimes and holidays are hard when you have to work
Helpfu",,4.0,3.0,4.0,4.0,5.0,4.0,,,
Mon Jan 25 2021, Loyalty Operations,"Pleasanton, CA",Current Employee ,Great company for employees (and customers),0,"Employees at all levels feel important and can contribute
","Pre-covid slowish career advancement. After, lots of opportunity
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Produce Clerk,"Oregon City, OR",Former Employee ,Good school job,0,"Busy, but good. Coworkers were great. Great job while in school.
","A little hard to advance.
Helpfu",,4.0,4.0,3.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Jan 24 2021, Grocery Clerk,"Durango, CO",Current Employee ,Flexible,0,"They work well with my schedule.
","You are inside all day.
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Pharmacy Manager,"Springfield, OR",Current Employee ,Rx manager at Safeway Pharmacy,0,"Good Benefits. Occasionally receive a quarterly bonus when entire store sales are good
","Expected to meet unrealistic quotas weekly on vaccinations, MTM etc Continually understaffed. Continually rolling out new programs with minimal to no traing time at work. Having to put in average of 5 hrs a week unpaid time to keep up with manager responsibilities.
Advice to Management
Need better staffing and allow paid time for training on the continuous new programs that are pushed on pharmacy team.
Helpfu","Need better staffing and allow paid time for training on the continuous new programs that are pushed on pharmacy team.
Helpfu",3.0,,,,,,,,
