date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021,Anonymous,,Former Employee ,Great,0,"Great people to work with
","Can't think of any negatives
Advice to Management
None
Helpfu","None
Helpfu",5.0,,,,,,,,
Sun Feb 07 2021, Claims Specialist,"Los Angeles, CA",Former Employee ,Work Experience,0,"The longevity of all the staff is inspiring
","Compensation is perhaps on the low side
Advice to Management
Be Friendly
Helpfu","Be Friendly
Helpfu",4.0,2.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Representative,,Former Employee ,Great Company,0,"Corporate Offer a Great training program
","underwriting guidelines made it tough to find clients
Helpfu",,4.0,3.0,4.0,3.0,5.0,3.0,,,
Sat Feb 06 2021, IT Security Analyst,,Current Employee ,Great company,0,"Flexible hours, competitive salary, great culture
","No cons to think of so far
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Outbound Sales Representative,"Irving, TX",Former Employee ,Good Company,0,"Willing to teach and offered lots of incentives to sales teams
","Nothing major to speak of
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Licensed Sales Producer,"Plano, TX",Current Employee ,Great Salary,0,"Lots of opportunity to supplement income
","Half of salary is commission based
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Customer Service Specialist,"Charlotte, NC",Former Employee ,Pretty Great Out of College,0,"great benefits, gym, food trucks, great training
","when you start off you get the graveyard shift.
Helpfu",,5.0,3.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Claims Adjuster,"Nashville, TN",Former Employee ,Good company overall. Depends on office,0,"good place to work overall
","company culture varies by office
Helpfu",,5.0,2.0,2.0,5.0,3.0,2.0,Recommends,,No opinion of CEO
Thu Feb 04 2021, Licensed Sales Producer,"Denver, CO",Current Employee ,Depends on what agency you work for,0,"Some agents offer commission only some offer salary plus commission
","Pay structure and goals change each year sometimes quarterly
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Data Scientist,,Current Employee ,Solid Company,0,"Good work life balance if you enforce it on your schedule. Decent paid time off.
","Pay appears to be not as competitive as the rest of the industry.
Helpfu",,4.0,4.0,4.0,5.0,4.0,3.0,,,
Wed Feb 03 2021, Financial Analyst,"Northbrook, IL",Current Employee ,good,0,"benefits, culture, and remote work abilities
","long hours and can sometimes be repetitive
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Software Engineer,"Irving, TX",Former Employee ,Awesome,0,"awesome fantastic great fantastic whoa crazy
","wow glassdoor sucks my dude
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Allstate Producer,"Hartford, CT",Current Employee ,Great company,0,"Flexible hours, user friendly computer system and can work remotely
","It depends on the agency that you work for.
Advice to Management
You should fix the issues with claims
Helpfu","You should fix the issues with claims
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Wed Feb 03 2021, Allstate Sales Representative,"San Antonio, TX",Current Employee ,Great Start,0,"Decent pay. Great training. Decent hours and no micromanaging
","ownership has to be on board and have direction to grow business. no benefits
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Claims Adjuster,"Miami, FL",Current Employee ,claims adjuster,0,"Work life and balance and people are great to with with.
","Having to work some holidays
Helpfu",,4.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Insurance Representative,,Former Employee ,My boss was amazing and the atmosphere was great. I loved working here!,0,"Good advancement opportunities, good pay for being part time
","In my opinion, there aren't any cons.However, I was only part time.
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Commercial P&amp;C,"Charlotte, NC",Former Employee ,"Great company, great for diversity.",0,"leadership. Culture. benefits. support. team meetings.
","pay. change of culture, missed opportunity . Employee retention. remote work.
Advice to Management
Place employees into positions based on skill, not ...
Helpfu","Place employees into positions based on skill, not ...
Helpfu",5.0,3.0,5.0,5.0,5.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Licensed Insurance Agent,"Charlotte, NC",Former Employee ,Great Pay,0,"Great company , cares for employees
","Attendence policy could use some work
Advice to Management
Stay consistent
Helpfu","Stay consistent
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Commercial Lines Customer Service Representative,"Williamsville, NY",Former Employee ,"Good Company, Great Pay, Plenty of Advancement Opportunities",0,"Good management, good communication, great pay and benefits
","The office relocated out of state.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Account Manager,"Taylors, SC",Current Employee ,Opportunity to gain experience,0,"reputable company, good schedule, serving customers
","the only opportunity for advancement is if you want to own your own agency
Advice to Management
no advice at this time
Helpfu","no advice at this time
Helpfu",4.0,5.0,5.0,3.0,3.0,3.0,,,
Tue Feb 02 2021, Inside Adjuster III,"Elgin, IL",Current Employee ,Don't get a job in claims,0,"Benefits - their benefits and PTO is amazing. Managers have been great.
","The claims office - do not get in this area in Allstate. They treat you like a robot, rather than an employee. You will be working OT, and turned into a workhorse to get as much work done in as little time as possible.
Advice to Management
Treat us like people, not robots
Helpfu","Treat us like people, not robots
Helpfu",4.0,5.0,5.0,5.0,3.0,5.0,,,
Tue Feb 02 2021, Analyst,,Former Employee ,Great company,0,"Loved working for Allstate! Great company
","No cons at this time
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Leader,"Cleveland, OH",Current Employee ,Great company,0,"Enjoy the people that we work with
","Being able to find growth opportunities
Helpfu",,4.0,,,,,,,,
Sun Jan 31 2021, Applications Security Engineer,"Chicago, IL",Former Employee ,Great team,0,"Very capable smart colleagues and passionate about the job
","Salary wasn’t as competitive as it could be
Helpfu",,5.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Assistant Manager,"Lincoln, NE",Former Employee ,Loved my job,0,"Excellent opportunity options for advancement
","Heavy workload with long hours at times
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Catastrophe Claims Adjuster,,Current Employee ,Good benefits terrible work,0,"Management in the cat team is good. It’s probably one of the more centralized areas of Allstate. Hiring is good and lay offs seem rare because there is always work. The PTO is amazing. Some of the best PTO options, the most days I’ve ever had. The travel perks are great, you get to keep your points. I like the schedule of 10 days on 4 days off. Alternative travel is really nice.
","This is a very high stress environment. Fast paced job. Adjusters are prone to burnout fast. The claims work is endless. It always feels unfinished. They expect 12 hour days at minimum but your often working more, and constantly changing metrics gradually increasing expectations and responsibilities gets old. Every day is a confrontation with a customer or a contractor. It wears on you and burns you out eventually. The pay could be more for what you have to put up with. Allstate makes you fight for your well earned cat pay. Pay is low compared to other companies (base pay and Cat pay) they haven’t raised their cat pay in 15 years to keep with inflation. No differential paid for more expensive areas of deployment. Per diem is low.
Advice to Management
Stop piling working onto do adjusters. They have enough on their plates. Stop with the unrealistic metrics that don’t properly or fairly measure the adjusters performance like the customer service survey, should not be a direct reflection on the adjusters and effect their raise even when the question to the customer doesn’t specifically ask about the adjusters performance. They have pressure from the company and pressures from the contractors and the customers, it’s too much stress. The 12 hour days are too much. They often turn into 15 hour days. It’s unrealistic to think this could be long term. The work becomes consuming.
Helpfu","Stop piling working onto do adjusters. They have enough on their plates. Stop with the unrealistic metrics that don’t properly or fairly measure the adjusters performance like the customer service survey, should not be a direct reflection on the adjusters and effect their raise even when the question to the customer doesn’t specifically ask about the adjusters performance. They have pressure from the company and pressures from the contractors and the customers, it’s too much stress. The 12 hour days are too much. They often turn into 15 hour days. It’s unrealistic to think this could be long term. The work becomes consuming.
Helpfu",4.0,4.0,3.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Attorney,"Atlanta, GA",Former Employee ,Litigation attorney,0,"Benefits, time off, 401k matching
","Hours, amount of courtroom time
Helpfu",,4.0,,,,,,,,
Sun Jan 31 2021, Leadership Development Program,"Northbrook, IL",Current Employee ,Great,0,"Great people, environment and benefits
","None, it is a great place to work
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Disapproves of CEO
Sun Jan 31 2021, Trial Attorney,"Glendale, CA",Former Employee ,"Excellent Place to work, excellent mentors and great experience",0,"In house defense office is excellent at training, collegial and very professional. I tried my first civil jury trial and learned defense civil litigation at Allstate Insurance Company
","I had no cons at Allstate. It was the best job I held.
Advice to Management
Keep up the excellent work.
Helpfu","Keep up the excellent work.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
