date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 05 2021, Manager,"New York, NY",Current Employee ,good job,0,"an excellent person with tony like intelligence
","not so punctual but work is done in time
Advice to Management
just change it...everything
Helpfu","just change it...everything
Helpfu",3.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Jan 19 2021, Mechanical Engineer,,Former Employee ,GREATT,0,"super high pay in all positions
","stressfull, tight schedules and highly regulated
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Dec 19 2020, Intern,"London, England",Current Employee ,Good culture,0,"Good culture and supportive environment
","Working hour is about 8-10 for fresher
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Mon Nov 23 2020, Project Manager,,Current Employee ,ok,0,"It is valuable flexibility and work and life balance
","The company should invest more in digitalization
Helpfu",,4.0,,,,,,,,
Tue Feb 11 2020,N/A,, ,"Good on the surface, until you scratch beneath",1,"Overall benefits package is great; salary not the highest, but amazing pension and car scheme

Flexible working 

Some great talent
","Work:Life balance 

Meeting culture can mean 0 time to do work within working hours

Lack of accountability - somewhat inherent in culture and nothing gets done about things until it’s too late. 

Finger pointing culture 

Management are not sufficiently trained in how to support their team members wellbeing 

Conflicting directives from different areas of the business makes it extremely difficult to get things done
Advice to Management
Practice what you preach!
Helpful (1","Practice what you preach!
",2.0,2.0,2.0,2.0,3.0,2.0,Neutral Outlook,,No opinion of CEO
Thu Nov 14 2019, Finance,"Farnborough, Hampshire, South East England, England",Former Employee ,work-life balance and good management,0,"Compan provides continuous training, great benefits and good leadership, very positive team and work environment.
","Big office with very intense work ethics
Advice to Management
None
Helpfu","None
Helpfu",4.0,4.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Nov 01 2019, Advisor,,Former Employee ,It's Okay in some Areas - Great in others,1,"The majority of the people are fantastic.
Good amount of holiday allowance
","Those people who aren't the ""majority of people"" really ruin it for everyone else.
A bit of a "" always done this way"" mindset - hard to get change.
Helpful (1",,3.0,2.0,2.0,2.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Oct 21 2019,Anonymous,"Stockholm, Stockholm",Current Employee ,Good benefits - Terrible management,1,"Good benefits with company car, lunch benefits, discounts, pension scheme.
","Terrible management, salaries, motivation, career path and development.
Advice to Management
Look over the cons, they way you manage and the poor salaries.
Helpful (1","Look over the cons, they way you manage and the poor salaries.
",2.0,4.0,3.0,2.0,4.0,2.0,Recommends,Neutral Outlook,
Sat Aug 31 2019, Sourcing Coordinator,"Farnborough, Hampshire, South East England, England",Current Employee ,Great place to work,0,"Great benefits, great place to work.
","No cons, great place to work
Advice to Management
Nothing
Helpfu","Nothing
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,,,
Wed Mar 27 2019,Anonymous,,Former Employee ,Great people but toxic management culture,0,"Some fantastic people, with a genuine desire to do a good job and provide great service to customers.

The best and most cost-efficient car scheme I've ever experienced.

BMW, as a company, were great to work for.
","During my time, the atmosphere in upper management was toxic, and god help you if you got caught in the political crossfire between Directors/Senior Management.

Within Alphabet (separate from BMW) the pressure on staff was immense, and people were treated as pretty much disposable, so anyone who showed signs of stress didn't last very long. Long hours for little thanks were very common.

Remuneration was poor, compared to other companies in the industry.
Advice to Management
Thankfully, senior management has had a clearout since I left, and hopefully that will have improved matters. There are some amazing people working for Alphabet, so look after them properly.
Helpfu","Thankfully, senior management has had a clearout since I left, and hopefully that will have improved matters. There are some amazing people working for Alphabet, so look after them properly.
Helpfu",2.0,1.0,1.0,2.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
