date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, TSM SALES,"Tampa, FL",Former Employee ,Good Company,0,"They have a really responsible way of selling their products
","Lack of Diversity in high ranking positions
Helpfu",,5.0,5.0,3.0,3.0,2.0,4.0,,,
Fri Feb 05 2021, Territory Sales Manager,,Former Employee ,Limited growth opportunities,1,"Great people, good comp plan, and good work life balance
","If you are not recruited directly through the College Intern program advancement opportunities were limited and tough to come by. Those who come through this program (no fault of their own) are essentially given the yellow brick road and fast tracked into management. Not always the case but does lead to some very unexperienced individuals managing teams with no clue what they are doing.
Advice to Management
Maybe this has changed since I left but provide advancement opportunity based on character and performance not recruitment channel.
Helpful (1","Maybe this has changed since I left but provide advancement opportunity based on character and performance not recruitment channel.
",4.0,4.0,3.0,4.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Senior Manager,"Richmond, VA",Current Employee ,Great benefits and people,0,"Great benefits, great people, a lot of responsibility
","Declining industry, lacking an innovation mindset
Helpfu",,5.0,3.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Senior Financial Analyst,"Richmond, VA",Current Employee ,Great company and amazing colleagues,0,"You get to work with some of the most down to earth people you've ever met.
","The high deductible insurance is a con, but they compensate us well so I can't complain.
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Key Account Manager (KAM),,Current Employee ,Altria,0,"Fantastic company to work for
","There are no cons I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sun Jan 24 2021, Territory Sales Manager,"Knoxville, TN",Current Employee ,Altria TSM,0,"Great company culture
Competitive starting salary/benefits
","The company is in a declining industry
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Tue Jan 19 2021, Quality Manager,"Richmond, VA",Current Employee ,Good benefits,0,"Good company with excellent benefits
","Needs to speed on improving social responsibility
Helpfu",,5.0,4.0,2.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Jan 20 2021, Intern,"Richmond, VA",Former Employee ,"If you like it, there's nothing better. If you don't fit in, time to switch",0,"Very nice work culture. High employee retention rate
","Little to no transparency from managers
Helpfu",,5.0,,,,,,,,
Sat Jan 23 2021, Senior Market Manager/Market Manager,,Current Employee ,Finally pushed to the point where I no longer care to go above and beyond.,3,"Great health benefits and retirement options. A lot of control over your schedule though the days are very long. Company has treated employees well during pandemic, including caregiver benefits. Further evolved than other companies in terms of Inclusion and Diversity conversation. When you can focus on your job, it’s fun and rewarding.
","The performance calibration and merit/bonus structure doesn’t reward for employee delivery but instead pits employees against each other in a rack and stack process. Training and Advancement beyond the TSM role is lackluster. Directors and VPs are blind to what first line managers and sales reps actually do and try to offer training or feedback which continues to confirm they are out of touch with their organizations. Every year there is an introduction of a new leadership model and priorities continuously change but at the end of the day, it’s the same message and different words but it affects employee adoption and morale.
Advice to Management
The general perception your high performing employees have is that you are just trying to create an environment that causes them to quit. You’ve created an environment for your Field Sales Teams that feels like we’re never good enough and what we contribute doesn’t matter. Because of that, you’ll continue to see employees give up and lose their passion to do a good job anymore. Focus on strategies for retention. Otherwise, you’re regularly starting from scratch with a new workforce and the business you’ve developed is much too nuanced to handle turnover of top performers.
Helpful (3","The general perception your high performing employees have is that you are just trying to create an environment that causes them to quit. You’ve created an environment for your Field Sales Teams that feels like we’re never good enough and what we contribute doesn’t matter. Because of that, you’ll continue to see employees give up and lose their passion to do a good job anymore. Focus on strategies for retention. Otherwise, you’re regularly starting from scratch with a new workforce and the business you’ve developed is much too nuanced to handle turnover of top performers.
",3.0,1.0,3.0,4.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Tue Jan 12 2021, Associate Manager,"Richmond, VA",Current Employee ,Competitive compensation,1,"Dynamic challenges, good work life balance, good benefits
","Declining industry, reorg concerns every few years, management far left leaning, too much identity politics
Advice to Management
Stay out of identity politics
Helpful (1","Stay out of identity politics
",4.0,5.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
