date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Flight Attendant,"Miami, FL",Former Employee ,It was a great work experience,0,"You travel you meet new people
","You are never home and always on the go
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service Associate,"Phoenix, AZ",Current Employee ,Great company for benefits and flexibility,0,"Great benefits, very flexible, treats employees fairly
","Not much room for growth
Helpfu",,5.0,5.0,4.0,5.0,3.0,5.0,Recommends,Neutral Outlook,Disapproves of CEO
Sun Feb 07 2021, Senior Manager IT,"Fort Worth, TX",Current Employee ,Great place to work,0,"Flex office hours and travel perks
","Legacy systems that need to be updated.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Mon Feb 08 2021, Customer Service Representative,"Cary, NC",Current Employee ,great travel perks,0,"flexible company to work for.
","Very big on micromanaging, constant change, overall low employee moral, but the pros outweigh the cons so most stay for the benefits and deal with the misery and high blood pressure, depression, but from hundreds of employees in group chats most constantly question why they stay. It's like American puts some weird hold on you, once you drink the Kool-Aid. Most people are very educated with lots of talent and settle for the pay because of the flexibility and benefits. So make sure the benefits are worth it to you
Advice to Management
Find out how to offer better mental health support. Your people are struggling mentally big time!
Helpfu","Find out how to offer better mental health support. Your people are struggling mentally big time!
Helpfu",5.0,,,,,,,,
Mon Feb 08 2021, Flight Service Manager,"Fort Worth, TX",Former Employee ,Fair Pay,0,"Alot of opportunities to advance
","Work schedules, alot of Nepotism and favoritism
Advice to Management
Add more diversity within senior leadership
Helpfu","Add more diversity within senior leadership
Helpfu",5.0,3.0,5.0,3.0,5.0,5.0,Recommends,,Approves of CEO
Mon Feb 08 2021, Aircraft Maintenance Technician,"Tulsa, OK",Current Employee ,"Great Pay, Great Benefits; poor communication",0,"Free flights for your immediate family

Great pay

Great health benefits

Insanely good 401k match. (Currently 9%)
","Terrible relationship between unions and company.

The TWU and IAM unions have a complex relationship that no-one seems to filly understand.

Poor communication between upper management management and workers.

Non user-friendly computer systems in dire need of being updated
Advice to Management
Ask employees what you can do to improve productivity. As a mechanic, there have been several occasions, where I'm just ""waiting on parts to come in"". I work in Tulsa, the largest maintenance base in the world- there is no reason I should have to wait an entire shift to recieve something as trivial as paint. In many cases, I can order something from another station and get it faster than if I were to order it from my own location. You pay me a lot of money while I'm just sitting around waiting on parts... wake up! Our customers need us to do this more efficiently!
Helpfu","Ask employees what you can do to improve productivity. As a mechanic, there have been several occasions, where I'm just ""waiting on parts to come in"". I work in Tulsa, the largest maintenance base in the world- there is no reason I should have to wait an entire shift to recieve something as trivial as paint. In many cases, I can order something from another station and get it faster than if I were to order it from my own location. You pay me a lot of money while I'm just sitting around waiting on parts... wake up! Our customers need us to do this more efficiently!
Helpfu",4.0,5.0,4.0,4.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Airline Management,"Fort Worth, TX",Former Employee ,Buyer Beware,0,"Great coworkers! Enjoyed training opportunities and perks.
","Aloof upper management, lack of empathy and transparency.
Advice to Management
Be more transparent, trust employees.
Helpfu","Be more transparent, trust employees.
Helpfu",4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, IT Business Analyst,"Dallas, TX",Former Employee ,Good company,0,"Good company, great culture & environment
","Low salary no clear path for growth
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Flight Attendant,,Current Employee ,Worth the benefits,0,"You fly for free. You meet tons of different people. Very flexible after first year.
","The actual job isn't terribly full-filling.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Customer Service Representative,"Dayton, OH",Current Employee ,Meh,0,"Good benefits, free flights are nice
","They take advantage of bilinguals.
Helpfu",,4.0,2.0,3.0,2.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Director of Marketing,"Fort Worth, TX",Current Employee ,Excellent place of employment.,0,"Flight benefits, salary, bonuses, great coworkers
","Work life balance can get tricky
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, American Airlines Flight Attendant,"Chicago, IL",Former Employee ,Great flexibility and perks,0,"Travel perks, flexibility, work life balance
","None to name, good company
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Senior Financial Analyst,"Fort Worth, TX",Current Employee ,Here for the long run,0,"Great place to work. Love it!
","Nothing that I can say as an issue
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Flight Attendant,,Current Employee ,Wonderful Place to Work,1,"Exciting Job with Unbeatable Benefits
","Process to become employed can either be either extremely quick or very slow. Depends on when you apply and how quickly and successfully your paperwork is completed.
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Thu Feb 04 2021, Regional Manager,"Fort Worth, TX",Former Employee ,Advancement Opportunities,0,"Offers huge selection of jobs/opportunities
","Too much focus on education and not enough on “people skills.
Advice to Management
More focus on soft skills for positions that manage people.
Helpfu","More focus on soft skills for positions that manage people.
Helpfu",4.0,3.0,3.0,4.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Senior flight service manager,"New York, NY",Current Employee ,"If you like to travel, this is the company for you.",0,"medical, 401k.. in par with other Top 500 company plus great travel benefit.
","Compensations do not reflect location incentive. It's hard for employee who works in metropolitan area.
Helpfu",,4.0,5.0,4.0,5.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Customer Service Representative,"Los Angeles, CA",Current Employee ,Salary review,0,"You will have a great working environment
","It might take a little time to adjust
Advice to Management
Please be patient with new employees
Helpfu","Please be patient with new employees
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Feb 03 2021, Flight Attendant,"Charlotte, NC",Current Employee ,Great place to work,0,"Flexible schedule, Flying benefits, Amazing coworkers
","Sleep schedule can be irregular
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, American Airlines Flight Attendant,"New York, NY",Current Employee ,Build excellent leadership skills,0,"Diverse work environment, equal opportunity employer
","Most aspects of career depend on seniority and not personal achievements
Advice to Management
Be more present and involved
Helpfu","Be more present and involved
Helpfu",5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Safety Specialist,,Current Employee ,Great Company,0,"Great support structure great team atmosphere
","No cons for the company. I love it
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, American Airlines Flight Attendant,"Dallas, TX",Current Employee ,Love the job,0,"Great atmosphere 
Free travel 
Great benefits
","Due to covid it is hard to pick up trips to work
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Customer Relationship Manager,,Current Employee ,aa,0,"nah it was alright i guess
","nah idk it wasnt so bad
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Flight Attendant,"Dallas, TX",Current Employee ,Flying,0,"Traveling and meeting new people is great
","Scheduling is not for the everyday person
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Pilot Engineer,"Los Angeles, CA",Current Employee ,Good,0,"Nothing 
Good 
Not bad 
Team work
Lovely
","Now 
It’s okay 
Yes 
Price 
Last
Advice to Management
Good
Helpfu","Good
Helpfu",5.0,5.0,1.0,1.0,3.0,4.0,Recommends,Positive Outlook,
Tue Feb 02 2021, American Airlines Flight Attendant,,Current Employee ,Great company,0,"quick fast past job with alot of fun employees
","difficult to move up in the company
Helpfu",,4.0,3.0,3.0,4.0,3.0,5.0,,,
Tue Feb 02 2021, Principal Architect,"Tempe, AZ",Former Employee ,Review,0,"Solid place to work at
","Tough times always hit Airlines first
Advice to Management
Listen to the folks that do the work
Helpfu","Listen to the folks that do the work
Helpfu",4.0,4.0,3.0,5.0,4.0,5.0,Negative Outlook,,No opinion of CEO
Tue Feb 02 2021, Flight Attendant,,Former Employee ,Nice,0,"Good benefits good culture. Sometimes
","Not a lot of money
Advice to Management
Be more supportive of goals
Helpfu","Be more supportive of goals
Helpfu",4.0,,,,,,,,
Mon Feb 01 2021, Customer Service Manager (CSM),"Atlanta, GA",Current Employee ,AA,0,"Flight benefits are the biggest blessing
","Operational unpredictability can lead to long days
Helpfu",,4.0,3.0,5.0,5.0,5.0,,,,
Fri Jan 29 2021, Front Desk Agent,"Dallas, TX",Former Employee ,Fantastic,0,"Good support and training, friendly
","Shift work the early starts at 430 am
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, American Airlines Flight Attendant,"Los Angeles, CA",Current Employee ,fun job,0,"flexible, free travel benefits, fun coworkers
","weird hours, being on call
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Flight Attendant,"Miami, FL",Current Employee ,Happily Flying for 4 years,0,"I think the airline industry is pretty uniform across the board when you're comparing it to Delta, United etc. other big airlines. We have a union that takes care of us and are paid competitively plus fly all over the world. I've loved it.
","American is such a huge company sometimes trying to get an answer to a question can take a while or you may feel lost in the sea of other people. Overall I'm very happy though.
Helpfu",,4.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Team Lead,"Dallas, TX",Current Employee ,Pretty Good,0,"Flexible balance of work and home life. Flight benefits
","Lower salary than comparable jobs in other industries because of flight benefits
Helpfu",,4.0,5.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 26 2021, Part Time Fleet Service Clerk,"Miami, FL",Current Employee ,Fleet Service Life,0,"solid company you can retired you will have a lot of opportunities.
","volatile job sometimes you have a lot work a make money and sometimes is a low season and you don't make that a lot of money.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, American Airlines Flight Attendant,"Dallas, TX",Current Employee ,Salary,0,"I love my job, you can make it what you want it to be. VERY flexible. I love to travel and I enjoy new experiences.
","No cons personally, it's a lifestyle. Make it past the first year and you'll get into the groove of things and really decide if you see yourself in this line of work. It's not for everyone, but it opens up a world of new possibilities, if you let it. The people and places you'll see/meet overrides the lows that come with moving away from family/being alone in a new state/the first few months. Please give it time, it's 1,000% worth it. 

I will add a con...media. Please be a kind traveler, we are all doing our best out here.

 Goodluck :)
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,No opinion of CEO
Wed Jan 27 2021, Building Technician,"Fort Worth, TX",Former Employee ,Building Technician,0,"Great job to be able to learn.
","Nothing that I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Positive Outlook,,Approves of CEO
Wed Jan 27 2021, Customer Service Representative (CSR),"Atlanta, GA",Current Employee ,Work,0,"Good to work for company
","salary a little too low
Helpfu",,4.0,,,,,,,,
