date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Senior Director,"New York, NY",Current Employee ,great place to work,0,"Work life balance, benefits, paid vacations, culture
","lack of agility, limited mobility
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Senior Engineer,"Phoenix, AZ",Current Employee ,Awesome company,0,"Great work culture and benefits
","None that I can think of
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,,,
Sat Feb 06 2021, Manager,"New York, NY",Current Employee ,Great company great people great leadership,0,"Great company, people are wonderful, great learning opportunities and place to grow
","There are none I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Technical Recruiter,"New York, NY",Former Employee ,Review,0,"Amazing culture, great teams and learned alot
","No real cons at all
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Vice President,"Phoenix, AZ",Current Employee ,Great company,0,"Good tech stack and great leaders
","Some enterprise level programs are counter productive
Helpfu",,5.0,4.0,3.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Senior Business Systems Analyst,"Phoenix, AZ",Current Employee ,Highly Engaged and Supportive Culture,1,"Long-term, American Express will take care of their employees. Between cash bonuses, profit-sharing, and 401k match, there is a reason why my colleagues have spent 10+ years with the company. There are always trainings being offered to acquire new skills as well as programs to loan employees to other business areas in order to gain exposure. Lastly, hierarchy, at least where I am, exists only on paper. I have gotten as much 1-on-1 time with my VP as I have my director as I have my manager. If you seek to make connections, your efforts will be rewarded.
","As with any large company, understanding where there are opportunities to advance your career can be difficult to find and navigate. There are resources to help, but not really guides on how to properly use those resources. If you work on a global team, rather than one that is based in a country, figuring out how to advance without completely relocating can be challenging.
Advice to Management
Continue to invest in making example career paths in the company for different types of employees. There are so many avenues that it becomes hard to figure out where to start your journey.
Helpful (1","Continue to invest in making example career paths in the company for different types of employees. There are so many avenues that it becomes hard to figure out where to start your journey.
",5.0,3.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Marketing Analyst,"New York, NY",Current Employee ,Great development and foundation for future endeavors,0,"Development, feedback, leadership experience, and cross functional work
","You have to have a type A personality
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Senior Manager Product Management,"New York, NY",Current Employee ,Wonderful experience,0,"Flexible work life
Great development 
Lots of opportunities
","We spend too much time doing decks
Leadership can be hit or miss
Helpfu",,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Customer Service Specialist,"Asheville, NC",Former Employee ,Progressive Company,0,"I worked from home. I had flexible hours, I enjoyed the work. We had the ability to make a decision on how to service a customer with out escalating.
","This was a very technical job with constant testing. I feel like they set the standard in customer service but there was pressure to perform.
Advice to Management
This is a great job.
Helpfu","This is a great job.
Helpfu",5.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Account Executive,"Sunrise, FL",Current Employee ,Inclusive and most diverse company I have worked for,0,"Strong brand loyalty, and reputation.
","Constant change, operates 365 days of the year.
",,5.0,1.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Engineer,"Phoenix, AZ",Current Employee ,Good work environment and benefits,0,"Good work environment and benefits
","Nothing so far that requires attention
Helpfu",,5.0,4.0,4.0,5.0,4.0,4.0,Approves of CEO,,
Tue Feb 02 2021, Manager,,Current Employee ,Great,0,"Excellent Leadership; Five star to benefits;
","few senior employees who won't see eye to eye with new joiners
Advice to Management
Please rehire employees affected by covid reorg decision; mass salary cut would be a better option rather than letting go colleagues.
Helpfu","Please rehire employees affected by covid reorg decision; mass salary cut would be a better option rather than letting go colleagues.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Wed Feb 03 2021, Software Engineer,"New York, NY",Current Employee ,"Great quality of life, culture, morale",0,"Great culture, leaders (managers) really care about you, good quality of life, they've been more than fair and generous to their colleagues in 2020. Great benefits (health insurance,HSA, life insurance, DCRA, the list goes on and on), great mentoring opportunities and opportunities to be mentored.
","I think because it's a bigger company, the tech side can be a little slow-moving with lots of structure and hierarchy to work through before making changes.
Advice to Management
Keep doing what you're doing!
Helpfu","Keep doing what you're doing!
Helpfu",5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Financial Analyst,"New York, NY",Current Employee ,"Great work life balance, leader support you",0,"-good work life balance
-leaders support you
-lot of people come from impressive backgrounds
-not cut throat, but people are still motivated to perform well
-as an analyst, you generally get promoted within 1.5 year (depends on your role)
","-depending on your team in finance, you might not enjoy the work
-lot of people tend to stay for the long run (this can be pro or con)
-depending on your team your hours can be longer, but not compensated financially
Advice to Management
better communication across senior leaders
Helpfu","better communication across senior leaders
Helpfu",5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Analyst,"New York, NY",Current Employee ,Amazing Place to Work,0,"Inclusive culture and supportive leadership that care about growth
","very large, corporate environment and sometimes siloed
Helpfu",,5.0,5.0,5.0,4.0,5.0,3.0,Recommends,Positive Outlook,
Mon Feb 01 2021, Director,"New York, NY",Former Employee ,Loved work life balance,0,"Work life balance, smart people
","Have to interview for new role to get to next level and/ or often take laterals
Helpfu",,5.0,5.0,5.0,5.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Release Train Engineer,,Current Employee ,Great company,0,"Multinational processes and great culture
","internal politics which is true for most indian companies
Helpfu",,5.0,3.0,5.0,5.0,4.0,4.0,,,
Tue Feb 02 2021, Senior Marketing Analyst,"New York, NY",Current Employee ,Excellent Company,0,"Amazing culture, leadership, personal development
","lower end of pay spectrum
Helpfu",,5.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Senior Manager,"New York, NY",Current Employee ,Proud to work for Amex,0,"Unbelievable culture and a company that invests in your development and payments education.
","The promotional growth trajectory can be difficult to navigate
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Senior Engineer,,Current Employee ,Great place to work,0,"- Good technology
- Good executive leadership
","- Silo culture at organization level might become restrictive
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
