date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Nov 12 2020, Customer Service Manager,"Youngstown, OH",Current Employee ,Good Company,0,"Great benefits, room to move up.
","Still corporate if you're not into that
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 08 2021, Pension Analyst,"Wilmington, DE",Current Employee ,Good work environment,0,"Convenience, solid team support, concern for employees is good, fair salary, respect for new ideas.
","Professional development is not the best.
Helpfu",,4.0,5.0,4.0,3.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Complex Claims Director,"New York, NY",Former Employee ,Decent company,0,"Great medical benefits, generous PTO, possibility to work remote
","not competitive in salary. some departments are insensitive to the work/home balance
Helpfu",,4.0,3.0,3.0,4.0,4.0,4.0,Recommends,,
Mon Feb 08 2021," Director, Financial Planning and Analysis","Houston, TX",Former Employee ,Solid,0,"Opportunities to move into other fields of interest
","Can get lost in such a large organization
Helpfu",,4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021, Underwriter,,Former Employee ,Good work/life balance,0,"Good company, benefits, work/life balance, family programs
","No unexpected cons. Work/benefits/compensation is disclosed at onboarding.
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, IT Project Manager,,Current Employee ,Great benefits,0,"Compensation, benefits, WFH ability, PTO time.
","Rotating door of management since I have been employed.
Helpfu",,5.0,,,,,,Recommends,,
Thu Feb 04 2021, Project Manager,,Former Employee ,Aig,0,"Great working place. Work life balance
","No new developments. Growth was stand still
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Cloud Engineer,,Current Employee ,Great company!,0,"Great upper management, work life balance, lots of training opportunities
","Don't have an office near me
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Associate Director,"Houston, TX",Current Employee ,Good place to build a career,0,"Given plenty of growth opportunity
Good 401k plan and PTO days
","Salaries can be more competitive
Helpfu",,4.0,3.0,4.0,5.0,5.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Business Analyst,,Current Employee ,Great group,0,"Great coworkers, don’t tend to waste time in unnecessary meetings, WLB
","Not the most communicative people
Helpfu",,4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
