date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 04 2021, Sales Executive,"Philadelphia, PA",Former Employee ,Great company culture,0,"They talk about career development and mean it! Lots of opportunities to grow and very supportive of new hires.
","There are None great experience here
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Product Specialist,"Conshohocken, PA",Current Employee ,Better than a regular sales role,0,,"ohocken, PA
Recommends
Positive Outlook
Approves of CEO
I have been working at AmerisourceBergen full-time for more than a year
Pros
Team collaboration, great commission opportunity
Cons
management not so great sometimes
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Customer Platform Support,,Current Employee ,Great company but lack of advancement,0,"Great benefits, pay, vacation and health
","Always hiring from outside of company instead of promoting internally
Advice to Management
Value your employees more
Helpfu","Value your employees more
Helpfu",4.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,
Mon Jan 25 2021, Human Resources Employee Services Representative,,Current Employee ,Great Company!,0,"Pay and Benefits are amazing!

Culture is really caring.
","Overworked and underlooked pretty often
Helpfu",,4.0,3.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Senior Buyer/Planner,"Dothan, AL",Current Employee ,Great company to work for!,0,"Competitive salaries, Growth and opportunity
","None to list at this time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Operations Supervisor,"Whitestown, IN",Current Employee ,Great company to work for,0,"This company is a great company to work for.
","I do not have any cons.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Maintenance Specialist III,"Sugar Land, TX",Former Employee ,Great Company,0,"Great company to work, competitive salary and very good benefits.
","They bought PharMEDium but wasn't able to sustained.
Helpfu",,4.0,4.0,4.0,4.0,,,,,
Thu Jan 21 2021, Production Associate,,Former Employee ,Hard work!,0,"Great coworkers
Positive work environment
Company lunches every week
","Busy work schedule
Small breakroom
Tiring work
Helpfu",,5.0,,,,,,,,
Wed Jan 20 2021, Data Analyst,,Current Employee ,Decent place to work,0,"Good benefits, employee incentive programs, annual bonus
","Slow to make progress, inflexible
Helpfu",,4.0,5.0,3.0,5.0,3.0,4.0,,,
Tue Feb 02 2021, Software Developer,"Plano, TX",Current Employee ,"good place to work, all the normal big company issues",0,"stable job and the work is interesting
","big company problems, hard to advance
Helpfu",,3.0,,,,,,,,
Mon Jan 18 2021, Reimbursement Counselor,"Monroeville, PA",Current Employee ,Rc,0,"Great benefits good pto pet insurance
","Long hours depending on work load
Helpfu",,5.0,,,,,,,,
