date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Nov 02 2020, Associate Scientist,"Thousand Oaks, CA",Current Employee ,One of the best companies to work for,0,"PTO
Opportunities to grow, develop new skills, meet talented individuals
Working with highly skilled, professional teams
","For some routes, promotions can be slow
Helpful
Amgen Response
November 3, 2020 – Social Media Coordinator
Thank you for your review. We’re glad to hear your experience with Amgen has been overall positive and we appreciate your contributions to our team. Please know, you can always reach out to amgen@careers.pure.cloud to share more. Again, thank you",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Feb 10 2021, Operations Specialist,,Former Employee ,Costumer focus,0,"Benefits are above of Marketing
","I consider there is no cons.
Helpful
Amgen Response
February 12, 2021 – Social Media Manager
Thank you for your feedback. We are happy to hear about your experience and know that you can always reach out to amgen@careers.pure.cloud to share any additional details. Again, thank you for your review",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, SENIOR ONCOLOGY ACCOUNT MANAGER,"New York, NY",Current Employee ,Amgen,0,"Great and ongoing training period
","There is no loyalty here
Helpful
Amgen Response
February 12, 2021 – Social Media Manager
Thank you for your review. It is our sincere goal to provide growth opportunities in a supportive and dynamic atmosphere. Reviews like yours are instrumental in our ability to plan for the future. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,4.0,3.0,3.0,2.0,2.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Scientist,,Current Employee ,Good company to start your career,0,"Good corporate culture. good work life balance. Generous benefits
","Cannot think of any cons right now
Helpful
Amgen Response
February 10, 2021 – Social Media Manager
Thank you for your feedback. We are happy to hear about your experience and know that you can always reach out to amgen@careers.pure.cloud to share any additional details. Again, thank you for your review",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Administrative Coordinator,"Los Angeles, CA",Current Employee ,Overall a very good company,0,"great campus, excellent benefits, brilliant staff members
","big and cumbersom at times to get things done.
Helpful
Amgen Response
February 9, 2021 – Social Media Manager
Thank you for taking the time to share your feedback. All feedback is taken into consideration when planning for the future and reviews like yours are crucial when implementing change. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,4.0,3.0,3.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Analyst,,Former Employee ,Analysts,0,"Benefits, culture, mission, time off
","Nothing to highlight. Exciting environment.
Helpful
Amgen Response
February 9, 2021 – Social Media Manager
Thank you for your feedback. It is our sincere goal to provide growth opportunities in a supportive and dynamic atmosphere. Reviews like yours are crucial for planning for the future. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,4.0,,,,,,,,
Mon Feb 08 2021, Biostatistics Manager,"Thousand Oaks, CA",Former Employee ,Good place to start your career,0,"Good people, good pipeline, beautiful campus
","location, too many changes, slow with promotion
Helpful
Amgen Response
February 9, 2021 – Social Media Manager
Thank you for your review. It is our sincere goal to provide growth opportunities in a supportive and dynamic atmosphere. Reviews like yours are instrumental in our ability to implement change. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,4.0,,,,,,,,
Sat Feb 06 2021, Associate,,Current Employee ,Great company,0,"Great people
Great culture 
Great amenities
","Can’t go into the campus because of COVID but that isn’t Amgen’s fault
Helpful
Amgen Response
February 11, 2021 – Social Media Manager
Thank you for your feedback. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,5.0,,,,,,,,
Fri Feb 05 2021, Director,"San Francisco, CA",Former Employee ,Good company,0,"Good working environment and open mind
","Too many layers and level hierarchical
Helpful
Amgen Response
February 8, 2021 – Social Media Manager
Thank you for your review. It is our sincere goal to provide growth opportunities in a supportive and dynamic atmosphere. Reviews like yours are instrumental in our ability to implement change. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,5.0,,,,,,,,
Thu Feb 04 2021, Associate Data Engineer,"Tampa, FL",Former Employee ,na,0,"work life balance is great
","moving up the ladder is slow
",,4.0,,,,,,,,
Thu Feb 04 2021, Software Engineer(Internship),"Thousand Oaks, CA",Former Employee ,Software Engineer Intern,0,"1. Very good work-life balance 
2. Good benefits
","1. Work not intellectually challenging 
2. Pay is low comparatively
Helpful
Amgen Response
February 8, 2021 – Social Media Manager
Thank you for your review. It is our sincere goal to provide growth opportunities in a supportive and dynamic atmosphere. Reviews like yours are instrumental in our ability to implement change. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,4.0,5.0,5.0,5.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Scientist,,Current Employee ,"Strong science, nice colleagues, friendly work environment",0,"Developing therapeutics based on great science
","So far no concerns really.
Helpful
Amgen Response
February 3, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Please know you can reach our team at amgen@careers.pure.cloud to share any additional details about your experience. Again, thank you for your review",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Associate Engineer,,Current Employee ,Operations,0,"Good Benefits, 401k benefits and health benefits
","work life balance not so good
Helpful
Amgen Response
February 3, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Please know you can reach our team at amgen@careers.pure.cloud to share any additional details about your experience. Again, thank you for your review",,5.0,,,,,,,,
Wed Feb 03 2021, Specialty Pharmaceutical Sales Representative,"Buffalo, NY",Current Employee ,Great company,0,"Great company, mission, products, people
","I can not think of a con
Helpful
Amgen Response
February 4, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Please know you can reach our team at amgen@careers.pure.cloud to share any additional details about your experience. Again, thank you for your review",,5.0,5.0,,,,,Recommends,,Approves of CEO
Wed Feb 03 2021, Big Data Engineer,"Tampa, FL",Current Employee ,benefits,0,"good 401k, medical care, good work life balance
","salary not competitive
growth can be slow
Helpful
Amgen Response
February 4, 2021 – Social Media Manager
Thank you for your feedback. It is our sincere goal to provide growth opportunities in a supportive and dynamic atmosphere. Reviews like yours are instrumental in our ability to implement change. Please know our team can be reached at amgen@careers.pure.cloud to share any additional details about your experience",,4.0,5.0,5.0,5.0,5.0,4.0,Recommends,,
Mon Feb 01 2021, Project Manager,,Former Employee ,Good place for fundamentals,0,"Colleagues, resources, company focus and scientific mindset
","Competitiveness of salary, upward growth potential can be challenging unless you're willing to shift roles
Helpful
Amgen Response
February 2, 2021 – Social Media Manager
Thank you for your review. Our sincere goal to provide growth opportunities in a supportive and dynamic atmosphere. Reviews like yours are instrumental in our ability to implement change. Please know you can reach our team at amgen@careers.pure.cloud to share any additional details about your experience",,4.0,,,,,,,,
Sun Jan 31 2021, Senior Biopharmaceuticakl Sales Representative,"Louisville, KY",Former Employee ,Sales Position,0,"Great products, superb staff to support field
","Internal technology problems can plague field staff.
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for your review. At Amgen, our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement future change. Please know our team can be reached at amgen@careers.pure.cloud to share any further details about your experience. Again, thank you for your review",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Manufacturing Specialist,"Juncos, PR",Current Employee ,Good Pay,0,"Benefits are good, wellness program, opoortunities to learn
","Work life balance not in priorities of the company depends on the area of work
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for your review. Our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement change. Please know you can always share more details about your experience with us at amgen@careers.pure.cloud",,5.0,2.0,4.0,4.0,5.0,5.0,Recommends,,Approves of CEO
Mon Feb 01 2021, Senior Bio,"New York, NY",Current Employee ,Pharma rep,0,"Culture,diversity, fair, positive leadership, financially rewarding
","Admin paperwork, territory size, reports, detailed business reports, long work hours
Advice to Management
Keep up the positive energy
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement change. Please know you can share additional details about your experience with us at amgen@careers.pure.cloud","Keep up the positive energy
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement change. Please know you can share additional details about your experience with us at amgen@careers.pure.cloud",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Director,"Thousand Oaks, CA",Current Employee ,Great company,0,"Science based, friendly, innovative, employee-friendly, generous benefits
","Decisionmaking lacking differing perspectives and disconfirming information; need to strengthen leadership skills
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement change. Please know you can share additional details about your experience with us at amgen@careers.pure.cloud",,5.0,5.0,5.0,4.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021," Manager, GDO","Thousand Oaks, CA",Former Employee ,"Great place to work, but career progression is difficult",1,"Leader in the industry; highly intelligent employees; well thought out processes
Mature structure and thinking 
Generally collaborative - not hierarchical
","Career progression is very difficult - even for employees with consistently high ratings. Must move to a different company in order to get a promotion.
Generally, people managers are not focused on managing people - only a few show excellence in this regard. (Not that different industry wide)
There is some bureaucracy that was starting to slow things down more than was necessary to mitigate risk
Less competitive in salaries/benefits than realized until leaving
Advice to Management
Assessments are needed when high performers in certain areas are leaving often.
Helpful (1)
Amgen Response
January 29, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement change. We encourage you to share additional details about your experience with us at amgen@careers.pure.cloud. Again, thank you for bringing this to our attention","Assessments are needed when high performers in certain areas are leaving often.
",4.0,4.0,4.0,3.0,2.0,3.0,Positive Outlook,,No opinion of CEO
Fri Jan 29 2021, Specialist Business Systems Analyst,"Thousand Oaks, CA",Current Employee ,Good place to work until you outgrow it,0,"Great people, amazing mission, challenging projects
","Analysis paralysis gets in the way of progress. Managers don’t have a lot of power in hiring, promotions, etc.
Advice to Management
Give managers more power to shape their teams. Create more vertical mobility for the middle ranks of the org.
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for your feedback. It is our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere, and reviews are instrumental in our ability to implement change. We encourage you to share additional details about your experience with us at amgen@careers.pure.cloud. Again, thank you for bringing this to our attention","Give managers more power to shape their teams. Create more vertical mobility for the middle ranks of the org.
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for your feedback. It is our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere, and reviews are instrumental in our ability to implement change. We encourage you to share additional details about your experience with us at amgen@careers.pure.cloud. Again, thank you for bringing this to our attention",4.0,2.0,4.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Sales Representative,"New Orleans, LA",Current Employee ,Good culture,0,"Positive working environment and culture
","I do not see any cons about working at Amgen
Helpful
Amgen Response
January 28, 2021 – Social Media Manager
Thank you for your review. We strive to create an environment where our team members feel supported and heard and we are happy to hear about your positive experience. Please know, you are always welcome to share any further details with us at amgen@careers.pure.cloud",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, General Manager,"Tampa, FL",Current Employee ,great place!,0,"Great place to work! Good people!
","Lots of work, long hours.
Helpful
Amgen Response
January 29, 2021 – Social Media Manager
Thank you for your review. We are happy to hear about your experience at Amgen! Please know that you can always reach out to us at amgen@careers.pure.cloud to share any feedback. Thank you again for your review",,4.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Senior Sales Representative,"Columbus, OH",Current Employee ,Great company,0,"Good pay. Good cars. Good job.
","Nothing negative to say right now
Helpful
Amgen Response
February 1, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement change. Please know you can always reach our team at amgen@careers.pure.cloud to share any feedback you may have",,5.0,5.0,,,,,,,
Mon Jan 25 2021, Senior Pharmaceutical Sales Representative,"Syracuse, NY",Current Employee ,So far so good,0,"It is So far, so good
","Amgen has been great so far.
Helpful
Amgen Response
February 3, 2021 – Social Media Manager
Thank you for taking the time to leave a review. Please know you can reach our team at amgen@careers.pure.cloud to share any additional details about your experience. Again, thank you for your review",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Associate Data Engineer,"Tampa, FL",Current Employee ,Good place to work for immigrants,0,"work from home balance is very good and the company proactively takes care of filing your work visa
","Technical work is not very challenging.
Helpful
Amgen Response
January 27, 2021 – Social Media Manager
Thank you for your feedback. We strive to create an environment where our team members feel supported and heard. We value your input and please know that all reviews are taken into consideration when strategizing for the future. Please know, you are always welcome to share any further details with us at amgen@careers.pure.cloud",,5.0,,,,,,,,
Mon Jan 25 2021, Sales Representative,"Dallas, TX",Current Employee ,Strong company focused on winning,0,"Positive culture that rewards hard work
","Can be intense, bipolar bonus structure
Helpful
Amgen Response
February 5, 2021 – Social Media Manager
Thank you for your review. Our sincere goal to provide continuous growth opportunities in an exciting, cutting-edge atmosphere where our employees feel supported and heard. Reviews like yours are instrumental in our ability to implement change. Please know you can share additional details about your experience with us at amgen@careers.pure.cloud",,4.0,,,,,,,,
