date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Strategy Director,"Manchester, NH",Former Employee ,Great place to work,0,"Lots of opportunity to move up.
","Despite being a health insurance company, their medical benefit options aren’t great.
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Implementation Manager,"Atlanta, GA",Former Employee ,Good Health Insurance Company,0,"The insurance options are great for me and my family; the ability to work from home prior to COVID was awesome and depending on your manager the work-life balance is awesome.
","Depending on your department it can be a little overwhelming, but it's insurance.
Helpfu",,5.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Material Handler,"Indianapolis, IN",Former Employee ,great,0,"good pay and time off
","still had to pay for benefits
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Senior Associate General Counsel,"Indianapolis, IN",Current Employee ,Great place to work,0,"Challenging work. Good benefits. Financially sound company.
","Frequent changes; passive aggressive management.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Operations,"Cleveland, OH",Current Employee ,I’d recommend to a friend,0,"Good benefits if you pick the right plan for your needs
","Lack communication from management and coworkers
Advice to Management
Communicate and train better.
Helpfu","Communicate and train better.
Helpfu",4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Senior Accounting Analyst,"Indianapolis, IN",Current Employee ,Great place,0,"Supportive team members with real desire to produce quality work but understand that work is not life
","Company can be a little old school
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Customer Service Representative,"Richmond, VA",Current Employee ,Consumer service rep,0,,"mer service rep""
5.0
★★★★★
Current Employee - Customer Service Representative in Richmond, VA
Recommends
Positive Outlook
No opinion of CEO
I have been working at Anthem full-time for more than 3 years
Pros
Great company to move up in
Cons
None so far great company to work for
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Jan 29 2021, Business Analyst,"Norfolk, VA",Current Employee ,Great benefits,0,"Wonderful work life balance
Work from home full time
","There are not any cons
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Fri Jan 29 2021, Consultant,,Current Employee ,Great Place to be,0,,"ltant 
Recommends
Positive Outlook
Approves of CEO
I have been working at Anthem full-time for more than a year
Pros
Everything, you can want, work life balance, good benefits
Cons
None at this time, it has been everything I wanted it to be
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, RN Utilization Management,"Indianapolis, IN",Current Employee ,Amazing Company to Work For,0,"Amazing company. Inclusive, innovative, and treat their employees well. Lots of opportunities to grow professionally. I have never been treated better. Bonuses, lots of recognition for your hard work. Love working here.
","They would like people to be in the office versus work at home. This seems to be against the grain in comparison to where the rest of corporate America is going.
Advice to Management
Have had several amazing managers. Keep up the great leadership!
Helpfu","Have had several amazing managers. Keep up the great leadership!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
