date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021, Sales Specialist,"New York, NY",Current Employee ,Great place to work,0,"Great benefits, great pay compared to other retail level jobs.
","Not the normal 9-5. Can be a bit stressful during holidays.
Helpfu",,5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Aug 28 2014,Anonymous,,Current Employee ,"Challenging, Rewarding, but ZERO work/life balance. Most satisfying , most difficult and most rewarding job ever.",1149,"We work with geniuses - in every department, We create innovative products that thrill our customers and create new product categories - who else can say that?
","ZERO ZERO ZERO work/life balance. Execs have been saying for YEARS that they understand and will make it better. But in actuality, it gets worse every year! It is obviously top management LIP SERVICE because if they meant it, they could fix it tomorrow. They have hundreds of BILLIONS in the bank. If they REALLY cared about employee work/life balance, they could bring aboard the right number of folks to make that issue dissolve. Sick of hearing the lies. Just don't lie about wanting to fix it, when they clearly DON'T care
Helpful (1149",,4.0,1.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Developer,"San Bernardino, CA",Former Employee ,Developer,0,"Great enviroment, pay is good
","Lots of work, good for self starters.
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Global Supply Manager,"Cupertino, CA",Current Employee ,Role Feedback,0,"rewarding company work on products with passionate people
","poor work life balance, day and night and sometimes weekends where you are working
Advice to Management
help manage bandwidth and resources to provide better work life balance
Helpfu","help manage bandwidth and resources to provide better work life balance
Helpfu",5.0,1.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Designer,"Cupertino, CA",Former Employee ,Great,0,"Best place in the world to work
","High pressure to deliver great work
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Planning,"Cupertino, CA",Former Employee ,Experience at apple,0,"Work on the coolest products with the most knowledgeable folks in supply chain
","Repetitive work scope can make growth challenging
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Order Review Specialist,,Current Employee ,Good company,0,"Apple has great benefits and is a great environment to work at
","Sometimes there is a lot of pressure to perform
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Senior Manager,"Cupertino, CA",Former Employee ,The best big company to work for,0,"Tremendous learning and growth opportunities. Challenging work. Exciting products. Flatter structure than the most of others.
","Typical drawbacks you can think of working for a big corporation
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Marketing Manager,"Philadelphia, PA",Current Employee ,Great company,0,"Great leadership and great teams
","Hours are a bit rough sometimes
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Apple Genius,"Anchorage, AK",Current Employee ,Great employee care,0,"Fun and friendly atmosphere while still maintaining professionalism
","Very politically correct and requires training in those areas
Advice to Management
Keep doing what you’re doing
Helpfu","Keep doing what you’re doing
Helpfu",5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Technician,"Freehold, NJ",Current Employee ,Great Company with Diversity,0,"Diversity, Technological opportunities, good vacation
","Advancement to corporate is hard
Helpfu",,5.0,4.0,5.0,5.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, AHA College Advisor,"Tallahassee, FL",Current Employee ,Awesome Company,0,"Great Culture, Flexible Hours, Competitive Pay, and Tons of Benifits
","Frequently change managers, very little time between calls
Advice to Management
Ensure continuity as management changes
Helpfu","Ensure continuity as management changes
Helpfu",5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Student Worker,,Current Employee ,Great,0,"Awesome job and fun environment
","Very busy during the day
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Operations Specialist,"Oak Brook, IL",Current Employee ,Great Place and Team,0,"- Great Team

- Amazing culture
","Limited opportunity to advance within the department
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Product Specialist,"Dallas, TX",Former Employee ,Demanding/ Fantastic Job!,0,"Supported/mentored by leaders, competitive pay, incredible benefits (even for part-timers), stock options, growth opportunities, educational reimbursement, feedback centric environment, lots of opportunities for development and collaboration
","You are expected to be completely ""ON"" from the moment you clock-in until the moment you clock out
Advice to Management
Keep up the good work, but maybe work on providing ways to more adequately relax during break-times (nap area, comfy chairs to sit in, bring in masseuses every once in a while, provide a relaxation area with calming music to break away from the day as an alternative break area).
Helpfu","Keep up the good work, but maybe work on providing ways to more adequately relax during break-times (nap area, comfy chairs to sit in, bring in masseuses every once in a while, provide a relaxation area with calming music to break away from the day as an alternative break area).
Helpfu",5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Product Specialist,,Former Employee ,Great Place to work,0,"Fast paced, customer facing, and great training program
","Working on holidays is a must, long hours on feet.
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021,Anonymous,,Current Employee ,Great team culture,1,"Culture and Values are great!
","Low salary, benefits are great though.
Helpful (1",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Senior Accountant,"Palo Alto, CA",Former Employee ,Good company,0,"Good hours and fringe benefits
","Stressful deadlines and performance reviews
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Software Engineer,"Cupertino, CA",Current Employee ,Good,0,"great pay for the amount of hours
","management can be non responsive
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Business Pro,,Current Employee ,Awesome Experience,0,"They really care about people.
","It's huge. That can be challenging to navigate.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Specialist,,Current Employee ,at the fruit stand,0,"the people and benefits are amazing
","inconsistent schedules and working weekend sundays must be open
Helpfu",,5.0,3.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Software Engineer,,Current Employee ,Great place to work,0,"Work life balance is good in my team.
","For WFH you are reimbursed only £80 to all your expenses.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Specialist,"Berkeley, CA",Former Employee ,None,0,"There were many pros such as stock opportunity, environment, and ability for growth.
","Can't think of any cons. My experience was great.
Advice to Management
None
Helpfu","None
Helpfu",5.0,,,,,,,,
Wed Feb 03 2021, Apple Genius,"Providence, RI",Former Employee ,Worth the time there,0,"always adding benefits
great discount
learn very transferrable skills
","Customers expectations
hit or miss on your management team
Helpfu",,5.0,3.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Product Design Engineer,,Current Employee ,"Great Experience, great teams",0,"Great experience working on world class products with teams that are supportive.
","It is a pretty narrow breadth of work - if you are interested in learning a ton across different processes/designs, you will more deep dive into one area here instead.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Individual Contributor Tech III,"Sunnyvale, CA",Current Employee ,Truly Depends on your team,0,"Learn from some of the best, very nice and passionate people, all very talented
","Culture varies greatly from team to team
Helpfu",,5.0,4.0,4.0,3.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Genius,"Bellevue, WA",Current Employee ,Great place to work!,0,"Absolutely Great place to work
","It's still retail, customer expectations are nuts
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Technical Expert,"Santa Rosa, CA",Current Employee ,Love working at Apple,0,"Great diverse teams
Great benefits
Good pay
","Management sometimes on different pages
Movement is difficult
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Analytics,,Current Employee ,Analytics,0,"good company to work for
","lot of obstacles caused by middle management
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Specialist,,Former Employee ,Solid Gig,0,"High End Retail 
Stock Options
Flexibility
","You have to be ON at all times like any other retail job
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Software Engineer,,Current Employee ,Good place to work,0,"Nice benefits, great pay, interesting work
","Can require long hours from time to time
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,,,
Tue Feb 02 2021, AHA Advisor,,Former Employee ,Overall good employer,0,"Large company had many benefits
Good benefits for health care and tuition help
Great managers and easy to work with
","Very tough job - mentally demanding
Little down time, feel exhausted
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Sales Associate,"Willow Grove, PA",Former Employee ,Great Company,0,"Fun environment
Great Products
Love launch days
","Customers can be pushy
Management can be hit or miss
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Account Executive,"Seattle, WA",Current Employee ,Pretty Solid,0,"Open minded and risk proof.
","Low opportunity for growth and non negotiable pay
Helpfu",,5.0,3.0,5.0,5.0,3.0,2.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Marketer,"San Francisco, CA",Current Employee ,Good Company,0,"Lots of work but its gratifying
","Very strict deadlines to meet
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, SRE/DevOps Engineer,"Sunnyvale, CA",Current Employee ,Awesome Place to work!,0,"- no pressure work atmosphere
","- work can get bit stagnant
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Technical Support Specialist,"Roswell, GA",Current Employee ,"Not difficult, decent pay",0,"Work from home is a plus
","Sometimes annoying dealing with rude customers
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,3.0,5.0,5.0,5.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Product Manager,,Current Employee ,Working at Apple,0,"Good benefits
Smart & hardworking coworkers
Decent salary
Fast paced
Exciting products
","Little work-life balance
No free lunch
Helpfu",,5.0,,,,,,,,
