date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 02 2021, Automation Engineer,"Decatur, IL",Current Employee ,Salary,0,"Great place to work every day
","None to think of, happy
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Operations Superintendent,"Buffalo, NY",Former Employee ,ADM Milling,0,"Always working and good money
","To many hours you are not respected by corporate management
Helpfu",,4.0,2.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Project Manager,"Decatur, IL",Current Employee ,Pretty good place to work,0,"Accommodate work life balance
Strategic culture
","Workloads are high
People too many hats / roles for such a large company
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Laborer,"Little River, KS",Current Employee ,Management,0,"Not real helpful one person should not be there
","Insurance is half decent 
Vacation time isn't to bad
Helpfu",,4.0,2.0,1.0,1.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Feb 01 2021, Grain Merchandiser Trainee,"Amarillo, TX",Former Employee ,ADM,0,"Great pay and benefits. Ability for travel opportunities.
","Company is concerned about wall street instead of employee retention
Helpfu",,4.0,3.0,4.0,4.0,5.0,5.0,,,
Sun Jan 31 2021, Senior Auditor,"Decatur, IL",Former Employee ,Auditor,0,"Good Company to work for.
","It’s a large corporation, nothing bad to say
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Jan 27 2021, Operator I,"Decatur, IL",Current Employee ,Good Company,0,"Good company with good values. Most people are friendly.
","Some have negative attitudes but usually get weeded out pretty quick or corrected.
Advice to Management
More accountability.
Helpfu","More accountability.
Helpfu",5.0,3.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 23 2021, Logistics Coordinator,"Decatur, IL",Current Employee ,Great Team,0,"The people are great and care about your well being. During COVID they have made sure we are all safe and taken care of.
","I do not have any cons.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Production Engineer,"Lubbock, TX",Current Employee ,Overall a good company,0,"Great culture, relocation assistance, vacation time is decent, ability to move around locations/divisions
","Long hours, not enough engineers - retention is poor
Advice to Management
base pay should be raised, more involved development program
Helpfu","base pay should be raised, more involved development program
Helpfu",5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Team Leader,"Decatur, IL",Former Employee ,ADM,0,"The pay there was great.
","work long hours day and night.
Helpfu",,5.0,3.0,3.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Mon Jan 18 2021, Temporary Employee,"Kansas City, MO",Former Employee ,Good,0,"Good place nice people and location
","can't think of any it's mostly good
Helpfu",,5.0,,,,,,,,
Sat Jan 16 2021, Laborer,,Current Employee ,Entry-level position,0,"Gain knowledge of the facility
","To improve the process and personal performance
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Jan 14 2021, Marketing/Administrative Assistant,"Kenosha, WI",Current Employee ,Awesome,0,"Great People
Great Work Culture
Love everyone there
","Nothing because they are awesome
Helpfu",,5.0,5.0,,,,,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Intern,"New York, NY",Current Employee ,Good company,0,"nice experience got a lot to learn
","was a good experience in the company
Advice to Management
Good management and employees
Helpfu","Good management and employees
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
