date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Dec 25 2020, Applications Engineer,,Former Employee ,Excellent Company,0,"Flexibility, Work life balance, Promotions,
","Nothing to be specific, none
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Customer Service (CSR),,Former Employee ,Great environment,0,"Team environment. Enjoyed going to work every day
","The commute was reason for leaving
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, User Experience Designer,"Denver, CO",Former Employee ,Great company to work for,0,"Flexible and fast-paced. I thoroughly enjoyed the work pace.
","Nothing from my point of view
Advice to Management
great work , keep going
Helpfu","great work , keep going
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Inside Sales Representative,"Denver, CO",Current Employee ,Large Company,0,"A large company so that needs to be expected
","Large companies are very slow and bureaucratic.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,,,
Mon Feb 01 2021, Sales Manager,"San Diego, CA",Former Employee ,Sales Manager,0,"Great Company and #1 Distributor in USA. Name brand
","Too many priorities and dependant on Suppliers. Not enough people to do the work as they did 10 years ago
Advice to Management
Focus on Sales and busy work
Helpfu","Focus on Sales and busy work
Helpfu",4.0,2.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Associate,,Former Employee ,Good Company,0,"Loved the people I worked with.
","Growth can be hard depending on the department you are in.
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Partner Specialist,"Centennial, CO",Current Employee ,Mediocre at best,2,"If you get lucky and get on a good team, there are some wonderful people. I've been very lucky with the team I'm on and have a wonderful manager.
","No room for advancement, not very diverse, not inclusive. You definitely have to ""drink the Koolaid"" and be popular to get anywhere in this company. They treat employees as numbers, not people. They only care about the bottom line. Massive COVID-19 layoff when the company stock was still performing well. They chose people at random to layoff rather than getting input from direct managers on who would be OK to cut. Micromanaging like crazy on some teams. Most management does not think you're working if they can't see you.
Advice to Management
Start treating your employees like human beings rather than numbers. Get with the century and technology and allow fully remote workers - it's cheaper for the company not to pay for giant buildings. Change your slogan - 5 years out does not represent the way you run your business.
Helpful (2","Start treating your employees like human beings rather than numbers. Get with the century and technology and allow fully remote workers - it's cheaper for the company not to pay for giant buildings. Change your slogan - 5 years out does not represent the way you run your business.
",2.0,3.0,2.0,1.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Sun Jan 24 2021, Senior Financial Analyst,"Denver, CO",Former Employee ,Great Place to Work!,0,"A lot of exposure to different aspects of the business
","Corporate Politics and too many meetings
Advice to Management
empower employees
Helpfu","empower employees
Helpfu",4.0,5.0,3.0,3.0,4.0,4.0,Recommends,,No opinion of CEO
Tue Feb 02 2021,Anonymous,"Centennial, CO",Current Employee ,No culture and no advancement (unless popular),1,"Large company. Good team. No layoffs during covid.
","Zero culture. Team is what you make of it. No internal job postings of positions until after cherry picked and filled.
Advice to Management
Post jobs and stop choosing who will fill them.
Helpful (1","Post jobs and stop choosing who will fill them.
",2.0,1.0,1.0,3.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Wed Feb 03 2021, Inside Sales,N/A,Former Employee ,Wouldnt recommend,0,"Good amount of PTO and sick time
","Poor management and not very transparent. Lots of lay off fear.
Helpfu",,2.0,,,,,,,,
Wed Jan 20 2021, Businesses Development Manager,,Former Employee ,Arrow,0,"Great Employees to work with
","Need to document process and communicate more with employees
Helpfu",,4.0,,,,,,,,
Tue Jan 19 2021, Supervisor of Staff,,Former Employee ,Solid company,0,"Great benefits, excellent retirement plan, intelligent co-workers
","goals un-changeable regardless of market conditions, frequent RIFs
Helpfu",,4.0,3.0,3.0,2.0,4.0,5.0,,,
Mon Jan 18 2021, In,,Current Employee ,Excellent place to work,0,"Competitive Pay, Benefits good, managers and co workers are great
","wish there were more consistent raises , and a better opportunity to move up within the company
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,,Approves of CEO
Sat Jan 16 2021, Field Sales Manager,"Solon, OH",Current Employee ,Great Company,0,"Great Managent and support from leadership.
","Understaffed and disorganized at the corporate level.
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Channel Sales Manager,"Atlanta, GA",Former Employee ,Overall great experience working here,0,"Very collaborative and experienced teams.
","Employees are doing the work of two or three people
Advice to Management
Bonus the employees doing the work of more than one person
Helpfu","Bonus the employees doing the work of more than one person
Helpfu",3.0,2.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 15 2021, Business Development Manager,"Denver, CO",Current Employee ,Better than most...,0,"Salary, opportunities, people, HQ perks.
","Same as any other company of its size. Trying to be a jack-of-all trades has made us into a master of none.
Advice to Management
We can't be everything to everyone.
Helpfu","We can't be everything to everyone.
Helpfu",4.0,2.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021,Anonymous,"Centennial, CO",Former Employee ,Why Arrow,1,"Good strategic direction for the company
","Leaders do not have a clear understanding of what happens behind the scenes and the effort it takes.
Advice to Management
Trust the employees that have invested years including vacations, weekends and family time to make things happen.
Helpful (1","Trust the employees that have invested years including vacations, weekends and family time to make things happen.
",3.0,1.0,2.0,5.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Software Engineer,,Current Employee ,"Mediocre, easy",0,"Not much work probably only need 20 hrs.
","Not much pay, under pay
Helpfu",,3.0,5.0,3.0,3.0,2.0,3.0,,,
