date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 01 2021, Automotive Service Advisor,"San Jose, CA",Current Employee ,"Great people, great training",0,"super well-developed training and onboarding process coupled with knowledgeable veterans that want you to succeed.
","maybe my commute? but honestly that's more self inflicted and I'm only writing that because I have to include a con
Helpful
AutoNation Response
February 2, 2021 – AutoNation Human Resources
Thank you for taking the time to leave such a wonderful review. We are glad you love AutoNation as much as we do",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Sales Associate,,Former Employee ,Good place to move up,0,"Good company, good staff, decent pay plan
","There wasn’t any cons with the company
Helpful
AutoNation Response
January 29, 2021 – AutoNation Human Resources
Nothing makes us happier than hearing positive things from our employees. Thank you for this review",,4.0,2.0,3.0,3.0,5.0,4.0,,,
Wed Jan 27 2021, Accounting Manager,"Orlando, FL",Former Employee ,Great people,0,"Great people to work with
","The operating hours are long
Helpful
AutoNation Response
January 29, 2021 – AutoNation Human Resources
We're so happy to hear about your experience! Thanks for leaving such a positive review- and for your hard work while at AutoNation",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Jan 28 2021, Automotive Sales Manager,"Phoenix, AZ",Current Employee ,Corporate Dealership overall a good place to work,0,"Very good CRM system. Opportunity for advancement and/ or ability to transfer to other locations nationwide.
","Being a large corporation they are sometimes their own worst enemy. They come up with great ideas, implement them and then change within a couple of months without really giving things a chance to be successful. It's tough to claim that you are the best or going to be the best at selling cars. That all the competition will try to mirror what AutoNation does and then not follow through on some of those ideas that would get you there!
Advice to Management
When you come up with a plan - Implement it with a clear plan, manage it and allow it to have the time to be successful before giving up on it. Or, at least modify the plan in an effort to make it wotk imstead of just killing the idea and going back to the way we have always done things. We all know in todays world that you can't be the best by doing things the way we always have, especially in the car business!
Helpful
AutoNation Response
January 29, 2021 – AutoNation Human Resources
Thank you for this detailed review on our overall management. AutoNation encourages open communication and we are constantly looking for areas to improve and innovate. We will carefully review and take your concerns into consideration. Thank you for your time on our sales team","When you come up with a plan - Implement it with a clear plan, manage it and allow it to have the time to be successful before giving up on it. Or, at least modify the plan in an effort to make it wotk imstead of just killing the idea and going back to the way we have always done things. We all know in todays world that you can't be the best by doing things the way we always have, especially in the car business!
Helpful
AutoNation Response
January 29, 2021 – AutoNation Human Resources
Thank you for this detailed review on our overall management. AutoNation encourages open communication and we are constantly looking for areas to improve and innovate. We will carefully review and take your concerns into consideration. Thank you for your time on our sales team",4.0,3.0,4.0,4.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Service Porter,"San Jose, CA",Former Employee ,Service Porter at Autonation,0,"not really much besides flexible scheduling
","very political, poor management, toxic environment
Advice to Management
decrease the politics at work and favoritism
Helpfu","decrease the politics at work and favoritism
Helpfu",2.0,5.0,1.0,3.0,5.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Feb 08 2021, Automotive Service Advisor,"Valencia, CA",Former Employee ,Advising,0,"Commission in high end dealers is great, clients are also great to work with and bonuses were good
","Management had favoritism, some advisers would work unethically
Helpfu",,3.0,2.0,3.0,3.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Jan 23 2021, SERVICE ADVISOR,"Memphis, TN",Current Employee ,GOOD PLACE,0,"Total compensation / pay structure and benefits
","The hours of operation take up 2/3 of your time
Helpful
AutoNation Response
January 25, 2021 – AutoNation Talent Ambassador
Thank you for this feedback and congratulations on your career at AutoNation! We hope you have many more wonderful years to come",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Sales Associate,,Former Employee ,Nicr,0,"Really nice place to work
","Nothing wrong with this going on
Helpfu",,5.0,5.0,5.0,5.0,5.0,,,,
Thu Jan 21 2021, Data Analytics Analyst,"Fort Lauderdale, FL",Current Employee ,Great Place to Grow,0,"- Work Life Balance
- Fun work environment
- Lot of opportunities to take leadership and grow
","- Projects can be slow at times
- Bureaucracy
Helpful
AutoNation Response
January 25, 2021 – AutoNation Talent Ambassador
We’re happy to hear about your experience with AutoNation! Thank you for taking the time to review our company",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Receptionist,"Houston, TX",Former Employee ,Need Time Off,0,"it was ok working there
","working too many weekends in a row
Helpfu",,2.0,,,,,,,,
