date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Jan 31 2021, Account Manager II,"San Jose, CA",Current Employee ,Good company,0,"Great place to work for Tech
","Lots of changes in strategy
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Product Manager,,Current Employee ,Good company,0,"Large company with good benefits.
","Hard to catch up when returning from taking off work
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Data Analyst,,Former Employee ,Good company,0,"Good company to start off your career
","Lack of opportunity for advancement
Helpfu",,4.0,4.0,4.0,4.0,2.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Marketing,"Phoenix, AZ",Current Employee ,"Great people, good company",0,"Everyone you work with is phenomenal. A hard working team with many years of experience which is a testament to the company.
","Organization changes are always happening, it is a moving target to consistently work towards company goals as leadership changes direction often.
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Sales Associate,,Current Employee ,solid company with good management,0,"great people and culture. work / life bal is hard to beat and its a very respectful community
","can be slow in direction change due to its size
Helpfu",,4.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Sales Representative,"Chandler, AZ",Former Employee ,Good place to build a career,0,"big company, lots of unique opportunities
","Can get lost in the shuffle sometimes. I dont have anything negative.
Advice to Management
CEO is an amazing person. Keep in touch with as many employees as you can
Helpfu","CEO is an amazing person. Keep in touch with as many employees as you can
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 27 2021, Business Development Executive,,Former Employee ,Great until Acquisition!!,0,"Sales role
Exciting place to sell technology products to a number of different types of clients. 
Was always on boarding the newest and emerging product lines to stay relevant with a dynamic industry.
","Large companies have politics but it wasn’t as bad here as other places. 
Honestly none until the Tech Data bought the Texhnology solutions arm of the business.
Helpfu",,4.0,5.0,4.0,3.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Feb 07 2021, Product Manager,,Former Employee ,slowly failing,1,"The people I worked with were wonderful.
","The executive team at that was not good.
Helpful (1",,2.0,4.0,3.0,2.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Tue Jan 12 2021, Supply Chain Program Manager,"Phoenix, AZ",Current Employee ,"Great company, need better benifits …",0,"Flex time off. Work from home options
","high medical plans, little room for advancement
Helpfu",,4.0,,,,,,,,
Mon Jan 11 2021, Import Compliance Specialist,"Chandler, AZ",Former Employee ,I loved this job,0,"I worked on a small team that supported each other.
","Just like any job, there were days that were extremely stressful.
Helpfu",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Jan 25 2021, Technical Project Manager,"San Jose, CA",Current Employee ,Stagnant and over-worked,0,"Good colleagues, always supporting and working with each other
","Lack of tools and system updates. Not enough growth opportunities.
Helpfu",,3.0,,,,,,,,
Mon Jan 04 2021,Anonymous,"Phoenix, AZ",Current Employee ,Better and Stable job,0,"Safe working environment
Nice co-workers
Reasonable pay
","Can't think of any Cons since i've been working here. Its a steady place to work and you just do what you told and trained for.
Helpfu",,4.0,4.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Dec 28 2020, Project Manager,,Former Employee ,Project manager,0,"ERP system to help company advance
","Slow using newer erp system to handle large billing of materials
Helpfu",,4.0,,,,,,,,
Thu Dec 24 2020, Senior Software Engineer,"New York, NY",Current Employee ,Great company,0,"great company to work for! really
","nothing special. keep going !!!
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,,,
Mon Dec 21 2020, Corporate,"Phoenix, AZ",Current Employee ,Great place to work,0,"Fast paced, wonderful people, global, new CEO, opportunity to contribute and make difference and remote during covid
","Work/life balance is struggle. New hires working remotely might have tough time building internal network needed to be successful. You need to take initiative which is not a con but a fact anywhere.
Advice to Management
Thank you to Board for voting in new CEO who understands Avnet business.
Helpfu","Thank you to Board for voting in new CEO who understands Avnet business.
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 04 2021, Solutions Sales Executive,"Philadelphia, PA",Current Employee ,Great culture but value declining and people are burned out,0,"Great people, try to work with employees to ensure their needs are met (personally and professionally), long tenure of employees, great vacation plans and pension.
","employees are fatigued with no end in sight. not enough support people and tools in place that are effective. constantly battling small battles instead of focusing on big wins.
Advice to Management
Get more support for the team.
Helpfu","Get more support for the team.
Helpfu",3.0,4.0,4.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Sun Jan 03 2021, Illumineer,,Former Employee ,Review of Illumineer effort.,0,"Great people to work with.
","Management only cares about immediate returns.
Helpfu",,3.0,,,,,,,,
