date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Senior Data Analyst,"Franklin Lakes, NJ",Current Employee ,Working at BD,0,"I like the Diversity in the company.
","You have to work really hard to get into visibility because of the size of the company. This is usual everywhere
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Wed Feb 10 2021, Continuous Improvement Engineer,"San Diego, CA",Former Employee ,"Very large, industry leading MED TECH company",0,"Very large, matrixed company with lots of growth opportunities. Top talent, and established products.
","Lots of outdated processes. Because of the size of the company changes are very slow and can prevent success.
Advice to Management
Promote and retain talent, not industry experience.
Helpfu","Promote and retain talent, not industry experience.
Helpfu",4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Accountant,"Dallas, TX",Current Employee ,Good,0,"Decent company to work for
","There is really not much downside
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021," Manager, Software Quality Engineering","Birmingham, AL",Former Employee ,Pay and benefits good; training opportunities limited; management mistrustful,0,"1. Getting to work with top-notch clinicians and data analysts.
2. Company reputation has been superb.
3. Pay and benefits are reasonably good.
","1. Recent product quality missteps have in some ways damaged the company's reputation.
2. R&D/Software Engineering positions offer limited opportunities for meaningful professional/skills development.
3. Executive leadership overrides, breaks agile framework.
Advice to Management
For agile software engineering positions, hire people you can trust, then provide them the training opportunities and resources they need and trust them to function well in self-organizing teams.
Helpfu","For agile software engineering positions, hire people you can trust, then provide them the training opportunities and resources they need and trust them to function well in self-organizing teams.
Helpfu",4.0,3.0,3.0,4.0,3.0,4.0,Positive Outlook,,Approves of CEO
Sat Feb 06 2021, Clinical Manager,"Franklin Lakes, NJ",Current Employee ,Amazing,0,"Competitive salary and benefits, culture
","Work life balance is lacking
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Mobile,"Boston, MA",Former Employee ,"Professional, good community",0,"Community oriented, responsive, professional, opportunities
","Network slow, laptops outdated, remote management
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Tue Feb 02 2021, Territory Manager,,Current Employee ,Awesome job,0,"Work life balance is awesome
","None that I can think of
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Global Category Manager,,Former Employee ,Good company with messy business setup,0,"Opportunity to work global, work flexibility
","Complex business setup that create challenge to do your job
Helpfu",,4.0,5.0,4.0,3.0,3.0,3.0,Recommends,Neutral Outlook,
Fri Jan 29 2021, Finance Analyst,"Tempe, AZ",Current Employee ,Great team,0,"I love working with my team here.
","There aren't any notable cons.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Jan 28 2021, Senior Analyst IT,"Franklin Lakes, NJ",Current Employee ,Great company to work for,0,"Lots of opportunities to move within the company and get diverse experience
","Management is very demanding at times..
Helpfu",,4.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Statistician,"New York, NY",Current Employee ,good company,0,"good work life balance, colleagues are friendly, a lot of flexibility
","not much space for growth
Helpfu",,4.0,5.0,4.0,4.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Factory Worker,"Baltimore, MD",Current Employee ,Good,0,"I Had very good Coworkers
","I had some poor Management
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
