date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 23 2021, Lead Engineer,,Current Employee ,Very good work culture,0,"Caring , Down to earth people
","Bureaucratic, communication, too many business units,
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Wed Feb 10 2021, Sales,"Houston, TX",Current Employee ,Panametrics - Sales,0,"Flexible work schedule, good base pay, interesting products, intelligent coworkers
","Limited growth opportunities and bonus pay.
Advice to Management
Have a discussion with your team about career growth and help create a legitimate pipeline to get there. Help your teams avoid complacency.
Helpfu","Have a discussion with your team about career growth and help create a legitimate pipeline to get there. Help your teams avoid complacency.
Helpfu",4.0,5.0,3.0,4.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Senior Marketing Manager,"Houston, TX",Former Employee ,Great company but full of office politics,2,"Great company and for the most part great people that work there. Heading in the right direction and very much in touch with the future of the world's environment.
","After the GE merger company, politics and gaming playing was out of control. I lasted three years and resigned due to the pressure and my department refusing to work as a team. My boss even used the words ""it's all part of my diabolical plan"".
Advice to Management
Take a real good look at many of the upper management, not all are playing in the sandbox well together.
Helpful (2","Take a real good look at many of the upper management, not all are playing in the sandbox well together.
",5.0,2.0,5.0,5.0,2.0,5.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Mon Feb 08 2021, Electro Mechanical Technician,"North Houston, TX",Former Employee ,Electro Mechanical Technician,0,"Developing extensive knowledge about how to repair and upgrade oil drilling tools.
","The long commute to the work area. But at that particular time I was using public transportation.
Helpfu",,4.0,4.0,4.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Customer Service,"Houston, TX",Current Employee ,Job Security,0,"Job security . Managers are nice
","will not help you to further yourself in the company .
Helpfu",,4.0,3.0,4.0,5.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, EHS Lead,"Houston, TX",Former Employee ,Oilfield services,0,"Flexible work hrs at location
","Constant reorganization of company and philosphy
Helpfu",,4.0,4.0,4.0,5.0,3.0,5.0,Recommends,Negative Outlook,Approves of CEO
Sun Feb 07 2021, Field Engineer II,"Broussard, LA",Current Employee ,"Good company, disconnect between local and HQ management",0,"The local management is fantastic, they're very flexible but are very knowledgeable and supportive. Despite it being the oilfield, they try to make reasonable, achievable goals for everyone.
","Honestly, sometimes big companies make decisions that make sense to managers that are very removed from the people and customers of a business unit, but it might be nice to see more deference given to local management when times get tough. Don't forget, oilfield hours, so 24/7/365.25, if you aren't prepared for that, it might be best to look at a different industry.
Advice to Management
Local management: stay the course and endure. We know you all have bills to pay just like we do.
HQ management: don't forget the little people, they aren't just numbers. And listen to the local management team. Also, don't take away the few perks the job has (such as vehicle allowance). It makes the entire team embittered to get worked harder for less money. I know that historically it has been relatively easy to recruit talent because the oilfield pays better, but no one likes getting mistreated. The 'your pay can be changed at anytime' is one of those problems that will haunt the entire oilfield in the near future. Anyway, if the shoe were on the other foot regarding things like vehicle allowance, you'd probably have a lot to say about it. Also, perhaps it might be helpful that when HQ management announces core values, it might be good to solicit and utilize ""commoner employee"" feedback about how to actually apply those core values when times get tough. As what was once told to me, it's very easy to run an oil company at $100/BBL, but the crap hits the fan when oil hits $20/BBL. That's when you'll really see those core values in action, or otherwise.
Helpfu","Local management: stay the course and endure. We know you all have bills to pay just like we do.
HQ management: don't forget the little people, they aren't just numbers. And listen to the local management team. Also, don't take away the few perks the job has (such as vehicle allowance). It makes the entire team embittered to get worked harder for less money. I know that historically it has been relatively easy to recruit talent because the oilfield pays better, but no one likes getting mistreated. The 'your pay can be changed at anytime' is one of those problems that will haunt the entire oilfield in the near future. Anyway, if the shoe were on the other foot regarding things like vehicle allowance, you'd probably have a lot to say about it. Also, perhaps it might be helpful that when HQ management announces core values, it might be good to solicit and utilize ""commoner employee"" feedback about how to actually apply those core values when times get tough. As what was once told to me, it's very easy to run an oil company at $100/BBL, but the crap hits the fan when oil hits $20/BBL. That's when you'll really see those core values in action, or otherwise.
Helpfu",4.0,3.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Assembly Technician II,,Current Employee ,Not the worst place but management could be better,0,"If you can get in the right spots progression is ok, pay CAN go up quickly.
","Too much politics with upward mobility
Helpfu",,4.0,3.0,1.0,2.0,2.0,3.0,,,
Fri Feb 05 2021, Drilling Applications Engineer,"Denver, CO",Former Employee ,Drilling Applications Engineer Review,0,"Unlimited vacation policy. No one makes a big deal about things as long as you get your work done.
","No major cons to mention
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Procurement Specialist,"Houston, TX",Former Employee ,Review,0,"Good corporate culture, no micromanagement
","Complicated business processes requiring much time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
