date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 19 2021, Technology Analyst,"Dallas, TX",Current Employee ,Great Company,0,"Great Company to work for
","No cons for me to report
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Global Banking &amp; Markets Wholesale Credit Analyst,"Chicago, IL",Current Employee ,Solid job out of school,0,"fair pay and benefits, 15 days of vacation
","long hours/ stale office culture
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Business Analyst,,Current Employee ,Good environment,0,"Awesome co-workers and nice atmosphere
","Nothing much really, I enjoyed working there
Helpfu",,4.0,3.0,4.0,4.0,4.0,3.0,,,
Sun Feb 07 2021, Vice President,"New York, NY",Current Employee ,Good stable job,0,"Good stable solid job. Good work-life balance. Pleasant colleagues.
","Bonuses are lousy. Promotion is questionable.
Advice to Management
Improve incentive structure.
Helpfu","Improve incentive structure.
Helpfu",4.0,5.0,5.0,4.0,3.0,1.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Fraud and Cyber Crime Investigator,,Current Employee ,Great benefits,0,"Great benefits and great place to work
","Information sharing is lacking throughout the bank
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Diversity and Inclusion,"Tulsa, OK",Current Employee ,Great company to work for,0,"Great benefits, competitive salaries, strong environmental social governance and diversity and inclusion strategy.
","Due to the scale and size of the company it can be difficult to integrate into the somewhat complex matrix.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Relationship Manager,"North Bergen, NJ",Former Employee ,Good company,0,"Good benefits and pay, team environment
","None I enjoyed my time here
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Global Risk Analyst,"Charlotte, NC",Current Employee ,Review,0,"Lots of opportunities coming out of the program
","really underpaid while in program
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Teller,"Lake Worth, FL",Former Employee ,Bank of America,0,"It was a good place to work
","Management, Goal, Pressure, Micro Management
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, N/A,,Current Employee ,Good place to work,0,"Good health benefits and insurance
","Internal mobility can be difficult
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Collections,"Jacksonville, FL",Current Employee ,Great company to work for,0,"Great benefits and management environment
","Sometimes it’s hard to move up
Helpfu",,5.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Relationship Manager,"Miami, FL",Former Employee ,Good place,0,"work life balance, PTO, and benefits
","Culture in some branches not good
Helpfu",,5.0,5.0,3.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Operation Analyst,"Dallas, TX",Former Employee ,Analysts,0,"Great benefits and paid days and vacation right away
","None very good place to work for
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Relationship Manager,,Current Employee ,Love this place,1,"great pay, great leadership, committed to clients
","too much micromanagement, too much focus on outbound calling
Helpful (1",,5.0,4.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Relationship Banker,"Houston, TX",Current Employee ,Great Place to Work,0,"Great money starting out. Hours and schedule are usually consistent. Training is great if you are new to banking. Great opportunity to make connections and develop communication skills that will carry you up the ladder or to another company depending on your career path. Great benefits and amazing HR services.
","Working up the ladder takes significant time. Although it is banking, the environment is still retail so consider the same style of customer interactions. Be prepared to learn a significant amount of information, protocol, and regulations related to banking.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Preferred Sales Associate,,Current Employee ,The company is great. This department...,0,"The sick and vacation time is great. The company is phenomenal. Benefits are awesome. You can tell that they care about their employees.
","This department is the worst and because it’s a call center environment, it difficult to transition out. There is very little growth in this department.
Helpfu",,4.0,5.0,5.0,5.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Team Lead,,Current Employee ,Good Company To Work For,0,"Good benefits and communication. Sincere effort made to improve processes and work environment.
","It is difficult to change departments or career path internally.
Advice to Management
The bank provides many ways for employees to learn new skills and further their education but it doesn’t do any good if hiring managers still won’t interview nor hire them.
Helpfu","The bank provides many ways for employees to learn new skills and further their education but it doesn’t do any good if hiring managers still won’t interview nor hire them.
Helpfu",4.0,4.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Customer Service Representative,"Providence, RI",Current Employee ,Great company,0,"Advancement in company and managers
","Customers and long hours on phones back to back calls
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Business Analyst,"Richardson, TX",Former Employee ,Okay work environment,0,"Good benefits. Excellent co workers. Flexible work hours
","Low pay compared to other banks and demanding work environment. But the work is do able.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Finance Manager,"Charlotte, NC",Current Employee ,Great Company,0,"Fair compensation w/ additional benefits
","Very little pay / compensation transparency
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Software Engineer,"Dallas, TX",Former Employee ,Software engineer 1,0,"Not very challenging work wise
","Not alot of movement for promotions
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Relationship Manager,"Albuquerque, NM",Current Employee ,Great company to work for.,0,"Benefits are great for you and your family.
","Scheduling vacation time can be a pain.
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sun Jan 31 2021, Metrics Analyst,"Richmond, VA",Former Employee ,data analyst,1,"having good work life balance
","using old process and framework
Helpful (1",,5.0,5.0,4.0,4.0,4.0,4.0,,,
Sun Jan 31 2021, Relationship Manager,"Boston, MA",Current Employee ,good company to develop career,1,"Good company, care about employees
","not sufficient mentoring and guidance.
Helpful (1",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, AVP,"New York, NY",Former Employee ,Reviewing BofA,0,"The perks are pretty great! 401k match is vested after 3 yrs, good tuition reimbursement policy, and healthcare program. It's a very friendly work environment.
","The bonus isn't competitive. They are relocating most finance roles to Charlotte, NC.
Helpfu",,4.0,4.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Credit Analyst,"Charlotte, NC",Current Employee ,Great Company,0,"Satisfying and fulfilling work and initiatives
","Third party programs do not always work as intended
Helpfu",,4.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
