date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 04 2021, Desktop Support Technician,"Pittsburgh, PA",Former Employee ,"Great place to work, Flexible work hours, supportive co-workers",0,"Co-workers, Clients and flexible work hours.
","workload, mixed messages from management.
Helpfu",,5.0,5.0,2.0,4.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Director,"New York, NY",Current Employee ,Exciting times,0,"Commitment to establishing a culture with a strong sense of purpose that results in superior performance.
","The firm has had a history of significant change on many levels over the past three to five years, one example being turnover at the management level.
Advice to Management
BNY Mellon has embarked upon a very exciting effort to transform the company’s purpose and culture to meet the demands of its clients, employees and shareholders. Management is committed and engaged - incorporating a number of leading practices to ensure transformation and success.
Helpfu","BNY Mellon has embarked upon a very exciting effort to transform the company’s purpose and culture to meet the demands of its clients, employees and shareholders. Management is committed and engaged - incorporating a number of leading practices to ensure transformation and success.
Helpfu",4.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Vice President,,Current Employee ,Same to same,0,"Good salary and benefits. Promotion opportunities
","poor management. Favoritism. Zero sense of empowerment
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Trust Associate,"Pittsburgh, PA",Current Employee ,Great Exposure to the financial industry,0,"A lot of opportunities to move around
","There isn’t much Communication by upper management
Helpfu",,4.0,3.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Senior Associate,"Lake Mary, FL",Former Employee ,Good Stable Company,0,"Stability, room for advancement, fair pay, good benefits.
","You have to work late often
Helpfu",,4.0,3.0,4.0,5.0,5.0,4.0,,,
Mon Feb 08 2021, Software Engineer,"New York, NY",Current Employee ,Great work experience,0,"Good pay, lots of work
","Mixed messages from management, bad work life balance
Advice to Management
Manage better, employees are not machines
Helpfu","Manage better, employees are not machines
Helpfu",4.0,3.0,3.0,1.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 08 2021, Analyst,,Former Employee ,good,0,"pay is pretty good for the work
","hours are long and hard
Advice to Management
keep up all the good work!
Helpfu","keep up all the good work!
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Opener,,Former Employee ,overwhelming overtime,0,"if you like overtime and better pay comparing to minimum wage value
","you can't take your vacation on time
Helpfu",,4.0,2.0,3.0,4.0,4.0,4.0,,,
Thu Feb 04 2021, Software Engineer,"Boston, MA",Current Employee ,Good management but compensation and workload need improved,0,"I think the management on my current team has been terrific and transparent especially in the times of COVID.
","Anyone that is not in your daily team seems to dodge questions regularly. When my offer was given I was happy, but then HR came back and then told me it was significantly less after already giving out the offer. I like working here, but I just wish 10 hour days were not the regular due to the amount of meetings and documentation, but instead actually producing software and having test data easily accessible. I have been getting enticing offers recently from technology companies, that seem more competitive and less bureaucracy but I really don't want to leave what I helped build.
Advice to Management
If you make an offer involving compensation, make sure it is correct.
Helpfu","If you make an offer involving compensation, make sure it is correct.
Helpfu",4.0,3.0,4.0,3.0,4.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Intermediate Representative,"Pittsburgh, PA",Current Employee ,Good job,0,"Good job good pay good people
","I don’t have any cons
Helpfu",,5.0,,,,,,,,
