date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Jan 27 2021, Licensed Real Estate Agent,,Current Employee ,Great environment,0,"Great brokers and support for training.
","You only make money on commissions.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Licensed Real Estate Agent,,Former Employee ,Great company,0,"They offer a lot of tools to help you learn and grow within their company.
","They will hire just about anyone who passes the real estate test.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Mon Jan 25 2021,Anonymous,"Yorba Linda, CA",Former Employee ,Great,0,"Great company , Great Management
","Nothing Negative 
all positive 
Nice location
Helpfu",,5.0,,,,,,,,
Sat Jan 23 2021, Realtor,"Atlanta, GA",Current Employee ,Great Place to work,0,"Agent focused & Interested in feedback and improvement
","Too many new agents that require a lot of broker time.
Helpfu",,5.0,,,,,,,,
Mon Jan 04 2021, REALTOR&Reg;,"Las Vegas, NV",Current Employee ,Great company,0,"Great guidance, leadership, structure and company culture.
","Working remotely mainly since Covid.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Leasing Agent,"College Station, TX",Current Employee ,Consistency,0,,"stency""
2.0
★★★★★
Current Employee - Leasing Agent in College Station, TX
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I have been working at Berkshire Hathaway full-time
Pros
Small office location
Good foot traffic
Cons
Organization of management
Consistency of management
Advice to Management
Get organized and trust employees
Helpfu","Get organized and trust employees
Helpfu",2.0,2.0,4.0,4.0,1.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Dec 24 2020, Real Estate Agent,"Boston, MA",Former Employee ,Real Estate Agent,0,"It is a great job. I like it.
","It is a bit stressful and hard.
Helpfu",,5.0,,,,,,,,
Tue Jan 19 2021, Transaction Coordinator,"Atlanta, GA",Former Employee ,Just a job,0,"I can't think of one pro, just a job.
","Limited career advancement. Low salary.
Helpfu",,1.0,3.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Tue Dec 08 2020, Manager,,Former Employee ,Strong brand and parent company,0,"Strong brand and parent company
","Cyclical industry, subject to market conditions
Helpfu",,4.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,
Wed Dec 02 2020, Senior Commercial Underwriter,"Wilkes Barre, PA",Current Employee ,"The people, the culture and the growth potential are unmatched.",0,"Genuine people, outstanding culture, extraordinary growth potential.
","The salary is near average.
Advice to Management
More competitive salary.
Helpfu","More competitive salary.
Helpfu",5.0,5.0,5.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Dec 02 2020, Administration,,Former Employee ,Great benefits,0,"Great parent company, good pay, and benefits.
","Lack of transparency and trust in the lower management level.
Helpfu",,4.0,4.0,4.0,3.0,4.0,5.0,Approves of CEO,,
Tue Nov 24 2020, Associate Investment Banker,"New York, NY",Current Employee ,poof,0,"great, love buffet, usefull teachings
","no value for employees at low level
Advice to Management
they need show respect to employees
Helpfu","they need show respect to employees
Helpfu",5.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Dec 09 2020, Real Estate Agent,"South Bend, IN",Former Employee ,Pay is Eh,0,"Flexibility, Freedom and can manage your own ""business""
","Not a lot of money, small team, office drama and gossip is a lot
Helpfu",,3.0,4.0,2.0,5.0,3.0,1.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Nov 24 2020, Real Estate,"Henderson, NV",Current Employee ,Very supportive company,0,"Free classes to keep you informed. Brokerage support. Great Branding
","Real estate is more challenging than you expect. It’s crystal to have a broker guide you during your first transactions
Helpfu",,5.0,,,,,,,,
Thu Dec 24 2020, Transaction Coordinator,"Chattanooga, TN",Former Employee ,Pass,0,"None, there are none to report
","Management is poor, nothing good to comment
Helpfu",,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,,
Mon Nov 16 2020, Realtor,,Current Employee ,Just like all the rest,0,"Large office with 2 admins to assist in document processing
","Unreasonable fees and poor commission structure
Helpfu",,3.0,3.0,2.0,1.0,4.0,3.0,No opinion of CEO,,
Wed Oct 28 2020, REALTOR&Reg;,,Current Employee ,Good Company,0,"Love selling real estate and working with buyers & sellers.
","Independent contractor - no benefits
Helpfu",,4.0,3.0,4.0,4.0,1.0,4.0,Recommends,Positive Outlook,
Fri Oct 23 2020, Realtor,,Former Employee ,Good Company,0,"They are very helpful when are starting out as an agent.
","I don’t have any cons.
Helpfu",,4.0,,,,,,,,
Wed Oct 21 2020, Sales Representative,"Marlton, NJ",Former Employee ,Great Place,0,"Continuing Education, Staff, Colleagues, Clients, Management
","None, None, none, none, none.
Advice to Management
Keep up the good work
Helpfu","Keep up the good work
Helpfu",5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
