date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Retail Sales Consultant,"Pineville, NC",Former Employee ,Great Place to Work,0,,"ltant in Pineville, NC
Recommends
Positive Outlook
No opinion of CEO
I worked at Best Buy part-time for more than a year
Pros
Great management at my store!
Cons
Have to keep pushing there credit cards.
Advice to Management
none
Helpfu","none
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Designer,,Current Employee ,Nice place to work,0,"Good benefits, diverse work environment
","Long hours, tremendous time on your feet
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Appliance Sales Specialist,"Katy, TX",Current Employee ,n/a,0,"ability to flex in different departments and gain a lot of hours
","just started in November and haven't seen any cons thus far
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Merchandising Specialist,"Manassas, VA",Former Employee ,Nice Part Time Job,0,"Really easy and nice part time job, with great staff
","Work can be overwhelming at times.
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Customer Service Specialist,"Gulfport, MS",Former Employee ,Good job to start with,0,"Best staff environment, good pay, good staff, holiday pay, and Flexible
","Favoritism, hours, no weekends off, no breaks, and long hours
Advice to Management
Keep a close eye out
Helpfu","Keep a close eye out
Helpfu",4.0,3.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Sales Consultant,"Aventura, FL",Former Employee ,Refreshing work environment,0,,"ltant in Aventura, FL
I worked at Best Buy part-time
Pros
Learn about technology and new devices
Cons
Black Friday weekend was always exhausting
Helpfu",,4.0,4.0,5.0,5.0,3.0,3.0,,,
Mon Feb 08 2021, Front End Lead,"Topeka, KS",Former Employee ,Fun company to work for,0,"Engaged training with on the job training.
","To much Koolaid being forced.
Helpfu",,4.0,5.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Inventory Specialist,"Bridgewater, NJ",Former Employee ,Enjoyed My Journey,0,"Benefits, employee discount, people I met
","Schedule can be inconsistent, pay could be better, holidays/customers
Advice to Management
Promote from within and acknowledge the great employees you have.
Helpfu","Promote from within and acknowledge the great employees you have.
Helpfu",4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Home Theater Sales Associate,"Indianapolis, IN",Former Employee ,"Pretty cool work enviroment, numbers are'nt difficult to hit as long as you talk to customers.",0,"Decent discount, lax work environment
","Large customer volume on holidays.
Helpfu",,4.0,4.0,3.0,4.0,3.0,3.0,,,
Sun Feb 07 2021, Sales,,Former Employee ,Awesome Flexibility,0,"They were awesome when it came to understanding my situation with school and the hours I could work
","Very sales and number focused company
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Product Manager,"Minneapolis, MN",Current Employee ,Salary,0,"Good bonus for the full time
","Salary is not competitive for the experience
Helpfu",,4.0,2.0,3.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service Specialist,"Gulfport, MS",Former Employee ,Good job to start with,0,"Best staff environment, good pay, good staff, holiday pay, and Flexible
","Favoritism, hours, no weekends off, no breaks, and long hours
Advice to Management
Keep a close eye out
Helpfu","Keep a close eye out
Helpfu",4.0,3.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Sales Consultant,"Aventura, FL",Former Employee ,Refreshing work environment,0,,"ltant in Aventura, FL
I worked at Best Buy part-time
Pros
Learn about technology and new devices
Cons
Black Friday weekend was always exhausting
Helpfu",,4.0,4.0,5.0,5.0,3.0,3.0,,,
Sat Feb 06 2021, Curbside,"Greece, NY",Former Employee ,Experience at Best Buy,0,"Everyone was super friendly and made sure to make work feel like fun
","There really isn’t a a lot of one-on-one training; you just get thrown out there.
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Sales Expert,,Current Employee ,Pretty Alright,0,"Easy going management, schedule flexibility and lively work environment
","When its slow it could get really boring.
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Unemployed,"Austin, TX",Former Employee ,"Working for Best Buy is just like buying Real Estate; Location, Location, Location",0,"Awesome products, awesome training, awesome staff, awesome times. The attitude at my store was generally positive, and the leadership at my store was always on point and actively engaged in helping me grow in my career.
","All of this varies based on location. My store was probably one of the best in the country as far as employee culture goes, but I've heard of and seen stuff from others that would make your skin crawl.
Helpfu",,4.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Computer Specialist,"Sterling, VA",Former Employee ,surprisingly good,0,"competitive and challenging environment and lots of employee benefits
","not alot of hours to go around and performance can severely impact your hours as well
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Best Buy Customer Sales Associate,"Cambridge, MA",Former Employee ,They paid better than other retail stores,1,"easy-going, relaxing, cool people, okay work place
","Sales people don't like to help inventory people. they rather play on their phones and dance to loud hip-hop music
Advice to Management
Stop using the word team if no one helps each other
Helpful (1","Stop using the word team if no one helps each other
",4.0,3.0,3.0,2.0,3.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Seasonal Associate,,Former Employee ,Great team!,0,"Great and friendly team, good starting wage, fast paced
","Angry customers, overwhelming at times, lots of information to learn at one time
Advice to Management
Keep up the good work.
Helpfu","Keep up the good work.
Helpfu",5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Sales Associate,"New York, NY",Former Employee ,Cool job if you’re young!,0,"Nice discounts sometimes something to do at 18-22 but move on after that you get to stay up to date with all the new tech and hardware.
","Pay sucks very sales driven no commission close to minimum wage.
Advice to Management
Gm is the position of gold!
Helpfu","Gm is the position of gold!
Helpfu",5.0,2.0,4.0,4.0,4.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Thu Feb 04 2021, Sales Associate,"New York, NY",Former Employee ,Cool job if you’re young!,0,"Nice discounts sometimes something to do at 18-22 but move on after that you get to stay up to date with all the new tech and hardware.
","Pay sucks very sales driven no commission close to minimum wage.
Advice to Management
Gm is the position of gold!
Helpfu","Gm is the position of gold!
Helpfu",5.0,2.0,4.0,4.0,4.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Sales Associate,,Current Employee ,Best Place to work,0,"Best Place to work, work life balance
","there are no cons , beat place
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Fri Feb 05 2021, Apple Computing Master,,Current Employee ,Good job,0,"fun environment to be around on a daily basis
","high performance required at all times
Helpfu",,5.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021," Helper, Geek Squad Home Delivery (DOT","Charlotte, NC",Current Employee ,Awesome place for a stable job,0,"Nice perks,they pay for college through strayer ,have a good insurance,nice management, enthusiastic work culture, camradery and they take care of you if you have any questions or concerns
","Sometimes what it's written on the protocol it's not what it's implemented on the field.
Helpfu",,5.0,4.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Retail Sales Consultant,,Former Employee ,Having fun while not knowing if you're the best,0,,"ltant 
Recommends
Positive Outlook
Approves of CEO
I worked at Best Buy part-time for more than a year
Pros
work-life balance culture team management fun
Cons
hard to move up no commission pay freeze boring lack of competition
Helpfu",,4.0,5.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Computer Sales,,Former Employee ,Not too shabby,0,"Great environment, Management is good, pay is decent, Fantastic discount on certain things.
","Too pushy upselling, reminded everyday of the same things you've learned.
Advice to Management
Lay off the micromanagement, when nature calls, don't come into the bathroom looking.
Helpfu","Lay off the micromanagement, when nature calls, don't come into the bathroom looking.
Helpfu",4.0,3.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Product Flow Specialist,,Current Employee ,Great work environment,0,"Managers are great, pay is great
","Hours fluctuate for part timers
Helpfu",,4.0,3.0,4.0,4.0,4.0,3.0,,,
Fri Feb 05 2021, Mobile Manager,"San Diego, CA",Former Employee ,Decent job,0,"Employee discount
401k
Opportunity to move up
","No commission or bonus
Low pay as reps 
Micro management
Advice to Management
Na
Helpfu","Na
Helpfu",4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Sales Associate,"Miami, FL",Current Employee ,Good place to work while studying,0,"They have a Flexible schedule so that you be able to study
","They pay should be higher for the amount of thing that a sales representative has to do and know about.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Sales Consultant,"Tucson, AZ",Former Employee ,Great place to be up to date with tech and great opportunity to use people skills.,0,,"ltant in Tucson, AZ
Recommends
Positive Outlook
Approves of CEO
I worked at Best Buy part-time for more than 8 years
Pros
Major advantage for working for Best Buy are the discounts!
Cons
A lot of micro managing with a lot of side job.
Advice to Management
Avoid having sales people vacuuming.
Helpfu","Avoid having sales people vacuuming.
Helpfu",4.0,3.0,4.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Appliance Sales,,Former Employee ,Nice People,0,"Nice team, supportive management, helpful environment
","Lots of selling pressure, blamed for lack of customers
Advice to Management
Your sales associates will not respond well to negative reinforcement, it just makes them not want to work hard or try their best.
Helpfu","Your sales associates will not respond well to negative reinforcement, it just makes them not want to work hard or try their best.
Helpfu",4.0,3.0,3.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
