date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Nov 01 2020, Propulsion Engineer,"New Orleans, LA",Current Employee ,Fair employer,0,"Fairly values employees and gives generous benefits and bonuses
","Corporate structure leaves possibility of feeling like you can get forgotten. With good managers this is less of a concern
Helpfu",,5.0,4.0,4.0,3.0,5.0,4.0,,,
Sun Feb 07 2021, Quality Assurance Aircraft Inspector,"Saint Louis, MO",Former Employee ,Good benefits,0,"Good benefits, tons of overtime.
","Your just a number and little mobility.
Helpfu",,4.0,4.0,4.0,4.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Engineer,"Oklahoma City, OK",Former Employee ,Good,0,"Benefits are pretty good mostly
","Work life balance is not good
Helpfu",,4.0,1.0,3.0,4.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sun Feb 07 2021, EHS Specialist,,Current Employee ,Review,0,"Benefits are great and it allows you a good work-life balance. Its a great place to end your career not start it
","Poor development, low salary compared to other employees, poor management
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Business Analyst,"Chicago, IL",Current Employee ,Great Team,0,"work-orientated environment that focuses on completion of programs, not busy work
","none. I like everything about it
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Data Scientist,"Seattle, WA",Current Employee ,Data scientist,0,"Good experience, work with teams.
","Have to deal with management who does not know much about your work.
Advice to Management
Stand up for your employees.
Helpfu","Stand up for your employees.
Helpfu",4.0,4.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Senior IT Manager,"Auburn, WA",Former Employee ,Wouldn’t do anything different,0,"Good pay and benefits. Awesome people. Meaningful work
","Lot of focus on short term results to the detriment of long term results.
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Quality Control Inspector,"San Antonio, TX",Current Employee ,Boeing Quality Jobs,0,"The level of responsibility given and trust.
","Early start days and long hours
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Assembly Mechanic,"Saint Louis, MO",Current Employee ,Great Company,0,"Benefits and pay. Co-workers are a great team.
","I really can't think of any cons.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, IT Release Manager,"North Charleston, SC",Current Employee ,Great Company,0,"Great benefits and pay for family
","Poor Lower management that lack vision and employee advancement
Advice to Management
Need better training of management
Helpfu","Need better training of management
Helpfu",5.0,5.0,5.0,5.0,3.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Manufacturing Manager K,"Renton, WA",Current Employee ,attitude is everything,0,"people that want to accomplish the mission
","The job can become mundane and tedious at times
Helpfu",,5.0,4.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Software Test Engineer,"Huntsville, AL",Former Employee ,life at Boeing,0,"the work culture was amazing
","slow moving projects easy to loose interest.
Advice to Management
keep up the good work
Helpfu","keep up the good work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021,Anonymous,"Los Angeles, CA",Current Employee ,Laid back,0,"Laid back environment, nice coworkers, interesting projects
","People outside your group are often stingy with letting you access things that would allow you to do your work.
Advice to Management
No micromanagement
Helpfu","No micromanagement
Helpfu",5.0,,,,,,,,
Thu Feb 04 2021, Software Engineer,"Washington, DC",Current Employee ,Good Place,0,"Nice place to work, good people
","Management is a bit out of touch
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Manufacturing Engineer,"New Orleans, LA",Current Employee ,"Great company, great people, great job",0,"Good benefits and great people with passion
","I have no cons to report
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Manufacturing Engineer,,Current Employee ,Good Work/Life Balance,0,"Boeing generally let's you work as much or as little as you would like. There are opportunities for those who work hard.
","Lack of consistency between programs/systems, not a lot of trust between employees and executives.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Systems Design and Integration Specialist,"Charleston, SC",Current Employee ,Great company to be apart of,0,"Telecommute, pay, benefits, & growth opportunity
","The company is struggling due to the pandemic on top of 737 issues and lay offs are inevitable.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Feb 04 2021, Early Career Development Associate,"Long Beach, CA",Current Employee ,Great benefits,0,"Boeing has amazing benefits and zero to low health insurance costs
","Salary compensation is not competitive
Helpfu",,4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Environmental Engineer,"Seattle, WA",Current Employee ,Good company to work for,0,"Colleagues are willing to help. Good benefit.
","Decision making process is slow.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Financial Analyst,"Everett, WA",Current Employee ,Financial Operations,0,"Great benefits like PTO and Work Life Balance
","Slow and difficult to promote in some areas within the company
Helpfu",,4.0,5.0,3.0,3.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Any Position,"Everett, WA",Former Employee ,Awesome place,0,"A great workplace. Many great benefits. No other company compares to Boeing.
","No cons for me personally. I was treated well.
Advice to Management
My managers were great and easy-going as long work was done correctly and in a timely manner.
Helpfu","My managers were great and easy-going as long work was done correctly and in a timely manner.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Systems Engineer,,Current Employee ,Systems Engineer,0,"The workplace is very encouraging and friendly
","No cons at this moment
Helpfu",,5.0,5.0,5.0,4.0,,,Recommends,,
Wed Feb 03 2021, Currently Unemployed and Seeking Work,"Lake Stevens, WA",Former Employee ,Great opportunity while it lasted,0,"Excellent benefits, union job, perks, good pay
","Was laid off due to Covid like many others.
Helpfu",,5.0,3.0,4.0,5.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Talent Acquisition,"Long Beach, CA",Current Employee ,My experience working for this company,0,"The company offers great benefits!
","There are no cons that I can really share about working at Boeing.
Helpfu",,5.0,5.0,4.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Software Applications Tester,"Saint Louis, MO",Current Employee ,"Great place for ""focus work,"" awkward bureaucracy sometimes",0,"Long-established, well-managed company that has a policy, procedure, and standard for everything. It may sound ""stifling,"" but in reality, roles and policies are so well-defined that once you get the hang of things, you can really easily just focus on your job.
","Sometimes the bureaucracy is awkward to navigate, because the organization is so large. It can take some time to learn your way around the supporting infrastructure at first.
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Facilities Planner II,"South Seattle, WA",Former Employee ,Facilities Assistant Project Manager,0,"Challenging work, good benefits, & cooperative coworkers.
","Top heavy with multiple layers of management.
Helpfu",,4.0,5.0,4.0,3.0,3.0,5.0,,,
Wed Feb 03 2021, Aerospace Engineer,"Everett, WA",Current Employee ,Fair Pay,0,"Very well compensated for aerospace engineering work
","Very competitive for job growth
Helpfu",,4.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Versatile Technologist,,Former Employee ,Na,0,"Chance to work for such a a big company and team was awesome to work with
","Hard to advance in IT
Advice to Management
Na
Helpfu","Na
Helpfu",4.0,3.0,4.0,4.0,3.0,4.0,Recommends,,Approves of CEO
Tue Feb 02 2021, Avionics Software Engineer,"Warner Robins, GA",Current Employee ,Great benefits,0,"Great benefits package including Health and Life insurance, 401k contributions from company.
","Need a hybrid work environment (some goods of traditional and some of modern work culture)
Advice to Management
Career growth for right candidates should be a big area of focus. Deserving candidates based on qualification should get first shot at opportunities.
Helpfu","Career growth for right candidates should be a big area of focus. Deserving candidates based on qualification should get first shot at opportunities.
Helpfu",5.0,3.0,4.0,3.0,3.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Procurement Coordinator,"Arlington, VA",Current Employee ,Amazing company to work for,0,"Great training and lots of opportunity to grow
","Not too good in benefits. Health insurance is expensive
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Quality Inspector,"San Antonio, TX",Current Employee ,great,0,"very great company to work for
","at this time there are none
Advice to Management
good job
Helpfu","good job
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Senior Director,"Seattle, WA",Former Employee ,Great company,0,"Opportunities for roles in multiple areas
","Challenging navigating the system towards promotion.
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Engineer,,Current Employee ,"Good company, bad management",0,"Working on airplanes is awesome
","Bad management gets in the way of innovation
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Procurement Agent Level II,"Fairfax, VA",Current Employee ,Standard Enterprise,0,"A lot of opportunities within the company, good benefits
","The typical bureaucracy issues you'd find in any large company
Helpfu",,4.0,2.0,4.0,3.0,5.0,4.0,Recommends,Negative Outlook,Approves of CEO
Tue Feb 02 2021, Methods Process Analyst,"Renton, WA",Former Employee ,"Good pay, good people",0,"Pay and benefits. The coworkers were great.
","On the computer working with Excel and other computer programs just about all day every day.
Helpfu",,4.0,4.0,4.0,5.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Aseembly Installer,"Mount Vernon, WA",Former Employee ,good company but laid off,0,"clear on what to do and easy at times
","let me go, not always organized
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Material and Process Engineer,"Seattle, WA",Current Employee ,Great Training,0,"Great training and access to industry experts
","Difficult to move upward when so much weight is put on years of experience
Helpfu",,4.0,5.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Program Manager,"Seattle, WA",Current Employee ,Great Company to work for,0,"Flexible hours, great benefits package, good work culture.
","No advancement opportunities. Pay is not comparable to other aerospace companies.
Advice to Management
Take career development seriously. Have better training programs in place.
Helpfu","Take career development seriously. Have better training programs in place.
Helpfu",4.0,4.0,3.0,4.0,2.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Senior Engineer,"Huntington Beach, CA",Current Employee ,better than average employer,0,"Good employer, good salary and benefits, interesting engineering projects to work on.
","possibility of layoffs, you need to find your own next assignment when the project ends
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Engineer,"Houston, TX",Current Employee ,Great Place to Work,0,"Exciting place to work as an engineer
","Can be stressful at times
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Software Engineer,,Former Employee ,yea,0,"good stuff, fun working there
","pay could be better but whatever
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Contracts Management Specialist III,"Oklahoma City, OK",Current Employee ,Boeing Contracts,0,"Love it, have loved every minute
","Dont hate it, not a dream job but its cool
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Customer Training Professional,"South Seattle, WA",Former Employee ,A great place to work,0,"Benefits, technology, co-workers, pay, future
","Management is hit and miss
Advice to Management
Learn, listen
Helpfu","Learn, listen
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 01 2021, Procurement Analyst Entry Level,"Oklahoma City, OK",Current Employee ,Procurement analyst,0,"Decent pay for entry level, company helps you grow and try different positions, growing diversity.
","No relocation assistance, onboarded during Covid so imagine being completely online and learning as you go.
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,,,
Mon Feb 01 2021, Aircraft Maintenance Technician,,Current Employee ,I have a great Tim working with my co workers,0,"Available OT, great medical benefits
","Management needs to train their employees properly
Helpfu",,4.0,2.0,2.0,3.0,4.0,4.0,,,
Mon Feb 01 2021, Contract Management Specialist,"El Segundo, CA",Current Employee ,"Good Job, lots of Bureaucracy",0,"Challenging work
Wide variety of job options
","Difficult to get promotions without switching jobs.
Lack of trust from senior mgmt
Helpfu",,4.0,4.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Software Engineer II,"Saint Louis, MO",Current Employee ,I like my job,0,"Very Interesting projects to work on 
Great manager and team
Good pay
","Some upper management decisions seem short sighted
Helpfu",,4.0,5.0,3.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 01 2021, Structural Analysis Engineer,"Philadelphia, PA",Current Employee ,Great Company with EXCELLENT Work Life Balance,0,"Work life balance is incredibly good. Managers whose task it is to fully support your endeavors. Mentors openly willing to share their knowledge.
","Only complaint is in Philadelphia they promote way too slowly. Cutting out raises for 2021 and reducing permanent work from home capacity is only going to speed up the brain drain at the company.
Advice to Management
ALLOW WORK FROM HOME PERMANENTLY PLEASE!
Helpfu","ALLOW WORK FROM HOME PERMANENTLY PLEASE!
Helpfu",4.0,5.0,5.0,5.0,5.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 30 2021, Mrb Liaison Engineer,"Seattle, WA",Current Employee ,Review nonconforming conditions,0,"Great work life balance and growth.
","Not the greatest management. Needs younger and new individuals
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Procurement,"Seattle, WA",Former Employee ,Solid Company,0,"Great opportunity for career advancement
","none that I can think of
Helpfu",,4.0,4.0,4.0,4.0,5.0,4.0,,,
Thu Jan 28 2021, Software Developer,"Charleston, SC",Current Employee ,Boeing Software Development,1,"Lots of areas to grow your career, big company
Benefits are solid, 401k match is very good
You are only expected to work 40 hours a week. Work-life balance is very good. If they need you to work more than that (hardly ever happened to me and was almost always on a volunteer basis), they'll pay you overtime.
","Boeing's a great engineering company, but they are not a software engineering company. As such, software is of secondary importance to them and IT still seems to mostly be seen as cost center to be minimized rather than an area for enabling the improvement of how we do business. Currently, Boeing is laying off a lot of people.
Advice to Management
Maybe don't spend all of your free cash flow on dividends and share buybacks so that you have a rainy day fund when things like 2020 happen.
Helpful (1","Maybe don't spend all of your free cash flow on dividends and share buybacks so that you have a rainy day fund when things like 2020 happen.
",4.0,5.0,3.0,4.0,5.0,5.0,Recommends,Negative Outlook,Disapproves of CEO
Sat Jan 30 2021, Maintenance Controller,"Saint Louis, MO",Current Employee ,Working for Boeing,0,"They take care of their employees. Which is great for growth.
","None to report as of yet.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Quality Assurance Inspector,"Renton, WA",Current Employee ,Good place to work and competitive pay,0,"Good pay and opportunities for overtime if desired.
","Lack of organization. People can be reassigned in very short notice.
Helpfu",,4.0,3.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 30 2021, Intern,,Former Employee ,Good Benefits/Very Hierarchial,0,"- Benefits
- Work/Life Balance
- Interesting Industry
","- Very hierarchical
- Intern projects tended to be ""busy work""
Helpfu",,4.0,5.0,2.0,2.0,5.0,4.0,Recommends,Negative Outlook,No opinion of CEO
Fri Jan 29 2021, Supplier Management,"Saint Louis, MO",Current Employee ,SPM role,0,"Easy work. Can get boring at times.
","Political environment with room to grow if you play the game. Always understaffed.
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Aircraft Mechanic,,Former Employee ,"Great Job, great benefits",0,"Great benefits, lots of overtime
","Difficulty with bureaucracy and paperwork
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Various Jobs,"Everett, WA",Former Employee ,Great Job,0,"Great Job and great people
","Long Hours with lots of overtime
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Senior Business Analyst,"Bellevue, WA",Current Employee ,A Positive Learning Environment,0,"Great colleagues, a wonderful place to learn new work/life/recreation skills and make new work friends for life.
","A remuneration system that is outdated in today's world.
Advice to Management
IT is not overhead -- perhaps it is time to re-visit and use ""paper"" instead of IT for a short while for people to appreciate Tech.
Helpfu","IT is not overhead -- perhaps it is time to re-visit and use ""paper"" instead of IT for a short while for people to appreciate Tech.
Helpfu",4.0,2.0,4.0,4.0,3.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Project Engineer,"Kansas City, MO",Former Employee ,Work for Boeing,0,"Good compensation and nice work place. Always interesting.
","Recently management problems regarding what is important to the customers and flying public.
Helpfu",,4.0,5.0,3.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Paralegal,,Former Employee ,Law department,0,"Great team culture - plenty of resources
","Lack of clear path to advancement
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Senior Director,,Current Employee ,Outstanding Company,0,"Potential is unlimited - Super exciting products and services
","COVID influences on the market
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Equipment Engineer,"Seattle, WA",Current Employee ,Boeing,0,"Work life balance is very good
","Boeing has a lot of red tape
Helpfu",,5.0,5.0,3.0,2.0,2.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Senior Accountant,,Current Employee ,Good place to work,0,"Benefits, salary, and flexibility throughout the month
","Current economic environment due to pandemic
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Systems Support Specialist,"Ridley Park, PA",Former Employee ,Salary,0,"-Benefits, Salary, Schedule Flexibility, Work Environment
-Salary
-Work Environment
-Flexibility
-Communication
-Frequent meetings
-Remote Work
","-Management changes too often
-Diverse culture makes it hard to understand some co-workers
-No training when you first start job
-Bad Management
-Favortism
Advice to Management
Stop changing management so often
Helpfu","Stop changing management so often
Helpfu",5.0,5.0,3.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
