date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Sales,"San Francisco, CA",Former Employee ,Great company,0,"Lots of opportunities for career growth, talented coworkers and senior management.
","Salary is lower than other companies with similar positions
Helpfu",,5.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Project Manager,"New Brunswick, NJ",Current Employee ,Good company,0,"There’s a great Commitment to Diversity.
","It’s hard to be promoted internally unless you really network inside the company. Not much stock equity
Advice to Management
Create cross functional tour of duties
Helpfu","Create cross functional tour of duties
Helpfu",4.0,4.0,4.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Engineering Coop,"Syracuse, NY",Former Employee ,Good work,0,"Nice challenges
Good Site Facility
Great people
","The pandemic had an effect on the overall experience
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Associate Engineer II,"Syracuse, NY",Former Employee ,company culture,0,"helpful colleagues
great manager
good work/life balance
projects were great and fulfilling upon completion
","silos between departments, but that was actively being fixed by the time I left
Helpfu",,5.0,5.0,4.0,2.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Account Executive,,Current Employee ,Great Place To Grow,0,"BMS is terrific career development hub, especially for those willing to relocate. In reality, even for those who don't have that flexibility, field-based opportunities are growing all the time!
","BMS is now the World's largest manufacturer in oncology products; with size comes challenges AND opportunities
Helpfu",,4.0,4.0,3.0,4.0,3.0,3.0,,,
Mon Feb 08 2021, Senior Territory Business Manager,"Guaynabo, PR",Former Employee ,"Great Company Culture, Not The Best Salaries",0,"Life work balance
Excellent culture
Growth opportunities
","Lower salaries than other pharmaceutical companies
Advice to Management
Increase Sales Rep Salaries
Helpfu","Increase Sales Rep Salaries
Helpfu",4.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Executive Assistant,"San Diego, CA",Former Employee ,Great company to work for!,0,"This was a great company to work for. The promoted the work life balance.
","No downsides that I was aware of.
Helpfu",,5.0,,,,,,Recommends,,Approves of CEO
Tue Feb 02 2021, Vice President,"Princeton, NJ",Former Employee ,BMS,1,"Great company to work for.
","Extraordinarily bureaucratic operations and processes
Helpful (1",,5.0,,,,,,,,
Sat Feb 06 2021, Manager,,Current Employee ,Good Policies,0,"Great Team and learning opps
","Could be more open to internal tranfers
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Production Supervisor ,"Summit, NJ",Current Employee ,Car-T cell production,0,"work life balance and community vibe
","stressful work environment with regulatory agencies
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Scientist,"New Brunswick, NJ",Current Employee ,Relatively good place,0,"good work and life balance
","not pay as much as other biotech companies
Helpfu",,4.0,,,,,,,,
Sat Jan 30 2021, Protocol Manager,"Lawrenceville, NJ",Former Employee ,Great Place to Work,0,"Resources, lots of experience to help with new tasks
","Unstable at times, occasional layoffs
Helpfu",,4.0,5.0,5.0,5.0,5.0,4.0,,,
