date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Dec 29 2020, Deskside Support Technician Level II,,Current Employee ,Deskside Support Technician,1,"Broadcom has good health care
","There is nothing bad I can think of
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Test and Product Engineer,"San Jose, CA",Former Employee ,Good,0,"Good work and good full compensation package
","Each business unit function as independent company
Helpfu",,4.0,3.0,3.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Scientist/Engineer,"Irvine, CA",Former Employee ,good company,0,"innovative company with passion for excellence
","make you work real hard
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Software Engineer,"San Jose, CA",Current Employee ,Great Company,0,"Great company to work for
","Nothing major to discuss on
Advice to Management
NA
Helpfu","NA
Helpfu",5.0,3.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Software Engineer,,Current Employee ,"Decent, Stable Company",0,"Good people to work with, generous stock compensation
","Company is a bit traditional, limits working from home
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Principal Software Engineer,"Duluth, GA",Current Employee ,Good company to stay relax,0,"Good pay, and good work and life balance
","No clear about career development and promotion
Helpfu",,4.0,4.0,2.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Manager,"San Francisco, CA",Current Employee ,Lean operation focused on execution,0,"Smartest Engineers around, lower bureaucracy
","Lean with low level of perks
Helpfu",,4.0,1.0,4.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, R&amp;D Software Engineer,,Current Employee ,BRCM,0,"RSU , TC, WLB, great, Bonus
","work, product, no, innovation, no direction
Helpfu",,4.0,5.0,3.0,3.0,3.0,5.0,,,
Wed Feb 03 2021, Hardware Engineer,"San Jose, CA",Current Employee ,"good pay, tight resourcing",0,"good pay, interesting projects, CEO runs a tight ship
","resourcing is tight, almost no sponsoring of H1B or relocation
Helpfu",,4.0,4.0,3.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Machine Operator,"Fort Collins, CO",Current Employee ,Nice place to work,0,"Good life balance. Great benefits, there are opportunities to move up in the company. Pay is good
","Area is expensive. There is a lot of uncertainty in this business
Helpfu",,4.0,5.0,2.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Principal Consultant,"Duluth, GA",Current Employee ,Great Company,0,,"ltant in Duluth, GA
I have been working at Broadcom full-time
Pros
Good Bonus !.. Good products
Cons
Nothing to Complain about good pay
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Client Services Manager,"Washington, DC",Current Employee ,"Great benefits, hard work, pivots quickly",0,"Great pay
Good Benefits
Quick decisions making at the top
Top notch CEO
","Very margin focused and will RIF with little to no notice.
IT tells the business what they can and can't do, instead of the other way round.
Advice to Management
Invest in real IT leadership, so that IT can become a competitive advantage rather than a dissadvantage.
Helpfu","Invest in real IT leadership, so that IT can become a competitive advantage rather than a dissadvantage.
Helpfu",4.0,4.0,3.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, ASIC Design Engineer,"Irvine, CA",Former Employee ,Good,0,"Overall a good place to work
","New Senior management doesn't put enough attention in R&D
Helpfu",,4.0,4.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Software QA Engineer,"Salt Lake City, UT",Current Employee ,Great place to work,0,"Outstanding compensation. Top notch talent.
","Onerous processes. Doesn't hire candidates without a college degree.
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Software Engineer,"San Jose, CA",Current Employee ,Nice place,0,"Good pay and challenging jobs
","Not good cafeteria. Does not have intern
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Design Engineer,,Former Employee ,Good Engineers and Busy Work,0,"Engineers are skilled and knowledgeable.
","Work overtime is quite common.
Helpfu",,3.0,2.0,2.0,2.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Jan 21 2021, RD Engineer,"Allentown, PA",Former Employee ,Nice working enviroment,0,"Good stock RSU and nice working and life balance
","Working on limited area and hard to involve more responsibility
Helpfu",,4.0,5.0,3.0,2.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 17 2021, Pharmacy Technician,"Fort Collins, CO",Former Employee ,Good place,0,"Pay,time off, 401k, locations, and hours
","None that i can think of
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Jan 18 2021, PTA,,Current Employee ,no good,0,"good coworker to work with
","no much money for this job
Helpfu",,4.0,,,,,,,,
Mon Jan 18 2021, Senior Client Services Consultant,"Plano, TX",Current Employee ,Not a bad company to work for,0,,"ltant in Plano, TX
Recommends
Positive Outlook
Approves of CEO
I have been working at Broadcom full-time for less than a year
Pros
Work from home. Plenty of time off if needed. Great people and so far great management.
Cons
Not everyone gets to work from. When having people go back to the office during COVID-19 in 2020 they pretty much said that if you could not go to the office you were out the door. We had a lot of really good people leave because of this.
Advice to Management
Greg Lotko telling a story about how he had to really think about the job he was at one time and if it was worth staying for and comparing it to COVID-19 situation and going to the office was really unbelievable. This showed the huge lack of any understanding of anyone's situation but his own. Saying if you have to go into the office and did not want to during COVID-19 see the door was just silly. Even more silly since the work we do is easily done remote. Sure, he would say we can talk about it more offline, but when the folks did, they moved on to other companies, so really it did mean see ya. He seems to show a lack of caring for those under him. Has said a number of times that if you don't like it, leave the company. I have been here less than a year and I have heard him say this a few times in different ways. Not the most comforting thing to hear so often from upper management.

Hock Tran tries to explain why we are doing something and tries to keep things light if possible. He presents things with care and thought, which is nice to see and hear.

My direct manager and his manager are great. Information is provided to us as soon as they get it and always present anything that may seem bad in as good a light as possible.
Helpfu","Greg Lotko telling a story about how he had to really think about the job he was at one time and if it was worth staying for and comparing it to COVID-19 situation and going to the office was really unbelievable. This showed the huge lack of any understanding of anyone's situation but his own. Saying if you have to go into the office and did not want to during COVID-19 see the door was just silly. Even more silly since the work we do is easily done remote. Sure, he would say we can talk about it more offline, but when the folks did, they moved on to other companies, so really it did mean see ya. He seems to show a lack of caring for those under him. Has said a number of times that if you don't like it, leave the company. I have been here less than a year and I have heard him say this a few times in different ways. Not the most comforting thing to hear so often from upper management.

Hock Tran tries to explain why we are doing something and tries to keep things light if possible. He presents things with care and thought, which is nice to see and hear.

My direct manager and his manager are great. Information is provided to us as soon as they get it and always present anything that may seem bad in as good a light as possible.
Helpfu",4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 15 2021, Marketing,"San Jose, CA",Current Employee ,Good Comp & People!,0,"RSU grants are annual and very good
Transparent culture
","Demanding workload
Solid benefits but not the best
Helpfu",,4.0,2.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 16 2021, Senior Manager,"Santa Clara, CA",Former Employee ,Good place to work,0,"Very good in terms of gaining breadth of technical experience
","Sharing between the groups is not great
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,No opinion of CEO
Fri Jan 15 2021, Web Developer,"Denver, CO",Current Employee ,Great job,0,"Steady with good benefits yay
","None none none none none
Helpfu",,5.0,,,,,,,,
Thu Jan 14 2021, Principal Software Engineer,"San Jose, CA",Current Employee ,Good company to settle for retirement,0,"Work Life balance is good.
","Not spending on any research and company is trying to be more lean. Thus not much career progress.
Helpfu",,4.0,5.0,3.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Software Test Engineer,"Denver, CO",Current Employee ,"Good pay, average to boring job",0,"Best pay and bonuses I've ever had.
","Very fossilized, slow moving product development.
Helpfu",,4.0,4.0,2.0,2.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
