date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 01 2021, Marketing Manager,"Greenville, SC",Current Employee ,Great Place to Work Long-Term,0,"CBRE rewards hard work and creative thinking.
","CBRE is always growing and changing so it can be tough fully mastering something before it's onto the next-best strategy.
Advice to Management
Management has been wonderful. Transparent, direct and also empowering.
Helpfu","Management has been wonderful. Transparent, direct and also empowering.
Helpfu",5.0,3.0,5.0,3.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Contract Manager,"Indianapolis, IN",Current Employee ,"Great company, bright coworkers, and good benefits!",0,"Management is open for discussion, teammates work hard, good compensation & benefits.
","None that I can think of.
Advice to Management
Keep taking great care of your employees-it shows!
Helpfu","Keep taking great care of your employees-it shows!
Helpfu",5.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Land Analyst,"Atlanta, GA",Former Employee ,Good place to work,0,"Great resources and great people
","It is a little bigger than some would like
Helpfu",,5.0,,,,,,,,
Wed Feb 10 2021, Lease Administration Analyst,"Memphis, TN",Current Employee ,CBRE,0,"Benefits, 401k, Experience, remote work
","Remote work from home, covid
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Associate,"Seattle, WA",Current Employee ,Great place to work,0,"Flexible hours and career advansement opportunities
","variable income and admin support is limited
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Workplace Experience Coordinator,,Former Employee ,Great Place to Work,0,"M-F, PTO, great benefits packages
","None that I can think of.
Advice to Management
Keep doing what you’re doing!
Helpfu","Keep doing what you’re doing!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Director,,Current Employee ,Great company,0,"Provides clear paths to leadership and supports employee growth
","Large organization at the regional level takes work to keep track of changes
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021,Anonymous,,Current Employee ,good place to work,0,"Flexible time frame.
Good benefit.
Friendly staffs.
Work From Home
","I am happy with what I am working with.
Helpfu",,5.0,5.0,4.0,5.0,5.0,4.0,Recommends,,
Wed Feb 10 2021, Workplace Experience Coordinator,"Atlanta, GA",Current Employee ,Cool place to worl,0,"Family environment throughout the company
","Learn as you go for the most part
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Associate,,Current Employee ,Dynamic working environment,0,"Great exposure to the CRE industry. Hardworking team oriented environment.
","Challenging work/life balance at times.
Helpfu",,4.0,3.0,4.0,1.0,5.0,5.0,,,
Tue Feb 09 2021, Business Intelligence Manager,"Columbus, OH",Current Employee ,Solid company,0,"Competitive salary, plenty of paid time off
","No stock purchase plan, uptight culture
Helpfu",,4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
