date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 16 2021, Sales Operations Supervisor,"Chicago, IL",Current Employee ,Great culture to work for,0,"Great culture, Fortune 500 company, growing, etc.
","Salaries aren't as competitive; some leadership are still stuck in old ways of doing things.
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,4.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Field Account Executive,"New York, NY",Former Employee ,Great company to work for and gain exposure to the industry,0,"You'll learn a lot and be able to network within the industry. You'll have a lot of resources behind you to support you. They'll give you first time opportunities that would hard to gain elsewhere.
","They won't pay you as much for similar positions in the industry unless you're coming from an external company.
Helpfu",,4.0,5.0,5.0,3.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Representative,,Current Employee ,A lot of Outbound Cold Callings,0,"Big corporate company that has a lot to offer
","Making your own book of business
Helpfu",,4.0,2.0,4.0,4.0,4.0,3.0,,,
Sun Feb 07 2021, Software Specialist,,Current Employee ,Great Opportunity,0,"Many opportunities to learn and grow, supportive coworkers, understanding management
","Hours can be long and work/life balance can be affected
Helpfu",,5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Account Manager,"Chicago, IL",Current Employee ,Good place to start,0,"Opportunity to do really well if you work hard. Good mix of management that encourages growth.
","Long training process and everyone starts in sales at the bottom.
Helpfu",,4.0,2.0,3.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Sales Representative,"Chicago, IL",Former Employee ,Great Opportunity,0,"Pros:
The people
Training (especially if you’re a new grad in need of training)
Good culture and CEO
Learning and growth opportunities
","Low base to start. Compensation is a little weak
Helpfu",,4.0,5.0,5.0,5.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Account Manager,"Chicago, IL",Current Employee ,Good opportunity,0,"Reap what you sow here
","No cons that come to mind
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Project Manager,,Current Employee ,Great Company - Pay Needs Improvement,0,"Culture, work life balance, benefits
","Salary needs improvement. You lose too many good people trying to be cheap with salaries.
Advice to Management
The salary needs to be adjusted. Too many people have to quit and return to make what they should be making. So many people are hired in at less than the minimum pay for that job if they’re internal because CDW insists on only providing 10% increase for promotions. CDW definitely doesn’t pay what it should to their coworkers.
Helpfu","The salary needs to be adjusted. Too many people have to quit and return to make what they should be making. So many people are hired in at less than the minimum pay for that job if they’re internal because CDW insists on only providing 10% increase for promotions. CDW definitely doesn’t pay what it should to their coworkers.
Helpfu",4.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Account Manager,,Former Employee ,Great Company!,0,"Culture, leadership, perks, training, opportunity
","ability to get new accounts
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Account Manager,,Current Employee ,Great Company and Environment,0,"Enjoyable and supportive coworkers, management, and environment
","None that stand out as negative
",,4.0,,,,,,,,
Tue Feb 02 2021, Account Manager,,Current Employee ,Great place to work,0,"Great opportunity for growth in current role and future opportunities
","No complaints about the company or role
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Account Representative,"Chicago, IL",Current Employee ,Best job i've ever had.,0,"Great culture, tons of incentives, #1 in it's field, huge growth potential
","COVID has made it more difficult but that's universal.
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Account Manager,"Chicago, IL",Former Employee ,N/A,0,"Great place to start off your career in technology sales
","Very large company, so organizational change is slow and upward movement can be tough at times.
Helpfu",,4.0,3.0,3.0,2.0,3.0,2.0,,,
Mon Feb 01 2021, Senior Database Administrator,"Chicago, IL",Current Employee ,Great company to work for,0,"They value work-life balance of employees. The flexibility to work from home is the best. The management is open and is very receptive of ideas and criticism.
","Health benefits could be better.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Approves of CEO,,
Mon Feb 01 2021, Account Representative,"Chicago, IL",Current Employee ,Account Representative,0,"Good training program for new account reps
","they have a low starting salary
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Account Representative,"Cherry Hill, NJ",Current Employee ,Good starter career for inside sales,0,"Training, culture, career growth, company outings
","Difficult to progress at first
Advice to Management
N/a
Helpfu","N/a
Helpfu",4.0,5.0,5.0,3.0,5.0,3.0,,,
Thu Jan 28 2021, Accounts Receivable Specialist,,Current Employee ,CDW ROCKS,0,"Great Support by Managers, Great Working environment, Friendly atmosphere.
","Low starting pay, and Low Raises. been there 4 yrs and just making $20 an hr.
Advice to Management
Take more Care with treating each person fairly and show less favoritism.
Helpfu","Take more Care with treating each person fairly and show less favoritism.
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021,Anonymous,,Current Employee ,Great company - coworker centric,0,"Coworker centric culture is above any other in the industry.
","None come to mind. Great experience here.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
