date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Nov 07 2020, Pharmacy Technician,"Morton Grove, IL",Current Employee ,Pharmacy Technician,0,"Great learning experience for people who people are trying to get into the medical field.
","A very fasted paced environment
Advice to Management
none
Helpfu","none
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Dec 13 2014,N/A,"Orlando, FL","Store Manager in Orlando, FL",15 year manager,917,"I learned a lot working there as far as how to run a business as well as how to develop a team. I had one of the most successful teams in the company ranking as the top store year over year in two separate markets, one in the Northeast one in the Southeast. I was a paragon winner with the company as well. My most recent DM was very supportive. I genuinely thank them for the opportunity and the knowledge that I acquired while working with them.
","Work hours were excessive. To be successful hours worked were borderline slavery. While I willingly worked them to be successful, the week you didn't you were immediately behind. Vacations were almost non existent due to constant visitors from corporate stopping in to do reviews. Holiday weeks were paid 4 days regular 1 holiday and you worked all 5. The facade of the stores looking great when these people stop by versus the reality of the business is polarizing. There were always teams of people and excessive expenditures of payroll thrown into stores prior to their visits. While I understood the need to make an appearance, it was always will always be a backwards way off thinking. Company preaches quality of life for their clients while quality of life for their employees is non-existent. As a ""manager"" in your average store you will be ""managing"" a total of one person during your shift, with a total of 10 people at location. Location open hours will exceed total payroll hours ie Sun-Sat 7am-10pm = 15hrs per day x 7 days x 2 people = 210 hrs which excludes the need to have a person unload deliveries that come in during non opened hours. Your budgeted hours will be approximately 208 hrs. I will only mention that during the month of December that there are extended hours for the stores but no budgeted hours to accommodate. Stores are held to strict shrink targets with little to no control over external theft. Remember 2 people at location, if four people enter to steal there is nothing you can do to stop them. These are facts not personal prejudices.
Advice to Management
Revisit business structure. Employ cost cutting at a higher level, not at a store level otherwise you will compromise the business. If DMs are losing company vehicles so should RMs. Loss Prevention should be completely eliminated due to the fact they are ineffective and non-impactful; they are a voice with no power. I challenge corporate figures to walk into stores unannounced to anyone to really see what happens in the average minimum hours location. I make this challenge knowing that they will not as this is of no interest to them. At corporate level within the company they have never managed a location so they have no understanding. I do not fault them they are well educated and were placed into their positions.
Helpful (917","Revisit business structure. Employ cost cutting at a higher level, not at a store level otherwise you will compromise the business. If DMs are losing company vehicles so should RMs. Loss Prevention should be completely eliminated due to the fact they are ineffective and non-impactful; they are a voice with no power. I challenge corporate figures to walk into stores unannounced to anyone to really see what happens in the average minimum hours location. I make this challenge knowing that they will not as this is of no interest to them. At corporate level within the company they have never managed a location so they have no understanding. I do not fault them they are well educated and were placed into their positions.
",5.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Feb 05 2021, Talent Acquisition Partner,,Current Employee ,Great people - great organization,1,"Innovative, flexible, challenging work environment. Leaders are supportive of development. Great culture. I feel proud to work for a company that is focused on health and innovation, and cares about its colleagues and customers/patients.
","Work load can be a lot and can be challenging, but overall very rewarding work.
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Pharmacist,"Mission Viejo, CA",Current Employee ,Ever Expanding,1,"Good benefits, good hours, great compensation
","Personally, none. To some, could be stressful
Helpful (1",,5.0,,,,,,,,
Sun Feb 07 2021, Pharmacy Technician,,Former Employee ,"Great job, great benefits",0,"401k, employee discounts, connections, longevity, consistency
","Strange hours, pressure, boring, training overload
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Sales Associate,,Current Employee ,Life of CVS Health,1,"Definitely can develop and progress within the company.
","Pay rate can be higher.
Helpful (1",,5.0,5.0,4.0,5.0,5.0,4.0,Recommends,,
Fri Feb 05 2021, Operations Manager,"Albany, NY",Current Employee ,salary,0,"good people to work with
","no benefits and poor resources
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Pharmacy Intern,,Former Employee ,You learn a lot,0,"You learn a lot about being a retail pharmacist, it's fast paced
","Sometimes can be understaffed and feels overwhelming
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Account Executive,,Current Employee ,Undercompensated,2,"Meaningful work, feel like I am making a difference
","Underpaid significantly compared to other competitors in the industry. Sales comp is not great.
Helpful (2",,3.0,3.0,5.0,5.0,4.0,2.0,,,
Mon Feb 01 2021, Pharm Tech,,Current Employee ,Cpht,1,"Great team vibes, team spirit always high
","Too busy and not enough coverage
Helpful (1",,5.0,,,,,,,,
Fri Feb 05 2021, Senior Adviser ,,Current Employee ,Great Company doing great things for society.,0,"Stable Company, Progressive Management, good people to work with.
","Still have some holdover ideas from the past that don’t work today.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,,
Fri Feb 05 2021, Pharmacy Manager,"New York, NY",Current Employee ,Good company to work for,0,"Great team and great boss
","Can get super busy during flu season
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Advisor,"Woonsocket, RI",Current Employee ,Cvs,0,"Very Good work life balance
","Not that much challenging work
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Pharmacy Technician,"Bronx, NY",Former Employee ,"Great opportunities , good salary and nice environment",0,"decent salary and nice environment
","not that i know any
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Senior Manager,"Phoenix, AZ",Former Employee ,Slow to change,2,"Average to Good pay. Slowly adopting newer technologies.
","Ridden with legacy technologies. Too many teams stepping over each other. No clear ownership of a lot of core functional processes. Average to Mediocre benefits.
Helpful (2",,3.0,3.0,4.0,4.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,
Tue Feb 02 2021, Pharmacy Technician,,Current Employee ,decent company marred by poor management,2,"close to home, easy to advance if you ask the right questions
","not adequately staffed
managers will harass employees to come in to work even if they are sick or experiencing things like a death in the family, during covid they are still asking if the fever you have is 'bad' or if you can manage to deal with it
Helpful (2",,3.0,,,,,,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Feb 05 2021, Pharmacy Technician,,Former Employee ,Good,0,"Decent pay for part time job
","Understaffed constantly and corporate was overbearing
Helpfu",,3.0,,,,,,,,
Fri Feb 05 2021, Shift Supervisor,,Former Employee ,"Not bad for retail, wouldn't make it a career though.",0,"The big holidays are OT, whether you're part time or full time. They offer vision, dental, and some other benefits to part time, but healthcare is full time only. I started out full time and my single plan was okay, not sure what has changed since they switched to Aetna the year I went part time.
","Corporate sucks. They are so out of touch with the teams in the stores it's ridiculous. We were on track to exceed our Carepass sign up goals for 2020, we were so proud, and then they changed our goal (in August) and made it higher than we could reach. Sure, give us a higher goal the next year, but give us a chance to celebrate our success first. Also they make billions every year but won't update a register system that breaks down at least 4 times a week.
Advice to Management
Everyone in my store was fantastic. It's the district manager that's out of touch with reality. Stop playing favorites and listen to the other managers with more experience. They can teach you a lot, if you just stop playing whatever game you're playing.
Helpfu","Everyone in my store was fantastic. It's the district manager that's out of touch with reality. Stop playing favorites and listen to the other managers with more experience. They can teach you a lot, if you just stop playing whatever game you're playing.
Helpfu",3.0,5.0,4.0,5.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Pharmacy Technician,"Wyomissing, PA",Former Employee ,great entry level position,0,"great entry level position for those interested in healthcare
","not compensated well enough for job responsibilities
Advice to Management
delegate workstations fairly
Helpfu","delegate workstations fairly
Helpfu",3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Pharmacy Technician,,Former Employee ,Good,0,"Decent pay for part time job
","Understaffed constantly and corporate was overbearing
Helpfu",,3.0,,,,,,,,
Fri Feb 05 2021, Shift Supervisor,,Former Employee ,"Not bad for retail, wouldn't make it a career though.",0,"The big holidays are OT, whether you're part time or full time. They offer vision, dental, and some other benefits to part time, but healthcare is full time only. I started out full time and my single plan was okay, not sure what has changed since they switched to Aetna the year I went part time.
","Corporate sucks. They are so out of touch with the teams in the stores it's ridiculous. We were on track to exceed our Carepass sign up goals for 2020, we were so proud, and then they changed our goal (in August) and made it higher than we could reach. Sure, give us a higher goal the next year, but give us a chance to celebrate our success first. Also they make billions every year but won't update a register system that breaks down at least 4 times a week.
Advice to Management
Everyone in my store was fantastic. It's the district manager that's out of touch with reality. Stop playing favorites and listen to the other managers with more experience. They can teach you a lot, if you just stop playing whatever game you're playing.
Helpfu","Everyone in my store was fantastic. It's the district manager that's out of touch with reality. Stop playing favorites and listen to the other managers with more experience. They can teach you a lot, if you just stop playing whatever game you're playing.
Helpfu",3.0,5.0,4.0,5.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Pharmacy Technician,"Wyomissing, PA",Former Employee ,great entry level position,0,"great entry level position for those interested in healthcare
","not compensated well enough for job responsibilities
Advice to Management
delegate workstations fairly
Helpfu","delegate workstations fairly
Helpfu",3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
