date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021,Anonymous,,Current Employee ,Great Culture,0,"- Positive mission to ""Change Banking For Good""
- Talented and smart colleagues
","- Performance Management process could be reworked
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Director,,Former Employee ,Great company,0,"Forward looking company focused on recruiting strong talent
","Changes in direction doesn't always allow current employees to transition successfully
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Senior Business Analyst,"McLean, VA",Current Employee ,Yes.,0,"Great culture at Capital One
","Sometimes a little bit slow
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Teller,"New York, NY",Current Employee ,Great,0,"Great job opportunity for me
","None, good experience over all
Advice to Management
Keep it up
Helpfu","Keep it up
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service Representative,,Current Employee ,Great Company to work for,0,"Capital One treats their employees fairly, amazing benefits and tons of PTO. Encourages growth within the company. I also love the culture, they try to make it very family-like and tight knit
","I do not have any cons at this time.
Advice to Management
Keep it up!
Helpfu","Keep it up!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Senior Project Manager,"McLean, VA",Current Employee ,Great company,0,"Great company to work in.
","A lot of bureaucracy given that it’s a financial institution.
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Learning Manager,"Richmond, VA",Current Employee ,Great growth and development,0,"Best growth and development and lots of tech investment
","Performance management system is biggest issue
Helpfu",,5.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021,Anonymous,,Former Employee ,A fine place to work,0,"Overall a decent place to work. People are generally nice and the tech is forward looking. Company is trying to emulate a tech first environment and culture which really helps mask the fin-tech foundations. Product teams handle a lot of the boring paper work and meetings so engineers can do more tech. I found that the people here really able to express themselves at work, which is great!
","Quality and quantity of work may be team dependent. Product has much more power over direction of projects than engineers. Pay is around average, maybe a little above average, but many other “cooler” tech companies pay more so the good engineers often get poached away.
Helpfu",,5.0,4.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Investigator,,Current Employee ,Awesome,0,"Really great place to work
","Pay is not really competitive
Helpfu",,5.0,5.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Associate,"McLean, VA",Current Employee ,Great Organization - Stays true to its values,0,"Capital One is a fantastic company to work for. They provide support to associates to work creatively and autonomously, with the freedom to bring new ideas to the conversation and work in a space that you are passionate about.
","None that I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Customer Service Supervisor,,Former Employee ,Best place to work,1,"They take care of their employees
","Location is no longer in my area
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Repo Associate,"Tulsa, OK",Former Employee ,Great place to work.,0,"Pay, benefits, good people that work there.
","Work at home, leadership doesnt really care about people.
Helpfu",,5.0,1.0,2.0,5.0,3.0,4.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Business Analyst,"New York, NY",Current Employee ,Salary,0,"Great work life culture is very good.
","the day to day can get slightly boring
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Associate Software Engineer,"Plano, TX",Former Employee ,Excellent Culture,0,"Great work life balance, great culture, management was solid. Overall a great place to work, only downside is pay might be low for elite talent.
","Nothing really, company is great
Advice to Management
Nothing, keep it up.
Helpfu","Nothing, keep it up.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
