date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Analyst,,Current Employee ,A Fantastic Place to Work,0,"Great teamwork. Everyone really cares about one another and works together well.
","I do not have any cons.
Helpfu",,5.0,5.0,5.0,,,,,,
Wed Feb 10 2021, Reconditioning Associate II,"Woodbridge, VA",Current Employee ,Great First Job,0,"Excellent FT benefits, flexible schedule if/when necessary, job necessities vary on the day. Opportunities to move up within the company are plentiful but usually require relocation. A great first job, as well as a great place to make a career.
","Slow to fill vacancies, leaving current staff overworked. Other departments look down on the team, demanding work be completed that is within quality standards and often out of our scope of work.
Advice to Management
Hire vacancies quickly to avoid understaffing.
Helpfu","Hire vacancies quickly to avoid understaffing.
Helpfu",4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Sales Associate,"Bristol, TN",Current Employee ,Sallary,0,"Great pay and general work environment
","Training is trial by fire which is difficult
Helpfu",,5.0,,,,,,,,
Wed Feb 10 2021, Sales,,Former Employee ,Fun and fast environment,0,"Great, supportive people. Positive energy.
","Work can be tiresome, fluctuating workload.
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Sales Manager,"Cincinnati, OH",Former Employee ,Good company,0,"Work/life balance 
Insurance is good
","Monthly bonus could be more- it’s a moving target
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Sales Consultant,"New Orleans, LA",Former Employee ,Good company to work at,0,,"ltant in New Orleans, LA
Recommends
Positive Outlook
Approves of CEO
I worked at CarMax full-time for more than a year
Pros
Great sales training , good environment, good company.
Cons
Low commissions,but lots of opportunities to make a lot money.
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Consultant,"Richmond, VA",Current Employee ,Employment,0,,"ltant in Richmond, VA
Recommends
Positive Outlook
Approves of CEO
I have been working at CarMax full-time for more than 10 years
Pros
Great work life balance and time away
Cons
Salary ranges and job title descriptions are not available
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Customer Specialist,,Current Employee ,Customer specialist,0,"Flexible, day goes by fast and occasionally free lunches
","Pay, no weekends off really, long days
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Sals Associate,"Raleigh, NC",Current Employee ,Good,0,"Good place to work temp
","None had good time there
Helpfu",,5.0,5.0,,,,,,,
Sun Feb 07 2021, Business Office Manager,"Denver, CO",Former Employee ,Business Office Manager,0,"CarMax has great integrity and advancement opportunities.
","Work life balance. Carmax will constantly add more to your task list and nearly never reduce your workload.
Advice to Management
Take care of your people.
Helpfu","Take care of your people.
Helpfu",4.0,2.0,5.0,4.0,3.0,3.0,Recommends,Positive Outlook,Disapproves of CEO
Sat Feb 06 2021, Management Assistant,"Atlanta, GA",Former Employee ,Great Company,0,"Easy onboarding and training process.
","Not much growth for the MA positon.
Helpfu",,5.0,2.0,4.0,4.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service Representative,,Current Employee ,Good job,0,"As long as you have a good manager working there is good and easy
","Do get paid enough for job description
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Warehouse Associate,"Richmond, VA",Current Employee ,Great place!,0,"Nice place and people at work
","Not much advancement for my position
Helpfu",,5.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Inventory Associate,"Houston, TX",Current Employee ,Easy Job but can get overwhelming,0,"easy job
decent pay
good benefits for full-time
great people
","incompetent people sometimes
can get busy
micromanagement
Helpfu",,4.0,3.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Remote CXC,"Atlanta, GA",Current Employee ,Be patient...Be Consistent...Show up to work..most importantly Be Pleasant,0,,"stent...Show up to work..most importantly Be Pleasant""
4.0
★★★★★
Current Employee - Remote CXC in Atlanta, GA
Recommends
Neutral Outlook
Approves of CEO
I have been working at CarMax full-time for more than a year
Pros
401k, bonuses, contests, prizes, giveaways, they feed you lol, friendly,
Cons
Unsure exactly how bonuses are calculated, mgrs are currently under reconstruction, micromanaging, unrealistic average handle times
Advice to Management
Maybe make average handle times a bit more longer, micromanaging is unnecessary,
Helpfu","Maybe make average handle times a bit more longer, micromanaging is unnecessary,
Helpfu",4.0,4.0,5.0,5.0,3.0,5.0,Recommends,Neutral Outlook,Approves of CEO
