date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 12 2021, Retail Pharmacist,"Atlanta, GA",Current Employee ,Great company,0,"I always get to work with a technician, so that I am never alone in the pharmacy.
","I have nothing negative to say about working for Cardinal Health.
Helpfu",,5.0,,,,,,Recommends,,
Thu Feb 04 2021, Network Engineer,"Dublin, OH",Current Employee ,Great Company to work for,0,"Large Company, Lots of business opportunity, Lots of employment growth opportunity
","Business not growing as much as you'd like sometimes. Still very strong company.
Advice to Management
Keep attacking cutting edge investment opportunities in the medical and pharmaceutical field.
Helpfu","Keep attacking cutting edge investment opportunities in the medical and pharmaceutical field.
Helpfu",5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Lead Merchandising Coordinator,"Portland, OR",Former Employee ,Great company,0,"loved the people and the company
","have to meet sales goals
Advice to Management
keep up the good work
Helpfu","keep up the good work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Specialist,,Former Employee ,Senior Specialist,0,"Absolutely loved the people on my team and everyone was always willing to help each other with projects.
","Not a ton of cons, I really liked it.
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021," Director, Strategy","Columbus, OH",Current Employee ,Welcoming,0,"Everyone is really welcoming to new employees
","They have their own language and it is hard to learn the lingo
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Business Consultant,,Current Employee ,Great Place to work,0,,"ltant 
Recommends
Positive Outlook
Approves of CEO
I have been working at Cardinal Health full-time
Pros
Flexible work schedule. 
Great Benefits.
Leadership is easy to reach
Cons
Large size can cause too many steps before resolution of issues.
Advice to Management
Continue to be open minded and obtaining feedback from employees
Helpfu","Continue to be open minded and obtaining feedback from employees
Helpfu",5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Data Analyst,,Current Employee ,"Great company to work for, Great CEO!",0,"- Supported by leadership
- Mission-driven CEO
- Tons of resources at my disposal
- Valuable work experience
- Making a positive impact in the world
","- slightly underpaid for industry
- because it's a big company, certain things can be slow-moving
- at the will of large fiscal business decisions
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Specialist,"Hanover, MA",Former Employee ,Hello,0,"Good staff great morale friendly
","No pay incentives for extra hours
Helpfu",,4.0,,,,,,,,
Sun Jan 31 2021, Senior Associate,,Former Employee ,Good,0,"Good place to work, flexible work hours.
","Hard to move up and progress
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Sales Support ,"Twinsburg, OH",Current Employee ,Great work place,0,"The company has great benefits
","there are no cons for this company
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Staff Pharmacist,"Beaumont, TX",Current Employee ,Enjoy working for this company,0,"Very supportive group of people
","I have nothing bad to say
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Claim Analyst,"Twinsburg, OH",Current Employee ,Great place to work,0,"Compensation, PTO time, sick days
","upper management for certain departments are cliquey
Helpfu",,4.0,5.0,3.0,3.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Jan 27 2021, Traffic Manager,,Former Employee ,Great company and benefits,0,"Benefits, PTO, good work life balance
","Lower salary than other companies, retail pays better
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
