date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 19 2021, Section Manager,"East Peoria, IL",Current Employee ,Good place to work,0,"Wide range of career opportunities world wide
","Sometimes work life balance is hard to do at certain positions
Helpfu",,5.0,3.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, EHS Professional,"East Peoria, IL",Current Employee ,Great place to work,0,"Great atmosphere, promote innovation and creativity
","Long hours in some roles
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Legal,,Current Employee ,Good company to work for,0,"Provides work life balance, and learning/growth opportunities,
","relocation is needed since located in Peoria
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Senior Design Technologist,"Decatur, IL",Former Employee ,Good Place to Work,0,"A very good place to work. Overall, management is very supportive and there are many opportunities to grow and learn.
","Caterpillar sells to industries that are highly cyclical like mining and construction and that can impact job security.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, NPI Coordinator,,Current Employee ,Great place to work,0,"Excellent team dynamics with lots of opportunities
","Mining and construction can be cyclical
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Fri Feb 05 2021, Group Leader,,Former Employee ,Great Company,0,"Adequate Pay, good use of technology, organized,
","Long hours, often a ""good 'ol boy"" mentality, lack of caring from many employees.
Helpfu",,4.0,2.0,3.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021,Anonymous,"Chicago, IL",Former Employee ,Great place to work!,0,"Good management and good pay.
","Onboarding process could be improved
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Project Manager,"Aurora, IL",Current Employee ,Great Place,0,"Good Benefits all the time
","Hours all the time at
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Thu Feb 04 2021, Design Engineer,"Peoria, IL",Current Employee ,Awesome Company,0,"Awesome work culture. Very professional work environment
","Nothing. I love it. Benefits can be better
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Rental Coordinator,"Houston, TX",Current Employee ,Great,0,"Great benefits and healthy environment
","No working from home allowed
Helpfu",,4.0,5.0,4.0,3.0,5.0,5.0,Recommends,,
