date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 19 2021, Regulatory Operations Analyst III,"Saint Louis, MO",Current Employee ,Great Company,1,"Flexible with covid, Pay, Community, Purpose-driven
","Not flexible before covid, Small bonuses
Helpful (1",,5.0,,,,,,,,
Sun Feb 07 2021, Service Coordinator II,"Houston, TX",Current Employee ,Great job,0,"Good benefits 
Flexibility 
Good pay
","Constant changes
Micro management
No communication betweeb staff and upper leadership
Advice to Management
Continue to support staff
Helpfu","Continue to support staff
Helpfu",4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sun Feb 07 2021, Social Worker/Case Manager,"Santa Rosa, CA",Former Employee ,"Great job, laid off",0,"Team was fantastic. Hoped to retire there.
","Laid off due to non-renewal of contract.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Case Manager,"Indianapolis, IN",Current Employee ,Positive work place,1,"Great company...great values.. comparable pay. Really care about their members. Teams work together.
","Won't allow spouses to be on insurance.
Helpful (1",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Service Coordinator,"Detroit, MI",Current Employee ,Love it here!,0,"Great team leads and the support to achieve.
","I dont find anything I dislike.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Appeals Coordinator,"Pittsburgh, PA",Current Employee ,Great company,0,"I love the people and my job. Great experience
","No cons for this job
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Business Analyst,"Saint Louis, MO",Current Employee ,"Great Company, Must be a self-advocate",0,"Interconnectivity within departments; Great sense of job security
","Sometimes does not feel I am being fully utilized; It is hard to expect swift promotion when not being fully utilized.
Advice to Management
Identify goals and performance objectives more thoroughly
Helpfu","Identify goals and performance objectives more thoroughly
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Medical Records Clerk,"Chipley, FL",Former Employee ,Centene,0,"Work hours are very good
","In a prison is very stressful
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Program Manager III,"Austin, TX",Current Employee ,Great Company with Great Culture,1,"Great Work Culture with emphasis on diversity and inclusion.
","Very rapid changes which can often leave you wondering 'where am I going to land?'
Helpful (1",,5.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Customer Service Representative,,Former Employee ,Customer Service Rep,1,"Pay, training, team and flexibility
","advancement at the time of employment (new company to the area)
Helpful (1",,4.0,4.0,4.0,4.0,4.0,,Recommends,,
Fri Jan 29 2021, Team Lead,"Phoenix, AZ",Current Employee ,Better than most,1,"Pay, benefits. Some that care and want to do what is best for callers.
","Usual. Clueless upper management. Multiple HR investigations. Back stabbing and gossip.
Helpful (1",,4.0,3.0,3.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Senior Experience Designer,,Current Employee ,Great Culture,0,"A collaborative work environment is a top priority
","Have to meet sharp Deadlines
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Contract Negotiator,"Saint Louis, MO",Current Employee ,"Growing company, monster size",1,"Benefits, company growth, compensation, remote work
","Very siloed, matrix driven, lack of ability to try new ideas
Advice to Management
Be more flexible in approach to allowing new ways of approaching product develooement
Helpful (1","Be more flexible in approach to allowing new ways of approaching product develooement
",4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, DAII,,Current Employee ,Great Job,1,"Good teamwork to work for
","Slow growth, but very stable to work for
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
