date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 11 2021, Outside Sales Representative,"New York, NY",Former Employee ,Great opportunity to learn,0,"Great management with high expectations, but they helped you reach them. Great learning experience no matter what you want to do with your life. 

Commission is solid.

Requires weird hours and some Saturdays, but not a crazy amount of hours to make good money.
","If you aren't:
- Money motivated
- Eager to learn and grow
- A positive person
- Willing to work hard and be held accountable 

You will not do well in this job.
Helpful
Spectrum Response
January 28, 2021 – HR Specialist
Thank you for your review! We are pleased to know you learned a lot from your time at Spectrum",,5.0,5.0,4.0,5.0,2.0,5.0,Recommends,,
Tue Sep 17 2019, Human Resources Coordinator,,Current Employee ,Amazing Company,168,"Compensation, work life balance hours, benefits, fun environment that offers lots of learning and growth potential
","Strict on dress code and professional appearance
Helpful (168",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Senior Android Developer,,Current Employee ,Good Overall,0,"Work-life balance, fun projects, good culture.
","Big company with poor remote culture.
Helpfu",,5.0,5.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021,Anonymous,N/A,Former Employee ,Great benefits,0,"Good benefits and excellent sick leave
","High call volume and angry customers
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Training Facilitator,"San Antonio, TX",Current Employee ,Great Benefits,0,"The Benefits are the best specially for young people hungry to develop.
","Organization structural inside the company depends on the leadership
Advice to Management
Listen to your employees needs
Helpfu","Listen to your employees needs
Helpfu",4.0,3.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Senior Data Analyst,"Denver, CO",Current Employee ,Good pay and benefits,0,"They take care of their employees financially. At least in the corporate setting. There are opportunities to learn new skills and get certifications, which is nice.
","Typical stuff that goes with working for a large company: tons of red tape means that workflows can be log jammed at times, making the workload really inconsistent. I've spent weeks at the office until 7pm, followed by weeks with very little to do.
Advice to Management
Listen to some of the analysts when they have ideas on strategy.
Helpfu","Listen to some of the analysts when they have ideas on strategy.
Helpfu",5.0,5.0,3.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Customer Service Supervisor,,Current Employee ,Great place to work,0,"Great people, great pay, fun environment
","Haven’t found one yet in my time there
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Customer Service Representative,,Former Employee ,Call center representative,0,"Flexible, good pay, benefits, location
","Call center environment, customer after customer complaint
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Billing Representative,"Charlotte, NC",Former Employee ,Spectrum,0,"Really great company to work for.
","No cons really. Everyone was great
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,No opinion of CEO
Thu Feb 04 2021, Sales Associate,"Saint Louis, MO",Current Employee ,Cool,0,"cool, fast , easy, competitive, valuable staff
","nothing, it was a feast experience
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
