date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Dec 21 2020, Sales Associate/Cashier,"Lake Elsinore, CA",Former Employee ,Great Job,0,"Healthy work-life balance, meeting nice people, and good management.
","Not the highest paying company.
Advice to Management
More dayshift help.
Helpfu","More dayshift help.
Helpfu",5.0,4.0,3.0,3.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Feb 04 2021, Drilling Engineer,"Denver, CO",Former Employee ,Good Experience,0,"Pay and benefits were good
","Chaotic year with all the changes
Helpfu",,5.0,4.0,4.0,4.0,4.0,5.0,,,
Thu Feb 04 2021, Petroleum Engineering Advisor,"Houston, TX",Former Employee ,Chevron,0,"Competitive Salary
Global Company
Employee Benefits
Culture
Safety Program
","Cyclic Industry
Declining Oil Demand
Fossil Fuels
Helpfu",,4.0,3.0,4.0,3.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Product Manager,"Houston, TX",Current Employee ,Reorganizing but not fully thought out,0,"Benefits are solid
Vacation is generous even if you transfer in
401k and pension(for now)
Decent pay
Some good people
","Slowly dying and not looking to really make a stepwise change or diversify.
Some great people, but we kept a ton of bad apples.
The reorg was not well thought out in terms of how to execute
Too many consultants with a foothold without knowing our company. This lead to the adoption of a hybrid conglomerate of multiple operating models.
As an external hire who has spent a number of years here, I can say this place is as good as your manager and perhaps worse since the opportunities to switch roles seems to have dried up with the org changes.
Advice to Management
Get the consultants out. Weed out the bad seeds. Diversify. Just because we are a mature company in a mature industry doesn't mean we have to accept a slow death.
Helpfu","Get the consultants out. Weed out the bad seeds. Diversify. Just because we are a mature company in a mature industry doesn't mean we have to accept a slow death.
Helpfu",4.0,5.0,4.0,3.0,4.0,4.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Sun Jan 31 2021, Production Specialist,"Midland, TX",Current Employee ,Great Company,0,"Good benefits, Great company culture.
","Limited work locations. Limited career development for those without an engineering degree.
Advice to Management
Petro-tech already has plenty of room to progress; stop giving the limited positions available to Ops for career progression to those engineers that have potential in areas closed off to your employees without engineering degrees.
Helpfu","Petro-tech already has plenty of room to progress; stop giving the limited positions available to Ops for career progression to those engineers that have potential in areas closed off to your employees without engineering degrees.
Helpfu",5.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,
Sun Jan 31 2021, Senior Advisor,"San Ramon, CA",Current Employee ,"Interesting work, top caliber colleagues",0,"Great benefits, good compensation, interesting work,
","Age discrimination related to promotions, too much process
Advice to Management
Simplify
Helpfu","Simplify
Helpfu",4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 31 2021, Senior Counsel,"San Ramon, CA",Current Employee ,Great Company In Transition,0,"Very good work; reorganization creates opportunities
","Heavily Bureaucratic; live and die by oil prices
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Research Scientist,"Houston, TX",Current Employee ,Great Company,0,"Great company to work with, great culture.
","Nothing to say. Not discover problem yet.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 30 2021, Cashier,"Frisco, TX",Former Employee ,Fast Paced,0,"laid back job but quick paced at times
","male customers harass underage female workers and management does nothing about.
Helpfu",,4.0,4.0,2.0,5.0,4.0,2.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 29 2021, Drilling Engineer,"Bakersfield, CA",Current Employee ,Best Oil Major,0,"People over profits, competitive pay, great benefits.
","Frequent layoff, commodity based business, regulatory environment
Advice to Management
Keep it up!!
Helpfu","Keep it up!!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
