date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Nov 06 2020, Engagement Consultant,,Current Employee ,Great Company,0,,"ltant 
Recommends
Positive Outlook
I have been working at Cigna full-time for more than 3 years
Pros
Benefits, Schedule Flexibility, Virtual Jobs available, Support Career Growth
Cons
I don't have any Cons
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Client Account Specialist,,Current Employee ,Good company,0,"Flexible scheduling, decent salary, ability to work from home
","Interdepartmental communication is lacking which causes confusion for everyone
Helpfu",,4.0,3.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Customer Service Representative,,Former Employee ,Good company,0,"Pay and the hours and the people
","Some management and professionalism, favoritism is a big one and making your numbers every month
Helpfu",,5.0,5.0,5.0,5.0,3.0,3.0,,,
Thu Feb 04 2021, Senior Clinical Account Executive,,Current Employee ,"Amazing company, very innovative",0,"pro-growth mindset, innovative, values their employees beyond words
","Love everything about the company
Helpfu",,5.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Technology Senior Analyst,"Hartford, CT",Current Employee ,Great Company,0,"Flexible, great people, dress how you want to work when in the office.
","Raises could be higher, a long with profit sharing.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Chief Counsel,"Philadelphia, PA",Current Employee ,Solid place to work,0,"Collegial, consensus driven, dynamic leadership
","Below industry standard pay and benefits
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Product Manager,,Current Employee ,Pm review,0,"Big company allows many opportunities
","Manage up culture vs merit based
Advice to Management
Keep middle management accountable for doing a good job
Helpfu","Keep middle management accountable for doing a good job
Helpfu",4.0,3.0,4.0,4.0,4.0,2.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Automation Engineer,"Philadelphia, PA",Current Employee ,Na,0,"Nothing to report none none
","None none none none none
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Customer Service Representative,"Saint Louis, MO",Current Employee ,Great place to work,0,"managers are very flexible and work with you
","Work hours can be long at times
Advice to Management
n/a
Helpfu","n/a
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Summer Intenrship Program,,Current Employee ,NA,0,"Good work environment, nice people
","no negative, good people have fun
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, LVN Case Manager,"Houston, TX",Current Employee ,Lvn,0,"Flexibility, no micro managing, good pay. Professional, team work.
","Disorganized, no communication, time. Positions
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Engagement Consultant,,Current Employee ,"Great company, challenging org to grow",0,,"ltant 
Recommends
I have been working at Cigna full-time for more than 5 years
Pros
Benefits, time away, flexibility, work life balance
Cons
If interested in growing, tough to accomplish
Advice to Management
Work more closely with high performers to develop career trajectory path
Helpfu","Work more closely with high performers to develop career trajectory path
Helpfu",4.0,5.0,2.0,5.0,2.0,5.0,Recommends,,
Tue Feb 02 2021, Data Scientist,"Bloomfield, CT",Current Employee ,Great company with many opportunities,0,"Great company to work for. Lots of opportunities for career advancement and to work in different jobs or capacities. Flexible work schedules, and many employee benefits.
","Typically large company bureaucracy. Cigna health plans are the only health benefits offered and are higher cost than what other companies pay.
Advice to Management
Diversity groups and females are not well represented at the senior level
Helpfu","Diversity groups and females are not well represented at the senior level
Helpfu",4.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Customer Service Advocate,"Visalia, CA",Current Employee ,Awesome job,0,"Great benefits
Work/life balance
Good pay
Bonuses given
PTO
","Very micromanaged
Job can be stressful
Helpfu",,4.0,4.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Business Analytics Advisor,"Hartford, CT",Current Employee ,Cares about employees,0,"good benefits, treat employees well
","big corporation, virtual meetings hard to connect
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Pharmacy Technician (Data Entry),,Former Employee ,Great place to work,0,"Had an excellent training program with very helpful staff. Many benefits for employees, and an overall great place to work
","Didn’t have any cons with this employer
Helpfu",,5.0,5.0,5.0,5.0,3.0,5.0,,,
Fri Jan 29 2021, Case Management Representative,,Current Employee ,Great Company,0,"Great benefits, good work life balance
","Frequent Management changes, too many changes in one year
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Provider Relations Senior Supervisor,"Eden Prairie, MN",Current Employee ,Good company to work for,0,"Good work and life balance
","Health insurance premiums are too high for employees
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Claims Processor I,N/A,Former Employee ,Good Place to Work,0,"Overall a good workplace with good benefits.
","No real cons that I experience while there.
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, IT Program Manager,"Nashville, TN",Current Employee ,Great Culture,0,"Great Sr. Leadership Team and Culture
","Silos, Outdated technology and frequent org changes
Helpfu",,4.0,5.0,4.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Customer Service Representative,,Former Employee ,Life and Health Employee,0,"Job Security, positive workplace culture, business casual and also casual day, wonderful coworkers
","high-stress job with heavy micro-management.
Helpfu",,4.0,5.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Health Engagement Consultant,"New York, NY",Current Employee ,Wellness,0,,"ltant in New York, NY
Recommends
Positive Outlook
Approves of CEO
I have been working at Cigna full-time for more than a year
Pros
This position was Fun, easy, and interesting
Cons
It’s hard to get promoted in certain markets
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Product Designer,"Columbus, OH",Current Employee ,Good People,0,"Pay, Benefits, Work from home
","Bureaucracy, hard to advance and grow, outdated
Helpfu",,4.0,4.0,3.0,4.0,3.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Enrollments Analyst,"Doral, FL",Current Employee ,Top company,0,"Salary, benefits,work environment, progression. Remote work
","Difficult to achieve career progression.
Helpfu",,5.0,4.0,5.0,5.0,3.0,5.0,Recommends,,Approves of CEO
Mon Jan 25 2021, Engagement Consultant,"Houston, TX",Former Employee ,Cigna,0,,"ltant in Houston, TX
Recommends
Approves of CEO
I worked at Cigna full-time for more than 3 years
Pros
Cigna is a great organization and really invests in their employees with continuing education and training. The salary is very competitive and they have an excellent bonus structure.
Cons
I have no cons during my time with Cigna.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Sun Jan 24 2021, Project Manager,"Bloomfield, CT",Former Employee ,Great company to work for,0,"Diverse, Ethical, Good top management
","mergers & aquisitions caused layoffs
Helpfu",,4.0,5.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Senior Counsel,"Philadelphia, PA",Current Employee ,Good people,0,"Good people in leadership and consumer oriented
","Constant merger activity and associated disruptions/reorganization
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Claim Manager III,"Plano, TX",Former Employee ,Family & Life Balance,0,"Benefits, work schedule, team environment, co-workers, etc.
","Work load, career advancement, etc.
Helpfu",,5.0,5.0,4.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Operations Analyst,,Current Employee ,good,0,"good at working I think
","bad at the food I think
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Data Scientist,,Current Employee ,Great compensation,0,"Compensation, flexibility and interesting work
","Constant change of management, restructure
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Claims Processor,"Manchester, NH",Current Employee ,It's alright,0,"- Time off
- Various work resources available
","- Not a whole lot of upward movement unless you have previous outside experience in healthcare. Took 3 years for me to move and that was only because another department needed more processors. 
- Poor health insurance, I expect better from a health insurance company to look after their own. 
- Claims processors get laid off so they can move that work to external partners.
Advice to Management
Be transparent with your intentions. Don't have people come in to watch us process to ""improve our workflow"" but instead give that information to teach a external class and then down the line lay off your own workers.
Helpfu","Be transparent with your intentions. Don't have people come in to watch us process to ""improve our workflow"" but instead give that information to teach a external class and then down the line lay off your own workers.
Helpfu",3.0,3.0,3.0,4.0,3.0,3.0,Neutral Outlook,,No opinion of CEO
Thu Jan 21 2021, LTD Claim Manager,,Current Employee ,Great Place to work,0,"Work life balance is great.
","A lot and I do me a lot to learn.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Jan 21 2021, Mailroom Clerk,"Piscataway, NJ",Former Employee ,Sort and distribute mails,0,"Some very nice and understanding managers
","Health insurance is not good
Helpfu",,4.0,4.0,4.0,4.0,3.0,4.0,Recommends,,Approves of CEO
Thu Jan 21 2021, Technical Support Associate,"Philadelphia, PA",Former Employee ,Good company overall,0,"Pretty easy to get in
","Training is very short you will have to learn on the job
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Business Communications Advisor,"Hartford, CT",Current Employee ,"Good company, good talent",0,"Good mission, investment in employees, good co-workers, meaningful work
","Overworked, continually over capacity, no change to fix issue
Advice to Management
Increase funding for more resources
Helpfu","Increase funding for more resources
Helpfu",4.0,3.0,4.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Appeals Coordinator,"Irvine, CA",Current Employee ,appeals and correspondence facets,0,"can flex time easily depending on your manager
","no career growth, zero job enrichment, does not appreciate their employees
Helpfu",,3.0,5.0,3.0,4.0,1.0,2.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Thu Feb 04 2021, CSA ,"Pittsburgh, PA",Current Employee ,Have a high emotional capacity.,0,"Money, set schedule, consistently what it is.
","Stress, emotional burden, burn out
Advice to Management
Better support.
Helpfu","Better support.
Helpfu",3.0,1.0,2.0,5.0,1.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Jan 20 2021, Health Engagement Consultant,"Walnut Creek, CA",Current Employee ,Good company,0,,"ltant in Walnut Creek, CA
Recommends
I have been working at Cigna full-time
Pros
Very specific job training, will not leave you feeling unprepared. Work life balance, good benefits, open line of communication with upper-management, psychological safety
Cons
N/a, can’t think of anything at this time
Helpfu",,5.0,,,,,,Recommends,,
Thu Feb 04 2021, Case Manager,,Current Employee ,Corp mentality,0,"Corporate structure and guaranteed income if no personal incentive and growth is necsessay or important in your life
","Derogatory mindset and behaviors directed towards those who are growth and positive mindset thinking.
Advice to Management
The weakest link is the strength of your team. Recognize and stop rewarding it!
Helpfu","The weakest link is the strength of your team. Recognize and stop rewarding it!
Helpfu",2.0,1.0,3.0,5.0,2.0,3.0,Doesn't Recommend,,Disapproves of CEO
Wed Jan 20 2021, Case Management Analyst,,Current Employee ,Great Company to work for,0,"Support, work life balance, great peers/employees
","Nothing I can specifically think of that is a con
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,
Wed Jan 20 2021, Senior Business Advisor,"Saint Louis, MO",Former Employee ,Dynamic Environment,0,"Interesting work, a lot of ambitious projects and room to grow.
","A lot of leadership change. Some areas have really good leadership and some have very harsh leaders.
Advice to Management
Learn not just how leaders treat their superiors but how they treat their underlings
Helpfu","Learn not just how leaders treat their superiors but how they treat their underlings
Helpfu",4.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Business Analyst,"Philadelphia, PA",Current Employee ,N/a,0,"Great Flexibility and work life balance
","Slow career progression. Can’t really climb up the corporate ladder that quickly
Helpfu",,4.0,5.0,5.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Case Manager Advisor,"Dallas, TX",Former Employee ,Work-life balance,0,"autonomous work that helped achieve work-life balance
","Management did not encourage advancement opportunities
Helpfu",,3.0,5.0,3.0,4.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 19 2021, Technician,,Current Employee ,Excellent company,0,"Great communication, pleasant work environment
","Some older technology and IT
Advice to Management
Keep up the great work. Communication is key
Helpfu","Keep up the great work. Communication is key
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021," Registered Nurse, BSN","Nashville, TN",Current Employee ,Case Manager/utilization manager,0,"Work from home, flexible, dynamic
","Hard to move up, prompting
Helpfu",,4.0,5.0,5.0,5.0,2.0,5.0,,,
Mon Jan 18 2021, Vice President,"Bloomfield, CT",Former Employee ,Good Company,0,"Strong leadership, focus on mission
","complex organization with multiple layers
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Claims Representative,"Jersey City, NJ",Former Employee ,Cigna Life,0,"Great place to work, Cigna is a great company with great benefits for their employees
","Sometimes bored with lag time
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,3.0,3.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Client Account Specialist,"Lake Mary, FL",Former Employee ,Five Star Company,0,"Compensation, work-life balance, professionalism, diversity
","Working fourth quarter can be challenging
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
