date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Quality Engineer,"West Seattle, WA",Former Employee ,Good,0,"Work Culture, management, employees, salary, work life balance
","travel, weekend work somtime, leaves, holiday,pto
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021," Senior Manager, Procurement","Cary, NC",Current Employee ,Great company to work for,0,"Not that I can think of anything
","Great company to work. This is awesome company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sun Feb 07 2021, Inside Sales Representative,"San Francisco, CA",Current Employee ,Great Company to work for,0,"Easy to hit quotas when you're in great territory. Tough quotas during Q3 and Q4 as they bump up the number tremendously. Fiscal year calendar doesn't match customers purchase i.e. year end purchasing
","Politics within departments. Some bias within internal candidates. Layoffs or as they call it limited restructuring. WFH compensation is only $35 for internet compared to others which provide meals etc.
Advice to Management
Stop playing politics and hire people who work hard for their role.
Helpfu","Stop playing politics and hire people who work hard for their role.
Helpfu",5.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,
Sat Feb 06 2021, Service Delivery Executive,"Apex, NC",Current Employee ,The people are what make Cisco special,0,"Great people, very diverse culture and a desire to do the right thing
","The larger a company becomes, the harder it is to stay on the cutting edge.
Helpfu",,5.0,4.0,5.0,5.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Technical Writer,"Washington, DC",Current Employee ,Wonderful company to work for,0,"Cisco has fantastic values and is full of passionate people. There's a lot of opportunity for learning and working with others.
","People work a LOT at Cisco. 10-12 hour days are extremely common and normalized.
Helpfu",,5.0,2.0,5.0,5.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, User Experience Designer,,Current Employee ,Great Place for New Grad,0,"I worked in a big design team (50+). I learnt a lot of knowledge and skills from other designer.
","Too many meetings because working in a big team
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,,,
Thu Feb 04 2021, Finance Analyst,"Raleigh, NC",Current Employee ,na,0,"nanana nana nana nana nanana
","no downsides at all none
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Network Consultant Engineer,"Research Triangle Park, NC",Current Employee ,Cisco internal,0,,"ltant Engineer in Research Triangle Park, NC
Recommends
Positive Outlook
Approves of CEO
I have been working at Cisco Systems full-time
Pros
good place to work a lot to learn
Cons
too many managers and new managers a lot change
Advice to Management
Don't like some micro management from the new managers.
Helpfu","Don't like some micro management from the new managers.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Business Operations Manager,"San Jose, CA",Former Employee ,Great place to work,0,"Upper management transparency and open communication
","Slower adjustment to market changes
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Systems Analyst,,Former Employee ,Best position I have ever held,0,"Great culture with mainly understanding people.
","Covid impacted the business and while we tried to not have layoffs it was inevetable.
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, PSS,"Boulder, CO",Current Employee ,Great place to work,0,"Great company to work for
","Smaller territories each year with higher goals
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Technical Solutions Architect,"Baltimore, MD",Current Employee ,Love Cisco,0,"flexible work schedule, challenging, great teammates
","limitations on customer meetings due to Covid protocol
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Technical Lead,"San Jose, CA",Former Employee ,Cares for its employees.,0,"Cisco is a very caring company, ensuring that its employees receive fair treatment and going above and beyond what is necessary if an employee experiences a life changing event.
","There are the typical large company political plays.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Software Engineer III,"San Francisco, CA",Current Employee ,Good place to work,0,"relaxed, interesting, nice office, nice benefits
","stock options could be better
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Si Engineer,"San Jose, CA",Former Employee ,SI Engineer,0,"Good Work From Home Culture
","Nothing That I can think off
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Network Consulting Engineer,"San Jose, CA",Former Employee ,Great place to work,0,,"lting Engineer in San Jose, CA
Recommends
I worked at Cisco Systems full-time for more than a year
Pros
Good salary and benefit to all full-time engineer
Cons
Old building and need to maintain
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Tue Feb 02 2021, Product Sales Specialist,"Richardson, TX",Current Employee ,Great,0,"Culture, Benefits, Flexibility, Work from Home
","The Big Ships turn Slow, but Change is constant.
Advice to Management
Be Bold!
Helpfu","Be Bold!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Analyst,"Research Triangle Park, NC",Current Employee ,Great Place to work,0,"Great Benefits, I am always amazed at the perks. It's the little things
","Commute - sometimes the traffic can be heavy but currently working from home
Advice to Management
Keep up the great work
Helpfu","Keep up the great work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021,Anonymous,"San Jose, CA",Current Employee ,the best company for the right people,1,"Work life balance is among the best in the bay area. The projects and skills engineers develop are second to none. Mentorship and career development are taken seriously here. For some reason, Cisco took a lot of bad rap for layoffs which a lot of other big tech companies also did, but nobody noticed. 1 year is Cisco is equal to many years in other big tech companies.
","While compensation is not the greatest, Cisco pays better than many other tech companies. Also, Cisco is going through a transformation, which will take time to complete. So while pockets are working on cutting edge technology, there are still many teams working on hardware.
Advice to Management
Be proud of the Cisco brand, play to your strengths, and move quickly to the SAAS business model.
Helpful (1","Be proud of the Cisco brand, play to your strengths, and move quickly to the SAAS business model.
",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Network Engineer,,Current Employee ,Network Engineer,0,"work life balance is good
","N/A . . . .
Helpfu",,5.0,,,,,,Approves of CEO,,
Mon Feb 01 2021, Business Analyst,,Current Employee ,Business analyst,0,"You get to work remote as much as you want.
","There’s no growth in the company
Advice to Management
Offer career advancements
Helpfu","Offer career advancements
Helpfu",5.0,5.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Network Support Engineer,"Chicago, IL",Current Employee ,One of the best companies to work for,0,"Culture, Exposure to different technologies, perks, networking gear, overtime, weekend bonus, Food at work, Highly diverse and inclusive
","Difficult to get appraisal in the support role
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Sun Jan 31 2021, Ops Manager,,Former Employee ,CX,0,"Freedom, less work, amazing culture, friendly people
","Slow growth, honestly nothing else
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Manager,"San Jose, CA",Current Employee ,Great,0,"Great concept great game and lots of fun
","Great game for Success Tracks to have the best wishes
Helpfu",,5.0,,,,,,,,
