date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, IT Director,,Current Employee ,Great brand and company to work for,0,"Brand name, good team members, newer technologies starting to emerge
","Re-organizations every 2 years limit ability to make an impact
Helpfu",,5.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, 00000,"Dallas, TX",Former Employee ,Great,0,"The work environment was good.
","Can't think of any large cons.
Helpfu",,5.0,3.0,4.0,4.0,4.0,4.0,Doesn't Recommend,Neutral Outlook,
Thu Feb 04 2021, Sales Associate/Sales Specialist,"Rock Springs, WY",Former Employee ,coca cola is a gret company.,0,"good pay. great cutomers. love this job.
","lot of work. some customers are just grouchy
Advice to Management
you all help us to suceed
Helpfu","you all help us to suceed
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Brand Manager,"Oceanside, CA",Current Employee ,Process,0,"Less creation, more process and project marketing.
","Less flexibility and more meeting
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Senior Manager In Marketing Area,"Atlanta, GA",Current Employee ,Balanced,0,"bonuses, location, leadership is approachable, predictable business, culture
","struggles to transform business model to new consumer demands, online business model doesn't exist, marketing in a digital world is not understood here
Helpfu",,4.0,5.0,4.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Sales Associate,,Former Employee ,Coca Cola,0,"Great company, no real complaints.
","Needs better upward mobility system
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Customer Service,,Current Employee ,Good benefits,1,"Great work culture, inclusive and diverse. Known brand, many employees stay with the company for many years. 401K and pension
","Constantly changing organizational structure. You may be laid off every 3 to 4 years.
Helpful (1",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Marketing Director,"Atlanta, GA",Former Employee ,Marketing Director,0,"Amazing heritage, Culture and System infrastructure
","Work/Life balance, Constant management changes globally
Helpfu",,4.0,2.0,4.0,3.0,4.0,4.0,,,
Sun Jan 31 2021, Marketing Director,"Atlanta, GA",Former Employee ,Best Company I've worked for,0,"Great, smart people to work with who are some of the best in their fields. Great leadership.
","Beverage is a very competitive Industry
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,,
Sat Jan 30 2021,Anonymous,"Cincinnati, OH",Former Employee ,Enjoyable learning community,0,"Salary, exposure, growth opportunities and culture improved a great deal under new CEO
","Still run by tenured long standing veterans with little outside experience/ perspective
Advice to Management
Continue to rotate talent and take upward feedback seriously
Helpfu","Continue to rotate talent and take upward feedback seriously
Helpfu",4.0,3.0,3.0,3.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
