date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 18 2021, Communication Technician Level III,"Atlanta, GA",Current Employee ,Great company for growth,0,"Great Benefits, stock options, pto, Quarterly bonuses
","Long Days, sometimes mis communication,
Advice to Management
keep up the great work
Helpfu","keep up the great work
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Project Coordinator,"Livermore, CA",Former Employee ,Great Company,0,"great company, great bosses, awesome team
","salary is average, not much growth
Advice to Management
provide better salary
Helpfu","provide better salary
Helpfu",5.0,5.0,5.0,5.0,5.0,3.0,,,
Fri Feb 05 2021, Marketing Director,"Detroit, MI",Former Employee ,Great place to work!,0,"Career development opportunities and gives back to the community.
","Region not receptive to remote work prior to COVID.
Helpfu",,5.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Customer Experience Representative,,Current Employee ,Amazing company to work with.,0,"Great benefits. Wonderful managers. Compensation is good and there's a lot of commission if you work hard.
","Nothing that I can think of.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Feb 04 2021, Business Account Executive,"Chattanooga, TN",Current Employee ,"Not it’s a grind, but we’ll compensated when meeting goals",0,"Good money when meeting goals 
Great benefits
Lots of vacation time
","Can be hard to meet quota
Competing with several departments for sales
Advice to Management
Find a way to send more leads
Helpfu","Find a way to send more leads
Helpfu",4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, NOC Technician,,Current Employee ,Comcast,0,"Great team. Amazing team thats always there to help you
","Insufficient training. Will through you into the fire
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Manager,"Philadelphia, PA",Current Employee ,Great company,0,"Great company to work for and grow
","Salary can be a little low
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Sales Associate,"Jacksonville, FL",Current Employee ,Good company,0,"Good pay, opportunity to grow
","None everything is ok and great
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Software Engineer,"Philadelphia, PA",Current Employee ,Great people okay products.,0,"The discounts on cable, internet, and phone is amazing.
","Health benefits could be better.
Helpfu",,5.0,5.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Maintenance Technician,"Jacksonville, FL",Current Employee ,Good job,0,"Pay, benefits, vacation, overtime, balance.
","None that I can think of
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Business Account Executive,"Chattanooga, TN",Current Employee ,"Not it’s a grind, but we’ll compensated when meeting goals",0,"Good money when meeting goals 
Great benefits
Lots of vacation time
","Can be hard to meet quota
Competing with several departments for sales
Advice to Management
Find a way to send more leads
Helpfu","Find a way to send more leads
Helpfu",4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
