date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 03 2021, Sustainability,"Houston, TX",Current Employee ,Great place to work,0,"Life work balance and carreer
","Nothing that comes to my mind
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Senior Facilities Engineer,"Houston, TX",Current Employee ,Good Pay but Good Luck with Layoffs,1,"- Pay and benefits are great, though I wouldn't be surprised to see the industry as a whole start to cut back on employee pay

- Most people I work with are engaging and knowledgeable

- Company does invest in its employees in terms of training and development when times are good
","- Constant layoffs, constant fears of losing job

- Downsizing company by a lot

- Lack of interesting and challenging work. Limited roles.

- Not a great outlook for the industry or company in the long term
Advice to Management
Every year there is the same talk of People being part of the SPIRIT values, however almost every year since 2015 there has been layoffs. Every time after layoffs we talk about how we're a stronger company coming out of the downturn, yet there's more of the same the following year. 

Quit the act, embrace being the lean company that you are trying to be and quit acting like you care about your employees.
Helpful (1","Every year there is the same talk of People being part of the SPIRIT values, however almost every year since 2015 there has been layoffs. Every time after layoffs we talk about how we're a stronger company coming out of the downturn, yet there's more of the same the following year. 

Quit the act, embrace being the lean company that you are trying to be and quit acting like you care about your employees.
",3.0,4.0,3.0,3.0,1.0,5.0,Doesn't Recommend,Negative Outlook,
Sat Jan 23 2021," Senior, Analytics Analyst","Bartlesville, OK",Current Employee ,Evolving Oil & Gas,0,"Great company, excellent benefits, great atmosphere, growth opportunities
","Behind/lacking on work from home policies, slow on technology adoption
Helpfu",,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Analyst,"Houston, TX",Former Employee ,Trading floor was disorganzied,0,"Some really good people there
","Lack of training for new job
Helpfu",,3.0,4.0,3.0,4.0,4.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Jan 13 2021, Analyst,"Bartlesville, OK",Current Employee ,Great job,0,"Intelligent people and interesting work.
","Commuting to or living in Bartlesville.
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Data Analyst,,Current Employee ,Data Analyst,0,"Opportunities, Professional Development, Challenging Projects, Off fridays
","Diversity, work not always recognized
Helpfu",,4.0,4.0,4.0,2.0,5.0,5.0,,,
Sun Jan 24 2021, Production Specialist,"Houston, TX",Current Employee ,Good work / life balance,0,"good benefits and compensation, good work / life balance
","unstable energy job market. frequent reduction of employees in recent a few years
Helpfu",,4.0,4.0,3.0,4.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 08 2021, Analyst,,Current Employee ,Great place to work,0,"Great place to work with a lot of great people
","location and not many younger people
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Negative Outlook,Approves of CEO
Thu Jan 07 2021, Director,,Current Employee ,Great place to work,0,"Salary, culture, people, opportunities, personal development
","work-life balance can be a real challenge at times, no real remote working policy
Helpfu",,5.0,3.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021,Anonymous,"Houston, TX",Former Employee ,Great Company and Great Place to work,0,"Benefits, Flex Time, Interesting work, International Opportunity
","Bureaucratic, Multiple cultures still intact, Heritage this and Heritage that, Bartlesville
Helpfu",,4.0,4.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
