date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Tire Shop Technician,"Santa Rosa, CA",Current Employee ,"Great job, great company.",0,"Benefits
401k matching 
Vacation time
Sick time
Willingness to promote
Many different jobs you can try out
","Sometimes schedules are sporadic
Gosip and ""cliques"" are a thing
Pay raises are based on hours worked not 
how hard or the quality of work
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Oct 25 2014, Cashier Assistant (Front End Assistant),"San Luis Obispo, CA",Current Employee ,Real Pros and Cons,1456,and ,"
4.0
★★★★★
Current Employee - Cashier Assistant (Front End Assistant) in San Luis Obispo, CA
Recommends
Positive Outlook
Approves of CEO
I have been working at Costco Wholesale part-time for more than a year
Pros
Very affordable high quality health insurance benefits even for PT employees. Great for working parents who split up child care and need coverage. The key to succeeding at Costco is to work hard, have a good attitude and be nice to people. It's hard work and fasted paced, you have to be down for that to succeed.
Cons
At this warehouse you are required to work 5 days per week, even if you are PT at 24 or so hours. This means lots of 4-5 hour shifts rather than fewer 8 hour shifts which is tough for those who commute a long distance to work or have to cover day care.
Advice to Management
Allow the PT staff at 24/hours per week or so to work 4/6 hour shifts or 3/8 hour shifts rather than 4 and 5 hour shifts. it gets expensive for those who commute a long distance to work or have to cover day care.
Helpful (1456","Allow the PT staff at 24/hours per week or so to work 4/6 hour shifts or 3/8 hour shifts rather than 4 and 5 hour shifts. it gets expensive for those who commute a long distance to work or have to cover day care.
",4.0,3.0,4.0,3.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Front End Supervisor,,Current Employee ,Great benefits,0,"Good pay, good benefits, work around school
","None costco has treated me well.
Helpfu",,5.0,3.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Assistant Manager,N/A,Former Employee ,Great company,0,"Work environment, salary and benefits
","Fast paced, weekends long hours
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Front End Assistant,,Current Employee ,5 Stars,0,"Benefits, Never Boring, Great Work Environment for Team Players
","None that I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Thu Feb 04 2021, Department Manager,"Seattle, WA",Current Employee ,Excellent Company,0,"Costco takes care of its employees.
","So much back pain after a few years
Advice to Management
Figure out a way to better minimize injuries over time so you can stay with the company easier long term.
Helpfu","Figure out a way to better minimize injuries over time so you can stay with the company easier long term.
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Equipment Operator,"Salt Lake City, UT",Current Employee ,Costco is the best!,0,"Pay, people, management, benefits, breaks
","No consistent schedule at the warehouses
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Food Service Worker,"Orem, UT",Former Employee ,Good Job for College Students,0,"Good pay and good benefits
","Have to work undesirable hours
Helpfu",,5.0,4.0,4.0,4.0,4.0,5.0,,,
Thu Feb 04 2021, Manager,"Cincinnati, OH",Former Employee ,Manager,0,"Promotes only from with in, Regional Management approval needed before termination decisions
","Working manager, work is very physical. Work maybe hard on your body.
Advice to Management
Yelling is not a morale builder or motivator
Helpfu","Yelling is not a morale builder or motivator
Helpfu",5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Fulfillment,"Sacramento, CA",Current Employee ,Costco,0,"Lots of hours, benefits as a part-time worker, and friendly environment.
","I have no complaints working here!
Helpfu",,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Warehouse Assistant,"Frederick, MD",Former Employee ,Nice place to work,0,"Holiday pay for working on Sundays. Abundance of overtime work during the months leading into Christmas.
","You are only allowed to be 3 minutes late for clocking in and you aren't allowed to clock in early.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Mon Feb 01 2021, Cashier Assistant (Front End Assistant),"Sanatoga, PA",Current Employee ,Great place to work - awesome benefits,0,"- Positive work environment
- Experienced, helpful management
- Hourly wage leads the retail industry
- Fantastic benefits
- Short or long shifts depending on availability and schedule
","- Always working weekends
- Schedule is sometimes unflexible 
- Frequently understaffed during busy periods
Helpfu",,5.0,3.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Costco Cashier,"Greensboro, NC",Current Employee ,Love it,0,"Great pay and benefits for the job
","Have to be flexible schedule
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Front End Assistant,"Corona, CA",Former Employee ,Great people they hire,0,"Good atmosphere,Bonuses and Sunday pay
","Very demanding and irregular hours
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,,,
Tue Feb 02 2021, ISC,"Dallas, TX",Current Employee ,Great place to work!!,0,"Great benefits! Great company culture!
","Competitive atmosphere, many employees with 10+ years.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
