date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 03 2021, Sale Representative,"Fort Worth, TX",Current Employee ,Great Company to Work for,0,"great pay, good benefits, great management
","long hour and working the weekends.
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Superintendent,"Hoover, AL",Current Employee ,Wonderful company,0,"Treat you like family, always willing to help, let you run your job site, money is great.
","Stress can be a factor, deadlines can sometime to unreachable.
Helpfu",,5.0,4.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Assistant Superintendent,"Knoxville, TN",Current Employee ,Great company,0,"Great culture and leadership. Career development is important and the pay structure is great.
","Like anything else it can get stressful at times.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Analyst,,Current Employee ,Great place to work,0,"Benefits, office, community, E.C., cafe
","None to speak of in all honesty
Helpfu",,5.0,5.0,,,,,,,
Thu Jan 28 2021, Superintendent,"Ocala, FL",Former Employee ,Not a good,0,"Full time pay every two weeks
","Short term no loyalty to their employees
Advice to Management
Loyalty
Helpfu","Loyalty
Helpfu",2.0,1.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jan 11 2021, Superintendent,,Current Employee ,Lots of work,0,"Stay busy flexible schedules with family
","Pay not what you would think for the amount of homes built
Helpfu",,4.0,3.0,4.0,5.0,1.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Purchasing Agent,,Current Employee ,Glorified Data Entry Clerk,0,"Free lunches & sponsored vendor events
","They’re very unorganized and only worry about their bottom line. Quantity not quality
Helpfu",,3.0,,,,,,Doesn't Recommend,,
Wed Jan 13 2021, Marketing,"Kirkland, WA",Current Employee ,"Steady Job, Lacking Opportunities",0,"Mostly nice coworkers, relaxed environment, job security
","Cube farm, minimal raises, no help for continuing education, office drones are looked down on - sales agents are gods.
Advice to Management
Promote from within, Regular pay increases to reflect the influx of workload, learn to communicate
Helpfu","Promote from within, Regular pay increases to reflect the influx of workload, learn to communicate
Helpfu",3.0,3.0,3.0,3.0,2.0,3.0,Positive Outlook,,No opinion of CEO
Fri Jan 08 2021, General,,Former Employee ,Hard and successful work doesn’t always matter,3,"Some good people if you can get past the cliques.
","Antiquated business processes do not allow flexibility, growth or innovation. People are let go despite stellar performance reviews.
Advice to Management
Get to know people and their strengths and make decisions based on most experience rather than just to protect your own. Control managers that can’t “stay in their lane” and actually take the time to care and learn about what employees contribute.
Helpful (3","Get to know people and their strengths and make decisions based on most experience rather than just to protect your own. Control managers that can’t “stay in their lane” and actually take the time to care and learn about what employees contribute.
",2.0,3.0,2.0,2.0,1.0,2.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Mon Jan 25 2021, Superintendent,"Indianapolis, IN",Former Employee ,Terrible Company,0,"Money was pretty good but that’s it.
","No team work. No real over site of middle management.
Advice to Management
Listen to your lower people in the field.
Helpfu","Listen to your lower people in the field.
Helpfu",1.0,1.0,1.0,1.0,3.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
