date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 03 2021, Business Analyst,"Camp Hill, PA",Former Employee ,DXC,0,"Good benefits and laid back work environment
","Lack of upward mobility and clarity
Helpfu",,5.0,4.0,4.0,4.0,3.0,4.0,Recommends,,Approves of CEO
Fri Feb 05 2021, Senior Consultant,"New York, NY",Current Employee ,Big company with lot of potential,0,,"ltant in New York, NY
Approves of CEO
I have been working at DXC Technology full-time
Pros
Great Projects, People and opportunities
Cons
Lot of attrition and uncertainty
Helpfu",,4.0,5.0,4.0,3.0,5.0,4.0,Approves of CEO,,
Thu Feb 04 2021, Senior Associate Accounting,"Nashville, TN",Current Employee ,Good Company,0,"Easy job, laid back environment
","Not much room for growth
Helpfu",,4.0,5.0,4.0,5.0,3.0,4.0,,,
Wed Feb 03 2021, Compliance Assurance Manager,,Current Employee ,Compliance Assurance Manager,0,"Great Benefits, good people, work remote
","less interaction with team members
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Solutions Advisor,"Tysons Corner, VA",Current Employee ,Good company,0,"Lots of room for upward mobility.
","Frequent changes. Lots of restructures. Company is still trying to find and establish their “culture”
Helpfu",,4.0,5.0,3.0,4.0,5.0,4.0,,,
Mon Feb 01 2021, Procurement Specialist,"Tampa, FL",Current Employee ,New DXC! COME CHECK US OUT!,0,"Cultural through out! Best remote position, awesome leadership, and new career paths.
","Very large enterprise. Process driven.
Advice to Management
Please look at the talent we have and award it.
Helpfu","Please look at the talent we have and award it.
Helpfu",5.0,4.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Network Administrator,"Willard, OH",Current Employee ,DXC review,0,"Flexible vacation time, starting salary
","In the 1.5 yrs on the job, so far so good. No complaints
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Professional Systems Analyst,"Holmdel, NJ",Current Employee ,Good one,0,"Better Learning (Based on the client)
","Year end appraisal has to be improved.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Senior Customer Support Agent,"Columbia, SC",Current Employee ,Company rate,0,"Good pay, benefits and employee discounts/programs.
","Not very flexible schedule wise.
Based off seniority.
Expect employers to do unpaid exam quizzing and studying.
Advice to Management
More hands on experience. Service levels determine everything.
Helpfu","More hands on experience. Service levels determine everything.
Helpfu",4.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Data Engineer,,Current Employee ,Good,0,"Good work culture, friendly managers
","No periodic hikes and no bonus
Helpfu",,4.0,5.0,5.0,5.0,5.0,2.0,Recommends,Neutral Outlook,
