date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 02 2021," Manager, Tax",,Current Employee ,Great Company,0,"Stable company, great benefits, competitive salaries, opportunities are endless, a lot of flexibility.
","Very lean culture provides a lot of opportunities for growth but can also lead to burn out.
Helpful
Danaher Response
February 8, 2021 – Global Candidate Experience Manager
We're pleased to hear that you enjoyed your experience at Danaher. We always want to provide a competitive benefits and compensation package to our associates. Thank you for the feedback",,5.0,5.0,5.0,3.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 21 2021, Business Development Manager,"Woodmere, NY",Current Employee ,Great Company,0,"Career development oriented, outstanding business system
","A large corporation, many processes
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Hi
We’re glad you see Danaher as a place where you can grow and develop. Thank you for taking the time to share your experience. 
Thank yo",,5.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Project Manager,,Current Employee ,Great Place to Work,0,"Competitive salary and benefits, sincere desire for and openness too improvements of all kinds, whether it's systems, processes, or solutions. 

Great place to grow if you are motivated and willing to exert effort. Company owns a lot of other operating companies, so room to move to those organizations as opportunities occur. There is a lot of promotion and movement within. 

There are some incredibly smart, interesting and kind people working here. I've found it easy to build rapport. 
Job security is good, but you must be prepared for changes to staff around you - it can sometimes feel like someone is always leaving/arriving. 
Like the new CEO so far. 
Lots of progress has been made on Diversity and Inclusion and plans for more.
","Some people feel overworked, so for some life/work balance could be an issue. There is use of contractors, and those folks get paid less and have significantly less in terms of benefits, time off, etc. Headcount is kept tight, so it can be hard to convert unless 1. your boss fights for you and 2. they have justification to add a headcount. 
Not a con, but like every organization, your boss matters a lot in terms of your experience. Make sure you communicate early on working style and make sure it's a good match for your career and personality.
Advice to Management
Include more work balance conversations with leaders around the organization. Continue to push D&I so people will feel welcome and included. 

Try to improve offerings for contractors - yes, it's expensive but they are part of our success as an organization too. Please put some Black and brown people on the Board.
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Thank you for sharing! We’re very happy to hear you’re enjoying Danaher and hope your positive experience continues. Thank you, it’s great to have you on our team","Include more work balance conversations with leaders around the organization. Continue to push D&I so people will feel welcome and included. 

Try to improve offerings for contractors - yes, it's expensive but they are part of our success as an organization too. Please put some Black and brown people on the Board.
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Thank you for sharing! We’re very happy to hear you’re enjoying Danaher and hope your positive experience continues. Thank you, it’s great to have you on our team",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Thu Jan 07 2021, Senior Director IT,"Cincinnati, OH",Current Employee ,A Company Worth Exploring!,0,"Company values associates feedback & ideas which is demonstrated through high engagement scores, company offers flexibility - not a culture of clock watchers, demonstrates and embraces a commitment to continuous improvement, associates feel empowered to influence change, and leadership communication is top notch! Comp & benefits are also competitive. The historical company performance speaks for itself- it's great to be apart of a winning company!
","Given the decentralized operating company structure, could benefit from more centralized services.
Advice to Management
The annual review process is a bit tedious, would recommend it be a more focused on dialogue not documentation.
Helpful
Danaher Response
January 11, 2021 – Global Candidate Experience Manager
Thank you for your review. We're glad you're pleased with your experience overall, but would like to learn more about how we can improve in the above areas you mentioned. Please reach out to our Corporate HR team. Thank you","The annual review process is a bit tedious, would recommend it be a more focused on dialogue not documentation.
Helpful
Danaher Response
January 11, 2021 – Global Candidate Experience Manager
Thank you for your review. We're glad you're pleased with your experience overall, but would like to learn more about how we can improve in the above areas you mentioned. Please reach out to our Corporate HR team. Thank you",5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Operations Associate,,Current Employee ,Good benefits...that's it.,0,"Great benefits; e.g med, dental, vision, STD, LTD, etc.
","Big company and associates get lost
Advice to Management
Don't bulldoze over associates in an effort to hit an end of month revenue
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Thank you for bringing this to our attention. We're sorry to hear this has been your experience. We take these matters very seriously and would like to hear more about your experience so we can be sure to address it with our team and find ways to improve. Please reach out to our Corporate HR team. Thank you","Don't bulldoze over associates in an effort to hit an end of month revenue
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Thank you for bringing this to our attention. We're sorry to hear this has been your experience. We take these matters very seriously and would like to hear more about your experience so we can be sure to address it with our team and find ways to improve. Please reach out to our Corporate HR team. Thank you",2.0,1.0,1.0,3.0,2.0,4.0,Doesn't Recommend,,
Wed Jan 20 2021, Senior Process Engineer,"Sunnyvale, CA",Current Employee ,Process engineer,0,"Good culture. Fair pay. Good bonus
","Few sick and vacation hour. Few to no stock options
Advice to Management
Increase vacation hours and stock incentives
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Thank you for your review. We're glad you're pleased with your experience overall, but would like to learn more about how we can improve in the above areas. Please reach out to our Corporate HR team. Thank you","Increase vacation hours and stock incentives
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Thank you for your review. We're glad you're pleased with your experience overall, but would like to learn more about how we can improve in the above areas. Please reach out to our Corporate HR team. Thank you",4.0,3.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Engineer,"Fremont, CA",Current Employee ,Great!,0,"1. Good compensation and stock plan
","1. Can have long work hours
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
We're pleased to hear you're enjoying your experience at Danaher. We always want to provide a competitive benefits and compensation package to our associates. Thank you for the feedback",,4.0,,,,,,,,
Thu Jan 14 2021, Solutions Architect,"Remote, OR",Current Employee ,"Good, as expected, not perfect",0,"Large conglomerate across many industries
Many companies to move around between, great internal movement opportunities
","Lots of inertia due to being a large, bureaucratic business mostly concerned with bottom line
Growth seems to be mostly acquisition
Advice to Management
Please expand on performance-based compensation/incentive structure
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Hello, thank you for your review. We’re happy to hear you’re pleased overall and encourage you to speak with your manager about the concerns you have mentioned. Thank you, it’s a pleasure to have you on our team","Please expand on performance-based compensation/incentive structure
Helpful
Danaher Response
January 25, 2021 – Global Candidate Experience Manager
Hello, thank you for your review. We’re happy to hear you’re pleased overall and encourage you to speak with your manager about the concerns you have mentioned. Thank you, it’s a pleasure to have you on our team",4.0,5.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Mon Dec 21 2020, Senior Manager,,Current Employee ,Great Place to Work,0,"Great leaders who care about you as a person. Flexible work-life balance. Opportunity to move up in the organization.
","While time if flexible, you are often operating over 100%. With a focus on things like engagement, initiatives can feel artificial and not connected to your work. There's also pressure to continue to move out of your position into the next thing.
Advice to Management
Continue to champion great leaders. Focus on the few important initiatives, as opposed to trying to ""do it all.""
Helpful
Danaher Response
January 11, 2021 – Global Candidate Experience Manager
Hello We’re glad you see Danaher as a place where you can grow and develop. We are also glad to see that you are able to find that work-life balance which is so important. Thank you for taking the time to share your experience","Continue to champion great leaders. Focus on the few important initiatives, as opposed to trying to ""do it all.""
Helpful
Danaher Response
January 11, 2021 – Global Candidate Experience Manager
Hello We’re glad you see Danaher as a place where you can grow and develop. We are also glad to see that you are able to find that work-life balance which is so important. Thank you for taking the time to share your experience",5.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 04 2021, Civil/Structural Engineer,"Fort Collins, CO",Former Employee ,Great Opportunities for Growth,0,"Professional Growth
Challenging positions
Work atmosphere
Company Culture
Benefits
","very large organization to navigate through
Helpful
Danaher Response
January 5, 2021 – Global Candidate Experience Manager
Hello
Thank you for your feedback, it is truly appreciated. We always want to provide a competitive benefits and compensation package to our associates. We wish you all the best in your future endeavors. 
Thank yo",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
