date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021, Sogtware Engineer,"Santa Clara, CA",Former Employee ,Good Workplace,0,"lots of room for personal and professional growth
","in some teams slow work pace
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Art Director,"Austin, TX",Current Employee ,Love Dell,0,"Work Environment is awesome and worth staying for it.
","Corporate red tape is soul crushing.
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Sales Executive,"New York, NY",Current Employee ,Great Place To Work,0,"Great perks and time off
","Corporate culture is manage up
Helpfu",,5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Desk Side Support,"Boca Raton, FL",Former Employee ,Excellent company,0,"Good pay and a great work
Life balance
","Depends on your management team.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Fri Feb 05 2021, Learning Consultant,"Plano, TX",Current Employee ,Dell is a solid company,0,,"ltant in Plano, TX
Recommends
Positive Outlook
Approves of CEO
I have been working at Dell Technologies full-time
Pros
Dell has provided me a great work environment for over a decade, with great leaders and quality peers.
Cons
There are ups and downs, sometimes we are just numbers on a spreadsheet since the company is so big.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Marketing Director,"Round Rock, TX",Current Employee ,Great Company,0,"Dell is a fantastic company to work for.
","I don't have anything negative to say
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Advisor,"Round Rock, TX",Current Employee ,Good,0,"Overall positive, no significant complaints
","slow paced and corporate culture
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Customer Success Executive,"New York, NY",Current Employee ,Outstanding Company Culture!,0,"The company culture is amazing for those who are transitioning from another industry.
","It may be challenging to navigate the global infrastructure if one is used to a smaller company.
Advice to Management
Keep up the good work in providing a workplace conducive to diverse teams.
Helpfu","Keep up the good work in providing a workplace conducive to diverse teams.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Project Manager,,Current Employee ,Best place to work,0,"people, people, people, people, people
","none, none, none, none, none
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Project Manager,"Nashville, TN",Current Employee ,Great place to work,0,"Competitive pay and benefits and promotion opportunities
","Employee discount could be better
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
