date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Cudtomer Service Representative,"Tampa, FL",Former Employee ,Great company,0,"Flexible and great company . Great benefits
","Call center environment so stats are still important
Advice to Management
Continue to be fair , honest and flexible
Helpfu","Continue to be fair , honest and flexible
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Corporate Travel Consultant,"Taunton, MA",Former Employee ,Great Company to work for,0,,"ltant in Taunton, MA
Recommends
Neutral Outlook
Approves of CEO
I worked at Delta Air Lines part-time
Pros
Never gets boring ..everyday is different . Meet and work with interesting people from all over the globe. Travel benefits are unbeatable. Delta is a company that gives back to the community they sponser many charitable events and encourage employees to participate
Cons
Can be very stressful during delays and bad weather . Staffing is always a problem . Expected to wear many hats at once. Even with years at the job it was difficult to get days off . Shifts are very non traditional ie early morning or late evening start times
Helpfu",,5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021, Aircraft Mechanic,,Current Employee ,Awesome Company,0,"Fun place to work
Great Benefits
","Medical benefits not very good
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021,Anonymous,"Atlanta, GA",Current Employee ,N/a,0,"Awesome airline that loves its employees.
","I have no cons to list.
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Analyst,,Current Employee ,Best and most friendly people,0,"Everyone I have met from Delta while I have worked there have been incredibly nice and intelligent. Just a great place to work!
","Excited for the future with the vaccine.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Marketing Specialist,"New York, NY",Current Employee ,Amazing Leadership and Benefits,0,"Amazing company with wonderful benefits
","Pandemic times are scary and the uncertainty is difficult to handle
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Data Analyst,,Current Employee ,Organization that cares about your well-being.,0,"-flight benefits
-great culture
-work-life balance
-high 401k matching
-high expectations
","-pay lags behind tech industry standards
-tools and software used is out-dated
-limited diversity among leadership roles
Helpfu",,5.0,5.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Flight Attendant,"Cincinnati, OH",Former Employee ,Fantastic,0,"Take care of their employees
","Never had any issues while employed here
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Ramp Agent ,"Arlington, VA",Current Employee ,Great company to work for,0,"Flight benefits, 401k, can swap shifts
","No Union in place for employees
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Customer Service Agent,"Los Angeles, CA",Former Employee ,Good overall,0,"Flight benefits, 4 hour shifts, lovely PSA’s, amazing friendships made
","Early morning shifts, lazy management, micromanaging at LAX
Advice to Management
Help employees more when they are in need of assistance
Helpfu","Help employees more when they are in need of assistance
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Feb 01 2021, Lead Customer Service Representative,,Current Employee ,Great company that takes care of it's people.,0,"Health Insurance, Travel Benefits, Internal Promotion
","Best company I have worked for.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Mechanic,,Former Employee ,great,0,"fast pay teamwork skill dependable
","shift holidays working conditions hours
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Flight Attendant,"Atlanta, GA",Current Employee ,Good,0,"Good wotk culture and salary
","N/A nit that I kniw a
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Manager,,Current Employee ,Awesome company,0,"People first culture 
Leadership cares
","Technology lagging a bit behind rivals
Airline industry
Helpfu",,5.0,3.0,5.0,4.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Manager,"Atlanta, GA",Former Employee ,Revenue management,0,"Good people, great culture with diversity and inclusion.
","Severe impact from the pandemic
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Negative Outlook,Approves of CEO
Sat Jan 30 2021, Janitor,,Former Employee ,Great,0,"Great place to work at, loved it so much
","no downsides to the job, it was great
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Lead Avionics Technician,"Atlanta, GA",Former Employee ,The Best Of Then Best,0,"This is the place, where a person can be a high performer, and have a integral part to meet the overall objective for the company.
","The industry will always have down turns, which should be expected.
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Flight Attendant,"New York, NY",Current Employee ,The best company you are looking for,0,"I’m so proud that we are a part of this company
","We don’t have Union but we have each other to look back for you.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021,Anonymous,,Current Employee ,Great Company to Work for,0,"Great company to work for
","... ... ... ... ...
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
