date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 04 2021, Cashier,"Grand Island, NE",Current Employee ,Great Company,0,"They work with you when situations come up.
","Lots of turn over with employees
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021," Repack Picker, Muop Driver","Indianola, MS",Current Employee ,4.5,0,"Great company to work for!
","relocating and wanted work to what I am use to doing
Advice to Management
There is always room for improvement!
Helpfu","There is always room for improvement!
Helpfu",4.0,3.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 08 2021, Management,"New York, NY",Current Employee ,Manager,0,"Most districr managers are very helpful
","Not enough payroll hours to get things done
Helpfu",,3.0,,,,,,,,
Mon Feb 08 2021, District Manager,"Norfolk, VA",Current Employee ,Rock Solid,0,"Company growth, competitive pay, benefits package.
","Stingy with vacation, no sick pay, no respect for quality of life.
Advice to Management
Cherish your performers. Rampant turnover at field management level makes it hard to develop culture.
Helpfu","Cherish your performers. Rampant turnover at field management level makes it hard to develop culture.
Helpfu",3.0,1.0,2.0,2.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Student,"Lafayette, TN",Former Employee ,Cashier,0,"The people are like family
","Sometimes customer service can be hard
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Medical Administrative Assistant,"Walton, KY",Current Employee ,NEW,0,"new so you get great training, clean
","new so there are kinks
Advice to Management
Could be a little better with communicating changes to all staff
Helpfu","Could be a little better with communicating changes to all staff
Helpfu",5.0,4.0,3.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Key Holder,"Balch Springs, TX",Former Employee ,Not enough help,0,"Great co workers,.Flexible schedule, easy work
","Low pay, Little help, Large workload
Advice to Management
Need better coverage
Helpfu","Need better coverage
Helpfu",3.0,3.0,4.0,5.0,3.0,2.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Manager,"Nashville, TN",Current Employee ,It’s ok,0,"Customers and helping them find what they needed
","No work life balance/ support.
Helpfu",,3.0,1.0,1.0,1.0,5.0,2.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Non,,Former Employee ,Way too much manual labor,0,"Good pay and benefits for new hires
","Everything is manual labor and the job is strenuous
Helpfu",,3.0,1.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Lead Sales Associate/Key Holder,,Current Employee ,Review,0,"Fairly easy job, quick to learn what to do.
","Hard to get any promotions or pay raise.
Advice to Management
N/a
Helpfu","N/a
Helpfu",3.0,4.0,4.0,4.0,3.0,2.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Sales Associate,,Current Employee ,Meh,0,"Easy work for someone waiting for more
","Little assistance from management in regards to direction
",,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 01 2021, Key Holder,"Burgess, VA",Former Employee ,Nice people to work with!,0,"The people and environment was very nice
","You do alot of work for little money
Advice to Management
Keep doing what you can to help people grow within the company who want to do so.
Helpfu","Keep doing what you can to help people grow within the company who want to do so.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Cashier,,Current Employee ,Great company,0,"I am lucky to be working with coworkers who consider me as family. I am treated equally and ethically. Though I sometimes work 40 to 50 hour weeks, it’s worth it for me and them.
","Long hours. Short on staff.
Advice to Management
Hire more people.
Helpfu","Hire more people.
Helpfu",5.0,,,,,,,,
Mon Feb 01 2021, Store Manager,"Indianapolis, IN",Current Employee ,Working for DG,1,"Processes could work if you have enough hours
","Working alone at least two to four days a week
Advice to Management
Training
Helpful (1","Training
",3.0,3.0,3.0,3.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Unemployed,"Bloomfield, NJ",Former Employee ,"Normal company, nothing special",0,"They moved clerks around to different positions so that you are not stuck doing the same thing all the time.
","Low pay for a lot of work. The hours were disproportionate for some employees.
Helpfu",,3.0,2.0,4.0,4.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Sales Associate,"Anderson, SC",Former Employee ,I’m currently unemployed worked at the dollar general but COVID got to bad,0,"Good people to work with
","They should require people to wear mask it’s not safe
Advice to Management
Mask required
Helpfu","Mask required
Helpfu",3.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Dollar General Assistant Manager,"Clarksville, TN",Former Employee ,Dollar general,0,"Good first job once your 18.
","Very little hours for assistance managers, not treated fairly
Helpfu",,3.0,,,,,,,,
Sun Jan 31 2021, Lead Sales Associate/Key Holder,,Former Employee ,Meh,0,"Paid for an easy job.
","Not enough money for dealing with customers.
Helpfu",,3.0,,,,,,,,
Mon Feb 01 2021, Key Holder,,Former Employee ,Not bad,0,"Ok pay, work wasn’t too hard, some fun people to work with
","A little rough when working alone, understaffed
Helpfu",,3.0,,,,,,,,
Sat Jan 30 2021, Stocker,"Burnet, TX",Former Employee ,Laid back eviroment,0,"good pay 
401k options
good people
","The cooling system is controlled in tenesse
Helpfu",,4.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Sales Associate,"Saint James, MO",Former Employee ,great,0,"Fast paced job good co workers
","everybody seems to call out
Helpfu",,5.0,4.0,1.0,5.0,5.0,1.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Store Manager,"Troy, MO",Current Employee ,Good company to work for,0,"Laid back environment and bonuses
","Not enough hours for associates
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Sales Associate,"Pittston, PA",Current Employee ,awesome,0,"coworkers are friendly and funny
","company uniform itches and is black
Advice to Management
lead
Helpfu","lead
Helpfu",5.0,,,,,,Doesn't Recommend,,
Sat Jan 30 2021, DC Intern,,Current Employee ,NA,0,"Good culture, good bonus, Helpful, a lot of PTO
","long hours, no cons as such,
Helpfu",,3.0,,,,,,,,
Sun Jan 31 2021, Dollar General Sales Associate,"Spartanburg, SC",Former Employee ,Poor company,0,"It was a Good job for experience
","Poor company thar didnt want to put money into its stores and employees. They shoulfd expect poor returns
Advice to Management
Keep more employees in store
Helpfu","Keep more employees in store
Helpfu",3.0,3.0,1.0,5.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sun Jan 31 2021, Sales Associate,"Vermilion, OH",Current Employee ,Overall decent job.,0,"Provides decent exposure to real world experiences. Good chance of developing strong coworker relationship.
","Unreliable hours, especially before, during and after Christmas holiday.
Helpfu",,3.0,4.0,3.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Store Assistant Manager,"Emporia, KS",Current Employee ,Great company to work for!,0,"Fast growing company with room to grow!
","Schedules can fluctuate frequently and rarely are you allowed to work overtime for the company.
Advice to Management
increase the payroll budget and incentivize the employees with a bonus system!
Helpfu","increase the payroll budget and incentivize the employees with a bonus system!
Helpfu",4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Cashier,,Former Employee ,Great,0,"It was great working there. The people we so accepting
","When asking for a day off its not hundred percent that you will get it.
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Sales Associate,"Blairsville, GA",Former Employee ,it was okay,0,"Very friendly people and communicating
","No one worked hard enough
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Jan 30 2021, Sales Associate,"Hammond, LA",Current Employee ,"Harder work than you'd think, but overall really depends on management",0,"flexible hours and scheduling when not short-handed... but those who stay long-term become really good friends
","Everyone has a million things to do, cashiers do way more than just work the register. The pay isn't that great for the amount of work either. There is a high turnover rate.
Advice to Management
If you want to keep employees, raise the amount of people you can have so things can actually get done without some people straining themselves too much just so a store can look decent.
Helpfu","If you want to keep employees, raise the amount of people you can have so things can actually get done without some people straining themselves too much just so a store can look decent.
Helpfu",3.0,4.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 28 2021, Key Holder,,Former Employee ,Great company horrible dm,0,"Great company to work for. But DM didn’t know what he was doing.
","Dm was horrible.
Lies about Covid infections.
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Store Manager,,Current Employee ,Great Company,0,"The company is great to work for. There's a large range of tasks to complete on the daily and you learn a lot of skills
","There aren't any cons for this company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Order Picker,"San Antonio, TX",Former Employee ,Great company,0,"Wages.bonus for good attendance one paid 30 minute break..
","Long hours. Influx of new employees always
Advice to Management
N/a
Helpfu","N/a
Helpfu",5.0,1.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Sales Associate/Cashier,,Current Employee ,Dollar general,0,"It’s the best job you could have
","Nothing I love working there
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Lead Sales Associate,"Kansas City, KS",Current Employee ,Mediocre job,0,"The people you meet, its easy work if you don't let the company work you like a slave
","Pretty cheap company to work for
Advice to Management
Pay your people more.
Helpfu","Pay your people more.
Helpfu",3.0,1.0,3.0,4.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Cashier,"Houston, TX",Former Employee ,It was ok.,0,"Food, a break, easy job, talking with customers
","Not many hours, low pay, no life/ work balance, too much work, not much people working on a shift
Advice to Management
N/A
Helpfu","N/A
Helpfu",3.0,1.0,3.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Jan 29 2021, Store Manager,"Cleveland, OH",Current Employee ,Change,0,"Sslary was good but no time off
","Not enough time unrealistic expectations
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Fri Jan 29 2021, Store Manager,"Venus, TX",Former Employee ,Store manager,0,"Great way to help community
","Lower wages for staff cause high turnover.
Advice to Management
None
Helpfu","None
Helpfu",3.0,1.0,2.0,5.0,3.0,3.0,,,
Thu Jan 28 2021, Sales Associate,"Mobile, AL",Current Employee ,Dollar general,0,"Very easy job and it’s quick to catch on to everything
","The store I work at always changes the schedules and to me they dont have enough help.
Helpfu",,4.0,3.0,3.0,4.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Warehouse Fullcase Picker,"Longview, TX",Former Employee ,"Hard work, you will be worked like a dog but the money is good.",0,"Good Money, Hard work, Nice Coworkers
","Short breaks, Work by productivity, Anything less then 100% gets you a write up.
Advice to Management
Lower the the productivity standard to 85% or 90%.
Helpfu","Lower the the productivity standard to 85% or 90%.
Helpfu",4.0,5.0,3.0,3.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Stocker,"Bandera, TX",Former Employee ,Dollar general is okay,0,"Nice people, wasn’t hard work, weekly pay
","Low pay, not enough hours
Helpfu",,3.0,5.0,3.0,3.0,4.0,1.0,Doesn't Recommend,Neutral Outlook,
