date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Stocker,"San Diego, CA",Former Employee ,Good for extra money,0,"Actually pretty good especially for students and or people looking for extra income.
","Early start times. Other than that nothing.
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Assistant Store Manager,"Chesterfield, MI",Former Employee ,Basically you sub in for the store manager.,0,"Easy, Not much work overall, meet interesting people, some life experience, Get to see how much people differ.
","Sporadic schedule, Holidays are a nightmare, You meet... Strange people, Depends on the Dollar tree, but if you do sub for a different dollar tree you will be thrown in with little to no information.
Advice to Management
Give Stores more hours. Seriously I've literally seen 15-20 employees leave due to low hours. Imagine how I feel when I'm getting 35-38 hours while my cashiers are only getting 15.
Helpfu","Give Stores more hours. Seriously I've literally seen 15-20 employees leave due to low hours. Imagine how I feel when I'm getting 35-38 hours while my cashiers are only getting 15.
Helpfu",4.0,4.0,5.0,5.0,2.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 10 2021, Merchanding Manager,"Stillwater, OK",Former Employee ,Working for Dollar Tree,0,"Frequent options for upward mobility.

Plenty of shift options to work from.

Great start for a retail job.
","Could use better security overall.
Advice to Management
Ensure management is trained to completion before continuing on with giving them keys to the safe.
Helpfu","Ensure management is trained to completion before continuing on with giving them keys to the safe.
Helpfu",4.0,3.0,3.0,4.0,5.0,4.0,Recommends,Positive Outlook,
Wed Feb 10 2021, Store Associate,"Kennewick, WA",Current Employee ,Review,0,"Good management
Flexible hours
Great overall experience
","Rude customers sometimes
Not enough opportunities for growth
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Equipment Manager,"Savannah, GA",Current Employee ,Dollar Tree Distribution,0,"Great people and strong leadership development
","None that I can think of
Advice to Management
Take the leadership development program to the next level and start training L1’s for operations positions.
Helpfu","Take the leadership development program to the next level and start training L1’s for operations positions.
Helpfu",4.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Sales Associate/Cashier,"Dallas, TX",Current Employee ,Easy Job,0,"easy job to work and work building
","Doesn't pay enough and lots of lifting
Helpfu",,4.0,5.0,4.0,3.0,2.0,1.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 08 2021, Brand Assistant,,Current Employee ,Associate,0,"good hour if work hard
","It is tough since they are understaffed now
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Manager,"West Lafayette, IN",Current Employee ,Great People,0,"Management is very flexible as I am also a full time college student. Everyone I’ve worked with is very pleasant. Some may see this as a con, but there is always work to be done so it’s great for those who like to stay busy!
","Pay could be better. Slightly above average employee turnover which can make consistency and training difficult.
Advice to Management
More consistent training methods
Helpfu","More consistent training methods
Helpfu",5.0,4.0,4.0,5.0,2.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Front Line Casier,,Current Employee ,Be good with Adversity,0,"The pay is high for what is expected.
","There is no security to stop shoplifters except yourself.
Advice to Management
hire shoplifter camera security
Helpfu","hire shoplifter camera security
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Sales Associate,,Current Employee ,respectful customers,0,"Respectful customers, indoor work, regular work
","Mundane work, very fast pace
Helpfu",,4.0,,,,,,,,
