date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Chemical Operator,"Midland, MI",Current Employee ,Awesome career,0,"This is the best job for the amount of schooling you need. Make a ton of money while only working half the year
","Working rotating shift work although not horrible, can be tiresome. However most don't mind it.
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Production Engineer,"Freeport, TX",Former Employee ,Good company to work for,0,"good pay and good culture
","often had to work more than 40 hours per week, no overtime pay for salaried role.
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Reliability Engineer,"Houston, TX",Current Employee ,Good company to work for,0,"benefits, work life balance, and decent management
","lack of communication from upper managament
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Senior Counsel,"Midland, MI",Current Employee ,Great company,0,"Great people and leadership opportunities
","Large workload and lean teams
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Senior Administrative Specialist,"Midland, MI",Current Employee ,Overall great place to work,0,"Flexibility around vacation. Big focus on mental health initiatives.
","Working virtually due to Covid
Helpfu",,4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, R&amp;D Manager,"Houston, TX",Current Employee ,"Great company, solid values",0,"Good benefits
Strong values
Team quality
","Bureaucracy 
Travel policies 
IT systems
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Strategic Sourcing Manager,"Houston, TX",Current Employee ,Career employee,0,"Diversity, Inclusion, Opportunity, Respect, Culture.
","Large corporation, slow to change.
Advice to Management
Improve the performance review and career development planning.
Helpfu","Improve the performance review and career development planning.
Helpfu",5.0,5.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Senior Accountant,N/A,Former Employee ,Great overall workplace,0,"Great culture, pay and flexibility
","Upper mobility can take time
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Finance Co,"Midland, MI",Current Employee ,Great Work Environment,0,"Good people, good environment for young professionals
","Demanding work, working virtually due to pandemic
Helpfu",,4.0,,,,,,,,
Sat Jan 23 2021, Process Operator,"Plaquemine, LA",Current Employee ,Good company,0,"Prioritizes safety
Very flexible
Overall very good company
","Not much bad things here 
Compensation can be a bit more
Helpfu",,5.0,3.0,4.0,4.0,4.0,3.0,Recommends,,Approves of CEO
Sat Jan 23 2021, Maintenance Engineer,"Plaquemine, LA",Current Employee ,Good Company,0,"Good career growth and salary
","None that I can think of
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Associate Research Scientist,"Midland, MI",Current Employee ,Great working environment. Nice people. Lots of opportunities to grow.,0,"Great working environment. Nice people. Lots of opportunities to grow.
","no pensions for new hires
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sat Jan 23 2021, Chemical Process Operator,"Freeport, TX",Current Employee ,Not too bad,0,"Not the worst company to work with, good beginner plant but recommend to keep moving up
","Good pay but not the best compared to other chemical companies
Helpfu",,4.0,2.0,3.0,5.0,4.0,4.0,,,
Thu Jan 21 2021, Vice President of Sales,"Denver, CO",Former Employee ,VP of Sales Chemicals,0,"Excellent role with authority and autonomy leading NA sales team.
","Bureaucratic organization with very slow decisions making , large complex organization
Helpfu",,5.0,3.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Associate Accounting Specialist,"Bay City, MI",Current Employee ,Rotational Program,0,"Global company, competitive pay & benefits, role rotation
","Rigid corporate structure can be tiresome
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Production,,Former Employee ,Contractors have fewer opportunities,0,"Career growth potential for Dow employees.
","There's little mobility and few resources available to contractors.
Advice to Management
HR and other staff resources should be available to everybody in the workplace, regardless of who signs your paycheck.
Helpfu","HR and other staff resources should be available to everybody in the workplace, regardless of who signs your paycheck.
Helpfu",2.0,3.0,3.0,5.0,3.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Operator,"Louisville, KY",Current Employee ,Great Company,0,"Great working environment with very helpful people, great training, and majority of the operators have great work ethic.
","No one on one trainer, you are your trainer. Must be able to read and be self taught. Must be confident to ask questions when something isn’t clear.
Advice to Management
It would be nice to go back to the old system when trainers trained new trainees.
Helpfu","It would be nice to go back to the old system when trainers trained new trainees.
Helpfu",4.0,4.0,4.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Senior Marketing Manager,"Houston, TX",Current Employee ,Not a bad company to work for,0,"great and smart team members, fun to work
","The organization style is not flat
Helpfu",,3.0,5.0,2.0,5.0,3.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Jan 15 2021, Senior Production Engineer,"Freeport, TX",Former Employee ,Great place if you like competition and long hours,0,"Great work processes great technology
","Competitive coworkers, lack of appreciation
Advice to Management
Promote your hard working people who have management skills not people you just like
Helpfu","Promote your hard working people who have management skills not people you just like
Helpfu",4.0,1.0,3.0,3.0,4.0,4.0,,,
Thu Jan 14 2021, Production Engineer,"Seadrift, TX",Current Employee ,Great company to work for as a whole,0,"They are a really good company to work for. The main benefits come from their work processes and organization. It is so easy to get your job done, drawings are kept up, roles are placed appropriately, etc. They give a lot of good recognition and the company has a lot of programs in place (ERGs) to get you involved and meet people.
","Dow as a whole is such a large company that it somtimes seems they dont value their people. 401K is lower than normal, pay is decent, transfer opportunities limited. When covid hit, the first thing that happened was to fire 6% of the job force. At the end of the year, cash flow is great and we are going to get full bonus. This seems like it could have been avoided.
Advice to Management
Invest in your employees more by caring about their personal lives, allowing transfers when wanted, allowing raises when good performance is a factor.
Helpfu","Invest in your employees more by caring about their personal lives, allowing transfers when wanted, allowing raises when good performance is a factor.
Helpfu",4.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Disapproves of CEO
