date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Jan 27 2021, Administrative Assistant,"Bellevue, OH",Current Employee ,Great Company,0,"Good pay and benefits. Time off is good and the job is enjoyable.
","We are in a small area and often feel forgotten by HR.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Supply Planner,"Rochester, NY",Former Employee ,Great place to work,0,"Pay, Benefits and quality of work/life balance was high.
","Some people have it a lot easier for the same amount of pay.
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,,Approves of CEO
Tue Feb 09 2021, Vice President Marketing,"Wilmington, DE",Current Employee ,Good place to work,0,"focus on Innovation and core values
","Lots of constant change of company portfolio
Helpfu",,4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Process Engineer,"Fort Madison, IA",Current Employee ,Great Location to work,0,"Healthy culture, great collaboration among the technical team
","Pretty small site which make career advancement with same location difficult.
Advice to Management
Make your company strategy Simple and clear.
Helpfu","Make your company strategy Simple and clear.
Helpfu",4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Research Investigator,"Wilmington, DE",Former Employee ,Macro changes,0,"Anticipating macro changes and correcting the company size
","No longer focused on science and innovation
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Research Scientist,"Wilmington, DE",Former Employee ,DuPont,0,"Great experiences, nice manager, co-workers, supportive
","re-organization, merger, in-stability, manager micromanagement
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Disapproves of CEO
Mon Feb 01 2021, Six Sigma Master Black Belt,"Parkersburg, WV",Current Employee ,Great,0,"Good salary and working conditions
","big company so sometimes get lost in shuffle
Helpfu",,4.0,4.0,4.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 31 2021, Any,"Bloomington, IL",Current Employee ,It pays the bills,0,"The work is consistent and safer.
","The work can be hard and straining, depending on the job you work.
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Product Manager,"Richmond, VA",Current Employee ,Great company to start your career,0,"- Competitive compensation
- Good environment
","- Slow career growth 
- Small bonus
Helpfu",,4.0,5.0,5.0,5.0,2.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Process Technician,"Rochester, NY",Current Employee ,Great place to work,0,"Full Benefits are great and the environment is very clean
","Many task to do with very little employees
Advice to Management
none
Helpfu","none
Helpfu",4.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Applications Technologist,"Saint Louis, MO",Current Employee ,Good benefits,0,"Good benefits, good work environment
","very slow promote, nothing else
Helpfu",,4.0,,,,,,,,
Thu Jan 21 2021, Quality Engineer,"Richmond, VA",Former Employee ,Great experience. Not what it used to be.,2,"People, Flexibility, legacy, brand image
","Hard to promote within, poor leaders
Helpful (2",,4.0,4.0,4.0,3.0,2.0,3.0,Doesn't Recommend,,Disapproves of CEO
Tue Feb 09 2021, Facilities Engineer,"Wilmington, DE",Former Employee ,Uncertainty,0,"The compensation and 401k match is good
","Uncertainty, cost cuts, layoffs, poor outlook
Advice to Management
Understand your value chain, innovation. Stop cutting product prices and costs.
Helpfu","Understand your value chain, innovation. Stop cutting product prices and costs.
Helpfu",3.0,4.0,4.0,5.0,3.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sat Jan 23 2021, Global IT Service Manager,"Wilmington, DE",Former Employee ,Lots of opportunity,0,"Large company with decent investment in IT, M&AD activity allows for expansion of experience, never boring.
","Shifting priorities can de-rail transformation activity in favor of cost-cutting and/or M&A activity.
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Food Safety Specialist,"Overland Park, KS",Former Employee ,Take the good with the bad,0,"overall good company culture and nice coworkers
","leave people in leadership too long who are not good leaders or interested in developing your skills to advance
Advice to Management
very task focused day to day. Take time to care to develop your people.
Helpfu","very task focused day to day. Take time to care to develop your people.
Helpfu",3.0,4.0,3.0,2.0,1.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 21 2021, Senior R&amp;D Manager,"Richmond, VA",Former Employee ,Strong and deep science foundation,0,"Strong product portfolio and solid technology foundation
","Core IT systems may not be keeping pace with the market.
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Operator,"Newark, DE",Former Employee ,Employee Review for Dupont,1,"Good Benefits work hours are good
","Some employees too negetive . Not a liaison for employees when dealing with manangement
Helpful (1",,3.0,2.0,4.0,1.0,,,Recommends,,
Thu Jan 14 2021, Process Engineer,"Cedar Rapids, IA",Current Employee ,Great Food,1,"This place will feed you. Meals at almost every meeting and sometimes surprise breakfast.
The people are incredibly friendly and welcoming. 
Very independent. Your boss will almost never tell you what to do.
Expected to find work yourself.
","Horrible documentation.
Onboarding is horrible because there is such little documentation or retention of information it's crazy.
Advice to Management
Increase documentation and decrease redundant meetings and wasted time.
Helpful (1","Increase documentation and decrease redundant meetings and wasted time.
",4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 28 2021, Team Leader,,Current Employee ,Ok,0,"Good benefits and still pretty large company
","Less and less secure to work for
A lot is changing without clear direction
Getting smaller and less focused on people and more focused on bottom line, whatever it takes
Advice to Management
Listen to your people, but then act on what they say
Helpfu","Listen to your people, but then act on what they say
Helpfu",2.0,2.0,5.0,4.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,
Tue Jan 12 2021, Principal Investigator,,Current Employee ,Excellent place to work,0,"Strong workplace culture especially around innovation and safety.
","None to share at this time.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Operations Technician,"Martinez, CA",Current Employee ,N/A,0,"Good schedule and 401k match 6% plus additional 3% on top and a bonus
","bad medical coverage and poor management skills
Helpfu",,3.0,4.0,2.0,1.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 08 2021, Devops Engineer,"Wilmington, DE",Current Employee ,Amazing company,0,"pro_list= ['Awesome people', ' great management', ' great work/life balance', 'trainings', 'no pressure but you will pressure yourself as you work as an owner because u love the company']
DuPont = [i for i in pro_list]
print(DuPont)
","No any CONS at all. 
No any CONS at all.
Advice to Management
Assess market value , get potential customer feedback before implementing MVP/POC
Helpfu","Assess market value , get potential customer feedback before implementing MVP/POC
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Jan 20 2021, Machine Operator,"Pryor, OK",Current Employee ,DuPont pryor,1,"Good pay benefits and vacation
","Changes hand often, rules change all the time
Helpful (1",,3.0,,,,,,,,
Fri Jan 22 2021,Anonymous,,Former Employee ,The Emperor's New Clothes,0,"The culture at DuPont is one of high ethical standards and supportive cooperation. I always felt comfortable that I could be myself. Pay is okay (mid-market).
","In DuPont ""reality"" is what management want's it to be rather than what it actually is. Very few are willing to make necessary tough decisions. 
True opportunity is hard to come by. The company is a mere shadow of its former self having been reduced to a shrinking collection of disconnected businesses.
Helpfu",,3.0,4.0,4.0,5.0,1.0,3.0,No opinion of CEO,,
Thu Jan 07 2021, Consultant,"Richmond, VA",Former Employee ,Still a great company!,0,,"ltant in Richmond, VA
Recommends
Positive Outlook
Approves of CEO
I worked at DuPont full-time
Pros
Great people
Exciting work subjects
Really good benefits
Cons
Too few people to do all the work
Blurry lines between work and personal life
Helpfu",,5.0,3.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 06 2021, Scientist,"Madison, WI",Current Employee ,I love the work and the people here!,0,"benefits, hours, people, location, and work load
","I dont have a con
Helpfu",,5.0,3.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 18 2021, Lab Technician,"Madison, WI",Current Employee ,Good work-life balance,0,"For the most part you can set your own work schedule based on your weekly workload and personal commitments.
","Sometimes coverage is needed during odd hours (early morning or middle of the night).
Helpfu",,3.0,,,,,,,,
Mon Dec 28 2020, Process Engineer,"Fort Madison, IA",Current Employee ,Great Company,0,"Good culture and competitive compensation package.
","Pretty small plant which make career progression with same location difficult.
Advice to Management
Need to be more clear with business strategy.
Helpfu","Need to be more clear with business strategy.
Helpfu",4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Lead Production Technician,"Dayton, OH",Former Employee ,Atmosphere,0,"Good people with teamwork in mind
","Management is incompetent. They create a volatile workplace and moral is very low
Advice to Management
I do not have anything good to say
Helpfu","I do not have anything good to say
Helpfu",1.0,1.0,1.0,1.0,5.0,5.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Thu Dec 31 2020, Document Control Technician,"Rochester, NY",Current Employee ,Here two months and so far so good,0,"pay job hours cubicle pay
","cold empty pay job hours
Helpfu",,3.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Sun Dec 27 2020, Corporate Trainer,"Remington, IN",Current Employee ,acceptable preformance,0,"The benefits are competitive and no layoffs in 40 years at the site.
","Company wide salary and hiring freeze
Helpfu",,3.0,4.0,3.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Dec 10 2020, Call Center Representative,"Richmond, VA",Former Employee ,none,0,"Benifits competitive pay great work schedules and time off
","Small minded supervisors picking slight racism
Helpfu",,4.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 08 2020, Senior Research Associate I,"Palo Alto, CA",Current Employee ,Great place to work with supportive people and culture,0,"Honestly it is a place that is tough to leave. The people and the culture are top notch
","Pay is not always competitive to other companies
Helpfu",,5.0,5.0,5.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Dec 07 2020, Production Assistant,"Rensselaer, IN",Current Employee ,Good company,0,"Rotating schedule and great benefits!
","None this is a good job
Helpfu",,4.0,5.0,5.0,5.0,2.0,4.0,Recommends,Positive Outlook,
Tue Dec 22 2020, MES Engineer,"Richmond, VA",Current Employee ,No Comment,0,"Flexible work schedule. Good benefits.
","On Call after hours and on weekends
Helpfu",,3.0,,,,,,,,
Mon Dec 07 2020, Accountant,"Wilmington, DE",Former Employee ,ok,0,"It's a nice place to work.
","Nothing that I can think of.
Helpfu",,4.0,,,,,,,,
Mon Dec 21 2020, Research Scientist,"Des Moines, IA",Current Employee ,Fair,0,"Good place to work and fair pay
","I don't have any cons at this time
Helpfu",,3.0,,,,,,,,
Fri Dec 04 2020, Assistant Scientist,"Madison, WI",Former Employee ,nice,0,"Good people and okay benefits
","To many automotive systems like HR
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,,,
Fri Dec 04 2020, Maintenance Planner/Scheduler,"Midland, MI",Current Employee ,good,0,"Teamwork, Ethical , Accountable , Environment Quality
","Communication, pay , honesty, Hours worked , understaffed
Helpfu",,4.0,2.0,5.0,5.0,3.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Nov 25 2020, Manufacturing Process Engineer,"Wilmington, DE",Current Employee ,Great place to work - lots of change management opportunities,0,"Great leadership opportunities and entry level engineering options are great!
","Lots of change and turnover due to multiple mergers and acquisitions during my time at the company
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Dec 09 2020, Student,"Philadelphia, PA",Former Employee ,Slow and Easy,0,"Good lifestyle balance for those who have families
","Disorganized management, lack of empathy for employees, and really slow pace of work
Helpfu",,2.0,4.0,3.0,3.0,2.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri Nov 20 2020, Senior Engineer,"Marlborough, MA",Current Employee ,Market leading chemicals company,1,"Excellent all round (work impact, team, resources, compensation)
","Visibility to strategic decision making could be better, but management actively working to improve
Helpful (1",,5.0,,,,,,,,
