date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, IT Infrastructure Analyst,,Current Employee ,Great company to work for,0,"Benefits are great, work environment is laid back as long as you complete your work
","I have nothing bad to say at this time
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Engineer,"Charlotte, NC",Former Employee ,Positive Work Environment in Need of an Update,0,"great mentorship, good work-life balance
","very few younger, racial minority employees
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Senior Customer Research Analyst,"Charlotte, NC",Current Employee ,Great culture and benefits,0,"People are great, the pay is competitive, and the benefits are amazing. 401k match is the best I've seen
","HR promotion barriers. They have strict tenure rules.
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Electrical Engineer,"Easley, SC",Current Employee ,Great Benefits,0,"Base Salary
End of Year Bonus
401K
Vacation
","Working more than 40 hours per week.
No job stability.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Negative Outlook,Disapproves of CEO
Sun Feb 07 2021, Operations Excellence Specialist,,Current Employee ,Review of Duke,0,"Great People, opportunities, and benefits make it a great place to work
","System issues and disconnected middle-management lead to poor business decisions
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021, Operations,,Current Employee ,Great place to work,0,"Great pay and company benefits
","12 hr shifts can be a grind
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Sat Feb 06 2021, Asset Data Management,"Charlotte, NC",Current Employee ,Asset Data Management,0,"Duke Energy has good benefits
","There are no cons for Duke.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Manager,,Current Employee ,Great company,0,"Transparency from corporate and pay
","Need to modernize employee policies
Helpfu",,4.0,3.0,4.0,4.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Senior Scrum Master,"Charlotte, NC",Current Employee ,Great company with plenty of opportunities for career growth,0,"Great opportunities for growth with excellent benefits
","A rapidly changing environment where job responsibilities change often
Helpfu",,4.0,4.0,3.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, IT Infrastructure Analyst,"Charlotte, NC",Current Employee ,Great Team,0,"We are encouraged to continue learning and share our knowledge with each other. Training opportunities are great and continue to push me forward.
","Can be high stress like any IT career.
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Product Analyst,"Charlotte, NC",Current Employee ,Great company,0,"Benefits, PTO, management, pay, bonus
","Hard to move up and get raises
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Engineer I,"Charlotte, NC",Current Employee ,Good benefits,0,"Strong 401k match and good time off
","Workload can be uneven at times
Helpfu",,5.0,4.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 31 2021, Reliability Engineer,"Charlotte, NC",Former Employee ,Great company if you are looking for an 'easy going' environment,0,"Great people at the company. Very comfortable job.
","The company structure was in constant flux while at the time of my employment.
Helpfu",,5.0,4.0,3.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Senior Service Technician,"Tarboro, NC",Current Employee ,Good job,0,"Good Pay and benefits and bonus
","It’s a job, no work life balance
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Accounting Analyst,"Charlotte, NC",Current Employee ,Great company to work for,0,"Great team environment where the employee feels valued and not just like a number.
","No real con from a work environment perspective so far. I would probably say that salaries appear to be a bit lower than market but not by much.
Helpfu",,5.0,,,,,,Approves of CEO,,
Wed Jan 27 2021, Associate Business Analyst,"Charlotte, NC",Former Employee ,Associate Business Analyst,0,"Great place to work if you live in Charlotte.
","Not enough responsibilities for the role
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Network Analytics Management Intern,"Plainfield, IN",Former Employee ,Good place to work,0,"New technology, good coworkers, opportunities to get involved with other departments
","Work load can be stressful
Advice to Management
None
Helpfu","None
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Senior IT Analyst,N/A,Former Employee ,Company Review,0,"Family Oriented and very flexible
","Stressful lately to work there
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021, Internal Auditor,,Current Employee ,A good company to work for,0,"work/life balance for work very positive
","Noting comes to mind for this quwestion
Helpfu",,4.0,5.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Designer,,Current Employee ,Great place to work,0,"Great work/ Life balance. Inclusive environment
","Sometimes the work can be so busy it is overwhelming
Helpfu",,4.0,5.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Engineering Co,"Cayuga, IN",Former Employee ,Engineering Co-Op Review,0,"Great experience, great teamwork, good facility and workplace, safe, management was very employee oriented
","I feel like I could've gotten more experience based projects during my co-op
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Jan 25 2021, Procedure and training Coordinator,"Edwardsport, IN",Former Employee ,Obvious Strong Place to Work,0,"Good benefits and compensation package.
","Typical every day work frustrations.
Advice to Management
Nothing Specific. They are constantly looking to improve.
Helpfu","Nothing Specific. They are constantly looking to improve.
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Technician,"Durham, NC",Former Employee ,Safety Conscious Environment,0,,"ious Environment""
4.0
★★★★★
Former Employee - Technician in Durham, NC
Recommends
Neutral Outlook
Approves of CEO
I worked at Duke Energy full-time for more than 3 years
Pros
Fosters self motivation, credits initiative and self management (no Micro-Managing)
Cons
Lost touch with promoting from within (Loss of well rounded and knowledgeable veterans)
Advice to Management
People want to be the best at what they do, and then some; so, take care of all the cogs in the machine of the business and field, and usually, all run smoothly.
Helpfu","People want to be the best at what they do, and then some; so, take care of all the cogs in the machine of the business and field, and usually, all run smoothly.
Helpfu",4.0,,,,,,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 22 2021, Customer Care Representative,"Charlotte, NC",Current Employee ,Pretty good,0,"It’s a good job even though it is a customer service role. Good benefits. Incentives and bonuses
","A lot of mandatory overtime. Especially during storm season.
Helpfu",,4.0,,,,,,,,
Wed Jan 20 2021, Lead Engineer,"Charlotte, NC",Current Employee ,Good Company,0,"Job Security as Much as you can have these days
","Sometimes red tape gets in the way of being innovative
Helpfu",,4.0,4.0,2.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Product Analyst,"Charlotte, NC",Current Employee ,"Great company to work for, pushing forward with new technology",0,"401k matching, health, dental and vision insurance, yearly bonus
","can be difficult to move up the ladder at such a large company. no bonuses due to covid
Helpfu",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Customer Service Representative,"Raleigh, NC",Former Employee ,it's ok,0,"Good pay and bonus and incentives
","Mandatory schedule for storms and bad weather
Helpfu",,3.0,,,,,,,,
Tue Feb 02 2021, Senior Data Scientist,"Charlotte, NC",Current Employee ,Managers,0,"Good co workers to work with
","Cut throat managers. Looking to cover up their under education by firing new employees
Helpfu",,3.0,2.0,2.0,2.0,3.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Jan 28 2021, Call Center Representative,"Raleigh, NC",Former Employee ,80-100 calls a day,0,"flexible hours based on points
","the call center is a stressful job
Helpfu",,3.0,2.0,2.0,2.0,2.0,3.0,No opinion of CEO,,
Tue Jan 12 2021, Facility Manager,"Charlotte, NC",Former Employee ,Na,0,"Female leadership, room for growth
","Continually outsourcing for cost savings
Helpfu",,4.0,,,,,,,,
Tue Jan 12 2021, Senior Change Management Consultant,"Charlotte, NC",Current Employee ,"Great for Work, a little tough for rapid growth",0,,"ltant in Charlotte, NC
Recommends
Positive Outlook
Approves of CEO
I have been working at Duke Energy full-time for more than 3 years
Pros
Great place to work and develop skills.
Cons
Ambitious people may get tired of teh slow rate of progressions and limited opportunities for people who have not been at the company for decades
Advice to Management
Promote on skills not just seniority
Helpfu","Promote on skills not just seniority
Helpfu",4.0,5.0,4.0,5.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
