date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Jan 24 2021, Financial Analyst,"Indianapolis, IN",Former Employee ,Great Company and Great People,0,"Great company to work for
","Based in the town of Indianapolis, Indiana
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,,Approves of CEO
Tue Feb 09 2021, Operations,"Los Angeles, CA",Current Employee ,Great place,0,"Virtual work environment is great
","None for the current time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Administrative Assistant,"Indianapolis, IN",Current Employee ,Excellent company.,0,"Great company. Amazing people with forward thinking leaders.
","So much red tape to get things done. Corporate America
Helpfu",,4.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, HSE Consultant,"Indianapolis, IN",Former Employee ,highly recommended,0,,"ltant in Indianapolis, IN
I worked at Eli Lilly and Company full-time
Pros
excellent compensation and benefits; employee-focused
Cons
no cons to share at this time
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Solution Architect,,Former Employee ,Perfect place to work,0,"I love working with lilly
","Nothing that i can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Advisor,"Indianapolis, IN",Current Employee ,Great Place to Work!,0,"Strong benefit package, fair wages, respect for people.
","No real complaints. A great company!
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Human Resources Director,"Indianapolis, IN",Current Employee ,Great Company with Strong DEI,0,"Great environment. A strong and inclusive culture. The way the company treated employees during the pandemic was so caring.
","I wish there were more opportunities so that others can enjoy TeamLilly! The cafeteria should significantly discount healthy eating options.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Sales Representative,"San Juan, PR",Current Employee ,Great Company,1,"Good communication to all levels.
Inclusive and Diversifying philosophy 
Great in training
Great opportunities to grow in different levels
","The entry level salary for a well experience is not the best, but with great reviews, and hard work you can be well remunerated.
Advice to Management
Be aware that all your employees are very professional, take opportunity to communicate what they are doing well and what can be do better.
Helpful (1","Be aware that all your employees are very professional, take opportunity to communicate what they are doing well and what can be do better.
",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Account Manager,"Houston, TX",Former Employee ,Good,0,"good experience couldn't ask for more
","none that I can think of
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Sales Representative,"Jersey City, NJ",Former Employee ,Sales representative,0,"Work life back ok once was a pro
","Fairness snd upper management was not encouraging in career advancement
Advice to Management
Be fair
Helpfu","Be fair
Helpfu",5.0,5.0,4.0,2.0,3.0,2.0,Recommends,Positive Outlook,Disapproves of CEO
Mon Feb 01 2021, Sales Representative,,Current Employee ,Great,0,"Great for work life balance
","a lot of reps think they are smart, and doing a real job, but are actually just uber eats delivery people
",,5.0,,,,,,,,
Mon Feb 01 2021, Research Scientist,"Indianapolis, IN",Current Employee ,Great atmosphere,0,"Colleagues are supportive, great work life balance
","Location, not for people who enjoys big city life
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Senior Medical Advisor,,Former Employee ,Great company,0,"Opportunities are great, good leadership
","Only option in the City
Helpfu",,4.0,5.0,4.0,1.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Retiree,"Westfield, IN",Former Employee ,Great employer,0,"Outstanding company to work for, excellent work environment and strong pay.
","Too much money spent on consultants
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Site Reliability Engineer,"Clinton, IN",Former Employee ,Reliability and E/I,0,"Integrity, Respectful, Excellence of a company
","Business Software Integration improvement perhaps
Advice to Management
NA
Helpfu","NA
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Sales Representative,,Former Employee ,Great People; Subjective Promotion Process,0,"Strong product portfolio in diabetes, and really genuine people.
","Promotion process is very political and subjective. Be ready to hear the overused term ""impact"" over and over again. Underpaid compared to rest of market
Helpfu",,4.0,5.0,5.0,5.0,4.0,2.0,,,
Wed Jan 27 2021, Research Scientist,"Indianapolis, IN",Current Employee ,Great Comanpy,0,"Nice company culture and benefit
","can not think of one right now
Helpfu",,4.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Research Associate Intern,,Former Employee ,Not bad,0,"Great campus, nice equipment, Lots of people and things to do
","Poor management, does not treat you fair
Helpfu",,4.0,,,,,,,,
Mon Jan 25 2021, Operations Director,,Current Employee ,"Solid company, good growth",0,"- Well paid for Indiana area
- Good growth within company
","- Not open to remote work
- Traditional company not open to non-linear career growth
Helpfu",,4.0,4.0,4.0,2.0,4.0,3.0,,,
Sun Jan 24 2021, IT,"Indianapolis, IN",Current Employee ,Caring,0,,"ltant in Indianapolis, IN
Recommends
Positive Outlook
Approves of CEO
I have been working at Eli Lilly and Company full-time for more than 5 years
Pros
Great work environment, great benefits
Cons
Few advancement options for certain roles
Helpfu",,5.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Sales Representative,"Atlanta, TX",Current Employee ,Great,0,"Collaborative culture, patient centered, good work life balance
","Regimented structure for promotional opportunities; tenure rewarded
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Approves of CEO,,
Sat Feb 06 2021, Field Reimbursement Manager,"San Diego, CA",Current Employee ,Sales Reps.,0,"Pension, generous vacation. One week company shutdown July and December.
","Weird Socialist culture. 50% of Bonus tied to district performance. 50% tied to individual performance. You can have poor performance but still get paid a decent bonus based on other great performers in your district. Conversely great performers’ bonuses are brought down by bad performers. System rewards mediocre performers. .
Helpfu",,3.0,1.0,1.0,5.0,2.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri Jan 22 2021, Specialty Sales Representative,"Columbus, OH",Current Employee ,Great company culture- best in pharma,0,"Pay, Training , and Culture. Great pharma job
","No cons really. The healthcare plan could be better
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Pharmaceuticals Sales Representative,"Birmingham, AL",Current Employee ,Great company,0,"Incredible people and pipeline are promising.
","Incredibly high expectations . Numbers. Leadership. More.
Advice to Management
Simplify
Helpfu","Simplify
Helpfu",5.0,3.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Sales Representative,"Detroit, MI",Current Employee ,Great Job,0,"Partial pension, great work life balance, great 401k match, etc
","Extremely conservative, one of the lower paying pharma companies
Advice to Management
Allow people to advance in the company without having to go to Indianapolis
Helpfu","Allow people to advance in the company without having to go to Indianapolis
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Automation Engineer,"Cleveland, OH",Current Employee ,Remote start,0,"Very accommodating for work from home
","Remote for most of start
Helpfu",,4.0,,,,,,,,
Thu Jan 21 2021, Associate Consultant ,"Indianapolis, IN",Former Employee ,Good with a Caveat,0,,"ltant - Engineering in Indianapolis, IN
I worked at Eli Lilly and Company full-time
Pros
Well established company. No apparent layoffs. Pay and benefits are top-notch.
Cons
Management, guidance, and direction for new employees is not organized and inefficient; which makes on-boarding a difficult transition.
Helpfu",,4.0,4.0,5.0,5.0,4.0,5.0,,,
Wed Jan 20 2021, Financial Analyst,"Indianapolis, IN",Current Employee ,Great company to work for,0,"Great culture and meaningful work
","Too many meetings between everyone
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Sales Representative,,Current Employee ,I love it here!,0,"Great culture and diversity and inclusion.
","Behind on technology compared to other pharma companies
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, District Manager,"Los Angeles, CA",Current Employee ,Too heavily weighted towards PC,0,"Solid company, strong financials, good products
","Too slow to react to market changes
Advice to Management
Need to act faster through different levels of management
Helpfu","Need to act faster through different levels of management
Helpfu",4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021,Anonymous,,Former Employee ,It was a great company to start with an gain experience,0,"Early career professional thrive therefore if you’re looking for experience this is the company
","Pay, education reimbursement and management
Advice to Management
Be fair across the board
Helpfu","Be fair across the board
Helpfu",3.0,5.0,3.0,2.0,3.0,2.0,Recommends,Positive Outlook,
Sun Jan 17 2021, Principal Research Scientist,"Indianapolis, IN",Current Employee ,Great team culture. Good pay and benefits,0,"Great team culture. Good management. Good pay and benefits. Very good work/life balance
","Just join company recently, haven’t found anything negative yet
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 16 2021, Process Engineer,"Indianapolis, IN",Current Employee ,Great company,0,"Great people who genuinely care about the contributions they make to improve lives through making medicine. Fantastic work place culture
","GMP regulated industry so it can be difficult to innovate at times which is expected really
Helpfu",,4.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 15 2021, Pharmaceutical Sales Representative,"Memphis, TN",Current Employee ,Amazing company to work for,0,"Amazing culture, phenomenal leadership. They say one of their pillars is “respect for people”, and they really follow through on that.
","No cons I can think of.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 15 2021, District Sales Manager,"Indianapolis, IN",Former Employee ,Benefits,0,"Great Medical Benefits, 401k, pension
","Lower salaries compared to other pharma companies
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Inside Sales Representative,,Former Employee ,Great Company,0,"Amazing benefits 
Vacation time
Great management
","Not a lot of cons
Helpfu",,5.0,,,,,,,,
Thu Jan 14 2021, Sales Representative,,Current Employee ,Good Company,0,"Great work life balance and culture
","Not a lot of opportunities outside of sales if you don’t live or want to move to Indianapolis (headquarters)
Advice to Management
Create more remote opportunities
Helpfu","Create more remote opportunities
Helpfu",4.0,4.0,4.0,4.0,3.0,4.0,Approves of CEO,,
Thu Jan 28 2021,Anonymous,,Former Employee ,Sales Tepresentative,0,"Lots of opportunity for advancement
","Very subjective management and hiring early career professionals that work less expensive
Advice to Management
None
Helpfu","None
Helpfu",3.0,4.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,
