date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Dec 13 2020, Software Engineer,"Eden Prairie, MN",Current Employee ,Great Culture,0,"The culture is extremely collaborative. People help each other from all departments. Hard work will be noticed and rewarded.
","Pay is about average compared to other companies.
Helpful
Emerson Response
December 18, 2020 – Vice President, Talent Acquisition
Thank you. We appreciate the transparent feedback",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021,Anonymous,"Saint Louis, MO",Current Employee ,Great industrial/manufacturing company,0,"Benefits, atmosphere, company focus, resources
","Location, workload, old-fashioned business mentality
Helpfu",,4.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Production,,Former Employee ,Good Company,0,"Company Culture, Safety Focus, Communicative
","Strict Rules and Policies/no wiggle room
Helpfu",,4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 08 2021, Sales,,Current Employee ,Performance based culture,0,"Opportunity, strong financial performance, geographically diverse
","Lack of vision, different cultures in different locations
Helpfu",,4.0,3.0,3.0,2.0,3.0,3.0,Neutral Outlook,,No opinion of CEO
Sun Feb 07 2021, Engineer,,Former Employee ,Engineer,0,"good working environment overall yes
","could use some improvement at times
Advice to Management
God
Helpfu","God
Helpfu",5.0,,,,,,,,
Thu Feb 04 2021, Applications Engineer,"Houston, TX",Current Employee ,Emerson,0,"Strong Company, great products across industries
","wish the 401k had a better match
Helpfu",,4.0,3.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Buyer/Planner,"Oklahoma City, OK",Former Employee ,Good Company,0,"Good Company to work for
","Limited customer base thus limited orders
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Manufacturing Engineer,"Chanhassen, MN",Former Employee ,Stable and Caring,1,"Good company culture, fairness in treatment of employees, career development is made a priority, good work/life balance (40 hours per week expected, no more, enjoy living your life!)
","Pay is lower than other places, advancement can be slow. This is a company to put time into -- you won't shoot up the ladder but you won't burn out either
Just starting to make diversity and inclusion a priority.
Advice to Management
Make sure your pay remains competitive. Keep supporting diversity initiatives! What I started to see was really great, keep going!
Helpful (1","Make sure your pay remains competitive. Keep supporting diversity initiatives! What I started to see was really great, keep going!
",5.0,5.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Senior Project Manager,"Houston, TX",Current Employee ,Working,0,"Overall a good company that promotes from within. Lots of opportunities to move laterally and vertically.
","Typical large corporation red-tape and politics.
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Senior Project Engineer,"Saint Louis, MO",Former Employee ,Work,0,"I enjoyed the projects I worked on.
","The work was fine. Not to hard
Helpfu",,4.0,,,,,,,,
