date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 02 2021, Row,,Current Employee ,Great place to work,0,"Flexible and empowering place to work
","Lack of procedures to follow
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Operator,,Current Employee ,Good company to work for,0,"Management works with you on matters
","Delayed pay raises & limited vacation
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Senior SCADA Specialist,"Houston, TX",Former Employee ,"Patriotic leadership, learning opportunities, and helpful coworkers",0,"Patriotic Leadership
Great opportunities to learn on the job and through training
Had a helpful team of coworkers
Employee contributions and service milestones are recognized
","There is a lot of effort and documentation required to be promoted in IT. So the ability to be promoted takes longer than other companies I've worked with.
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Training Specialist,"Houston, TX",Current Employee ,Great Place to Work,0,"some established programs and process
","cubicle work environment versus offices
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Business Development Manager,,Current Employee ,Great Place to Work,0,"Streamlined company structure with great executive exposure
","The company seems to be more effected by industry downturn than our competitors, which is passed along to employees.
Helpfu",,5.0,,,,,,Approves of CEO,,
Mon Jan 25 2021,Anonymous,,Current Employee ,DECENT,0,"Company is Decent. That's It
","No respect for certain people or operations.
Advice to Management
Open your eyes
Helpfu","Open your eyes
Helpfu",3.0,3.0,3.0,3.0,3.0,3.0,,,
Sun Jan 10 2021, Experienced Associate Scheduler,"Houston, TX",Current Employee ,Energy Transfer,0,"Great working environment and employees
","Great company is all aspects
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sat Jan 09 2021, Project Manager,"Houston, TX",Current Employee ,Culture,0,"Good culture. Everyone works hard so things get done. Flexible on work hours as long as work is getting done. Not a lot of micromanagement
","Work load can at time be a lot. Travel can be a lot at times when busy.
Helpfu",,4.0,3.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 07 2021, QC Welding Inspector,"Houston, TX",Former Employee ,Ok,0,"Good overtime before covid bad timing.
","No raise but overtime makes up for it.
Helpfu",,4.0,3.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 29 2020, Class A Truck Driver,N/A,Former Employee ,Good company,0,"Good equipment and good pay
","Management and mechanics need work
Helpfu",,4.0,,,,,,,,
