date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Coordinator,"Houma, LA",Former Employee ,Great place to work,0,"Structure in place for growth

Benefits
","No cons on the company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Feb 04 2021, Pipeline Technician,"Denver, CO",Current Employee ,Great place to work,0,"Always something to work on
","Driving long distances during shift to maintain pipeline equipment
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Plant Operator,"Hebbronville, TX",Former Employee ,Overall great company.,0,"Good pay, great benefits, great 401k match.
","Minimal opportunity to promotion, may have to move to another location.
Helpfu",,5.0,5.0,3.0,4.0,4.0,5.0,Recommends,,
Mon Jan 11 2021, Operator,"Houston, TX",Current Employee ,Great company,0,"This is the best company ever.
","I have no cons to offer.
Advice to Management
Doing great
Helpfu","Doing great
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, Lead Document Control Specialist,"Houston, TX",Current Employee ,Awesome Place to Work,0,"Friendly environment and helpful employees
","Parking and commute can sometimes be an issue
Helpfu",,5.0,5.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Jan 20 2021, Senior Lease Analyst,"Houston, TX",Current Employee ,"Good company, old school mentality",0,"Strong stable company that is growing
","Upper management has old school mentality that makes some issues harder then they should be
Advice to Management
Get with the times
Helpfu","Get with the times
Helpfu",4.0,5.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,Disapproves of CEO
Fri Jan 15 2021, Rotational Engineer,"Houston, TX",Current Employee ,Fast Paced Work,0,"Enterprise moves quickly and gives its young engineers lots of responsibility and opportunities to learn. The organization is also fairly flat giving you decent insight into how management decisions are made.
","Fast paced work can sometimes lead to unrealistic expectations from people outside of engineering and require long hours.
Helpfu",,4.0,4.0,4.0,4.0,3.0,5.0,Recommends,,
Mon Dec 21 2020,Anonymous,"Mont Belvieu, TX",Current Employee ,Came to enterprise with a little experience and have gained more over the years,0,"The pay is very good
","There are no bonus’s for operations
Advice to Management
Good Opportunity for advancement
Helpfu","Good Opportunity for advancement
Helpfu",5.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,
Wed Dec 16 2020, Pipeline Technician,,Current Employee ,Great place to work,0,"I have yet to find a downside to this company
","None at this time, it all good
Helpfu",,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Dec 28 2020, Manager,"Houston, TX",Former Employee ,Beware,0,"Many good people with a high level of professionalism work there, but that can be found in any company this size. The benefits are good.
","Cronyism and nepotism are rampant. The leadership is weak and stingy. There are NO policies that would protect employees from unscrupulous management. No trust in nor regard for employees that I could see and I was there for several years. The starting pay is high for the area but below their competitors so the best talent goes elsewhere. Raises are small for the average employee so if you accept a position here I would recommend negotiating the highest starting wage possible, get a few years of experience in the industry, and get out. Several departments have this kind of revolving door with a 1-2 year turnaround. Money seems to be the only thing management cares about, and they make lots of it, but it does NOT trickle very far down from the top.
Advice to Management
Retire, you’ve done enough damage.
Helpfu","Retire, you’ve done enough damage.
Helpfu",1.0,2.0,1.0,1.0,1.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
