date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Work Control Coordinator,"Washington, DC",Current Employee ,nice,0,"The benefits are great at exelon
","Sometimes the work process gets frustrating-communication can be tough but its a great place to work
Helpfu",,5.0,2.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Staff Accountant,"Chicago, IL",Current Employee ,good,0,"good salaries and benefit for employees
","inconsistent management involvement for various levels
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Senior Engineer,"Byron, IL",Current Employee ,Good opportunities,0,"A lot of opportunity for growth. You will never have a problem finding a development opportunity.
","The beurorocracy is so thick you could cut it with a knife.
Advice to Management
REALLY consider the priority of your administrative tasks and decide if they are worth their cost in resources.
Helpfu","REALLY consider the priority of your administrative tasks and decide if they are worth their cost in resources.
Helpfu",4.0,3.0,3.0,5.0,5.0,5.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Thu Feb 04 2021, Nuclear Security Officer,"Braidwood, IL",Current Employee ,Good place to work,0,"Stable job with good benefits
","Depending what department you work in, expect tons of overtime
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,,,
Thu Feb 04 2021, Engineering Manager,"Delta, PA",Former Employee ,Great company. High values. Demanding of time.,0,"Good culture and focus on clean energy.
","Demand on time. Nights, weekends, holidays. Large process to get issues fixed (unless priority work). Modernization too difficult with all the red tape and cyber security requirements.
Advice to Management
Think long term reliability versus short term firefighting.
Helpfu","Think long term reliability versus short term firefighting.
Helpfu",4.0,2.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, I&amp;C Technician,"Lusby, MD",Current Employee ,Good job,0,"The pay. The Schedule. The Benefits.
","The Location. Not much to do. Expensive real estate.
Helpfu",,5.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Senior Project Manager,"Baltimore, MD",Current Employee ,Great place to gain knowledge,0,"To many Pros to list
","There are no cons to mention
Helpful
Exelon Response
February 5, 2021 – Senior Talent Acquisition & Employment Brand Specialist
This is what we love to hear! Thank you for taking time to provide a review",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Maintenance Manager,,Current Employee ,Great company,0,"The company offers tons of career development opportunities.
","No major cons but is fast paced at times.
Helpful
Exelon Response
February 5, 2021 – Senior Talent Acquisition & Employment Brand Specialist
Thanks for sharing your feedback! We appreciate your long-standing hard work and dedication",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Financial Analyst,"Chicago, IL",Current Employee ,Good company,0,"- Great CEO
- Flexibility
- Pay
","- Older employees are sloooooow
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Senior Engineer,"Chicago, IL",Current Employee ,good place to work,0,"gives you stability and decent salary
","need to know the right people to move up
Helpful
Exelon Response
February 5, 2021 – Senior Talent Acquisition & Employment Brand Specialist
Thank you for your long-standing commitment and dedication to the company. We rely on feedback from employees to continuously improve",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Associate Equipment Operator,,Current Employee ,Awesome,0,"Great benefits, hours, schedule, pay, and staff.
","I do not have anything to list.
Helpful
Exelon Response
February 5, 2021 – Senior Talent Acquisition & Employment Brand Specialist
This is what we love to hear! Thank you for taking time to provide a review",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Security Officer,"Philadelphia, PA",Current Employee ,Good place to start,0,"Above average pay and good benefits
","Some employees have difficulty advancing in the company
Advice to Management
Promote and Develop internal employees
Helpful
Exelon Response
February 5, 2021 – Senior Talent Acquisition & Employment Brand Specialist
We appreciate your long-standing hard work and dedication! Thank you for sharing your feedback","Promote and Develop internal employees
Helpful
Exelon Response
February 5, 2021 – Senior Talent Acquisition & Employment Brand Specialist
We appreciate your long-standing hard work and dedication! Thank you for sharing your feedback",5.0,1.0,5.0,5.0,2.0,5.0,Recommends,Positive Outlook,
