date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 03 2021, Network Security,"Miami, FL",Current Employee ,amazing,0,"good experience good experience good experience
","salary wasnt so good , to improve
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Process Design Engineer,"Chicago, IL",Current Employee ,ExxonMobil good overall employer,0,"Strong emphasis on professional career development, excellent opportunities for professional growth. Very ethical company, good compensation
","Difficult to balance work / life balance in many of the roles within the company, especially within the manufacturing organizations.
Helpfu",,4.0,4.0,4.0,3.0,4.0,5.0,Recommends,Negative Outlook,Approves of CEO
Thu Feb 04 2021, New Business Development,"Houston, TX",Current Employee ,"Very smart people, breath of career",0,"Lots of career latitude with very smart people
","Culturally behind a bit, poor vacation policy
Advice to Management
Offer a decent vacation policy (at least +2wks across the board), especially if continuing with no 401k match or promotions
Helpfu","Offer a decent vacation policy (at least +2wks across the board), especially if continuing with no 401k match or promotions
Helpfu",4.0,4.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Cashier,"Norfolk, VA",Former Employee ,good starter job,0,"Easy to learn, pretty slow, and pretty much the same customers every shift
","Might get hit on by creeps
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Engineer,"Houston, TX",Current Employee ,Good,0,"In general it is good
","Recent market down trends and oil prices
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Financial Analyst,"Houston, TX",Current Employee ,ExxonMobil - Financial Analyst,0,"Quality people, stimulating work, great compensation
","Slow rotations between groups, bad work-life balance
Helpfu",,4.0,2.0,3.0,5.0,4.0,4.0,Recommends,Negative Outlook,No opinion of CEO
Mon Feb 01 2021, Process Engineer (Chemical Engineer),"Texas City, TX",Former Employee ,Best company,0,"Best company to work in
","No bad experience in this place
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Senior Administrative Analyst,"North Houston, TX",Former Employee ,Fortune 5 Company,0,"Excellent benefits and volunteer opportunities to help others.
","Layoffs due to COVID-19 since 2020.
Advice to Management
Have annual CBT about workplace behaviors in addition to the annual CBTs about CyberSecurity vigilance and response to active shooters.
Helpfu","Have annual CBT about workplace behaviors in addition to the annual CBTs about CyberSecurity vigilance and response to active shooters.
Helpfu",4.0,4.0,4.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Production Supervisor,"Baytown, TX",Current Employee ,First Line Supervisor,0,"Excellent benefits, opportunities, diversity, encouragement
","shift work, na, na, na, na
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Wed Jan 27 2021, Process Engineer,"Baytown, TX",Current Employee ,Changing Culture,0,"Culture changing from more conservative to modern company
","In transition of a culture change
Helpfu",,4.0,3.0,3.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Operation Advisor,"Houston, TX",Current Employee ,Excellent company providing development opportunities,0,"Leader compared to competitors in employment security and career development opportunities domestically and globally.
","Not as nimble as independents in reacting to market conditions
Helpfu",,5.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Procurement Manager,"Houston, TX",Current Employee ,Great company with tailwind,0,"Excellent global presence offering great positions
","Old fashion leaders who are stuck in the past
Helpfu",,4.0,4.0,3.0,3.0,5.0,3.0,Recommends,Positive Outlook,Disapproves of CEO
Sat Jan 23 2021, Project Manager,"Houston, TX",Former Employee ,Process orientation,0,"Usefulness and communication of processes, don;t have to reinvent the wheel
","Sometimes process can stifle creativity
Helpfu",,4.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Jan 22 2021, Drilling Supervisor,"Los Angeles, CA",Current Employee ,Super,0,"Great, nice, super, ultra, Gigante, company
","Hard, pressure, less communication, services unification, delay in payment, not communicative
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Senior Engineer,"Houston, TX",Former Employee ,Dependable,0,"Diversity of Opportunity
Relative Stability
Lots of internal expertise
","Outmoded, Subjective Ranking System
Resistance to Change
Helpfu",,5.0,5.0,3.0,4.0,5.0,5.0,Recommends,Neutral Outlook,
Thu Jan 21 2021, Manager,"Houston, TX",Current Employee ,"Disciplined, good compensation, but can be challenging",0,"Lots of talented employees, diverse workforce, discipline and data driven, global, many opportunities to grow
","Work / life balance 
Cash intensive industry
Large organization to navigate
Helpfu",,5.0,3.0,4.0,4.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, IT Project Manager,"Spring, TX",Current Employee ,Think Hard First,0,"Good opportunity to see different projects
","No promotion opportunities, toxic culture, IT treated very poorly, experienced hires not given any respect (IT and experienced hires stay away)
Advice to Management
Not wasting my time on this one because you’ll never change.
Helpfu","Not wasting my time on this one because you’ll never change.
Helpfu",2.0,2.0,1.0,2.0,1.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Jan 21 2021, Manager,"Houston, TX",Current Employee ,good company,0,"career opportunities and ability to move around
","not much to share here..
Helpfu",,5.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Engineer,"Houston, TX",Current Employee ,"Excellent benefits and employees, challenged future",0,"Excellent benefits
Good coworkers, driven to succeed
Treats employees with respect and dignity
","Performance Management by forced ranking
Benefits are being reduced
Current environment is challenging
Helpfu",,4.0,3.0,4.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Store Attendant,"Worcester, MA",Current Employee ,Nomal Cashier Job,0,"Some free time when not busy. Good for studying if you work closing shifts and are in university.
","Low pay. Some customers tend to be extremely unhappy with you, but that is probably just retail.
Helpfu",,3.0,,,,,,,,
