date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 04 2021, Analyst,"Washington, DC",Former Employee ,Solid Employer,0,"There are limitless resources to learn.
","Not a lot of financial know-how.
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Software Engineering Intern,"Washington, DC",Former Employee ,Just your typical government company,0,"Pretty chill environment without much stress
","Lots of bureaucracy and not much real work to do
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Software Engineer,,Current Employee ,pretty good company to work,0,"pretty good company to work
","not much. work is too hectic
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Lead Associate,"Washington, DC",Current Employee ,Great Company,0,"great company, great work and life balance
","reorg happens often, layoffs happen often
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Lead Associate,"Washington, DC",Current Employee ,Great work life balance with ability to influence housing market,0,"great work life balance, flexibility to work from home
","lack of mobility, siloed teams
Helpfu",,4.0,5.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Internal Audit Senior Associate,"Washington, DC",Current Employee ,Salary,0,"Great benefits
Interesting Job
Good salary
Nice office 
Awesome people
","Excessive meetings 
Time spent on areas which don’t add value
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Risk Analyst,,Current Employee ,Great Beneifts,0,"Benefits and PTO are pretty good
","Pay could be better compared to other firms
Advice to Management
N/A
Helpfu","N/A
Helpfu",4.0,,,,,,,,
Tue Jan 26 2021, Audit Associate,"Washington, DC",Current Employee ,Great Company,0,"Culture and Benefits are great
","low bonuses for year end.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021,Anonymous,,Current Employee ,Nice place to work,0,"Very proud of the diversity here
","Sometimes not fair distribution of titles
Helpfu",,4.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Test Engineer,"McLean, VA",Current Employee ,Great,0,"Great people to work with
","Nothing to share here with you.
Helpfu",,4.0,,,,,,,,
Sat Jan 23 2021, Data Science Associate,"Washington, DC",Current Employee ,Excellent company,0,"People are great to work with
","Parts of the company do not do interesting work
Helpfu",,5.0,,,,,,,,
Thu Jan 21 2021, Director,,Former Employee ,Great Place,0,"Work life balance and benefits
","Takes a long time to get things done
Helpfu",,5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Jan 22 2021,Anonymous,,Current Employee ,I have truly enjoyed my job as a multifamily analyst,0,"Development opportunities, leadership, program, and training
","I do not have any cons
Helpfu",,5.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Senior Financial Analyst,"Washington, DC",Current Employee ,Overall Positive Experience,0,"Good benefits good work balance
","Slow paced, sometimes minimum room for growth
Helpfu",,4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Senior Financial Engineer,"Washington, DC",Current Employee ,"Good Benefits, will work you to the bone",0,"Benefits are good
10k per year toward degree program
","Just cut 401k match by 2 percentage points
Becoming cheaper
Helpfu",,2.0,1.0,1.0,1.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Thu Feb 04 2021, Analyst,,Former Employee ,Good pay with terrible management,0,"salary, work/life balance depending on your role
","terrible managers, no career advancement opportunities, lack of collaboration across teams, stale ideas and people who are not innovative
Advice to Management
Vet and train your managers before allowing them to supervise a team. Managers should also have a 360 as part of their performance appraisals. There are managers who love to give out negative ratings but are low performers themselves and have even worse people skills. There are a lot of managers who should NOT be in those positions.
Helpfu","Vet and train your managers before allowing them to supervise a team. Managers should also have a 360 as part of their performance appraisals. There are managers who love to give out negative ratings but are low performers themselves and have even worse people skills. There are a lot of managers who should NOT be in those positions.
Helpfu",3.0,3.0,2.0,5.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,
Tue Jan 19 2021, Intern,,Current Employee ,Salary,0,"Paid well for the hours.
","Not as much hands on experience.
Helpfu",,4.0,,,,,,,,
Wed Jan 20 2021, Data Engineer Lead,,Current Employee ,Work life,0,"Flexible work hours ...
New tools
","Benefits has been cut down
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,,
Thu Jan 14 2021, Software Engineer,"Herndon, VA",Current Employee ,Forced,0,"Work Life Balance and Good Culture
","Too big for me to see the high level
Helpfu",,4.0,4.0,4.0,5.0,4.0,3.0,Recommends,,
Wed Jan 13 2021, Software Engineer,"Washington, DC",Current Employee ,Overall great,0,"Good work life balance, good benefits
","Company politics sucks, no growth
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Mon Jan 11 2021, Senior Associate,"Washington, DC",Current Employee ,Good company with room to grow,1,"Very friendly work environment with Co-Workers
","Work is not always manageable with due dates
Helpful (1",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 13 2021, Senior Product Designer,"Washington, DC",Current Employee ,pretty good,0,"pay is decent and good
","boring, tech is dated, but it’s workable
Helpfu",,5.0,5.0,5.0,5.0,1.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 13 2021, Senior Associate,"Plano, TX",Current Employee ,Na,0,"Great to work at this company
","All companies have similar downsides
Helpfu",,5.0,5.0,5.0,5.0,5.0,,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Cyber Security Analyst,"Reston, VA",Current Employee ,Great company,0,"Starting Bonus, Competitive Salary, Great benefits especially for recent grads
","No major cons, only thing would be to reconsider possible full time remote opportunities after covid
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Financial Engineer II,"Washington, DC",Former Employee ,Good but too much shakeup,0,"At the analyst and director levels, great company.
","Upper level management and executives implement changes/new initiatives without much concern for how they impact those actually doing the work, and with little added benefit. Upper-management attention is allocated too much toward initiatives without a clear added-value to the core business, while known issues languish in backlogs.
Helpfu",,4.0,4.0,4.0,3.0,3.0,4.0,Recommends,Negative Outlook,Disapproves of CEO
Wed Jan 27 2021, Human Resources Associate,,Current Employee ,Ok but no more for growth,0,"Good Benefits decent Pay and bonus
","no growth potential need better path for assoc levels
Helpfu",,3.0,,,,,,,,
Tue Jan 12 2021," Director, Technology","Washington, DC",Former Employee ,"Director, Technology",0,"Work life balance is very reasonable
","Lack of promotion path when you get to senior staff level
Helpfu",,5.0,,,,,,,,
